usparql,Q1,Q2,Q3,Q4
no_usparql_2545,Give me all islands that belong to Japan.,List all the islands that are part of Japan.,Give me all inhabited islands that belong to Japan.,Give me all uninhabited islands that belong to Japan.
no_usparql_2547,Give me all Apollo 14 astronauts.,Who were all the astronauts on Apollo 14?,Give me all Apollo 14 astronauts who walked on the Moon.,Give me all Apollo 14 astronauts who did not walk on the Moon.
no_usparql_2550,Give me all soccer clubs in the Premier League.,List every soccer club that plays in the Premier League.,Give me all soccer clubs in the Premier League based in England.,Give me all soccer clubs in the Premier League not based in England.
no_usparql_2555,Give me all actors who were born in Paris after 1950.,List every actor born in Paris following the year 1950.,Give me all actors who were born in Paris between 1951 and 1975.,Give me all actors who were born in Paris after 1975.
no_usparql_2556,Which movies star both Liz Taylor and Richard Burton?,In which films do both Liz Taylor and Richard Burton appear?,Which movies star both Liz Taylor and Richard Burton and were released before 1970?,Which movies star both Liz Taylor and Richard Burton and were released in or after 1970?
no_usparql_2565,To which countries does the Himalayan mountain system extend?,Into which countries does the Himalayan mountain range stretch?,To which countries does the Himalayan mountain system extend in South Asia?,To which countries does the Himalayan mountain system extend outside South Asia?
no_usparql_2569,Give me all actors who were born in Berlin.,List every actor whose birthplace is Berlin.,Give me all actors who were born in Berlin and have won an acting award.,Give me all actors who were born in Berlin and have never won an acting award.
no_usparql_2571,Which music albums contain the song Last Christmas?,On which music albums can the song Last Christmas be found?,Which music albums contain the song Last Christmas as an original track?,Which music albums contain the song Last Christmas as a cover or bonus track?
no_usparql_2574,List all TV shows featuring Neil Patrick Harris in any capacity.,List all TV shows featuring Neil Patrick Harris in any capacity.,List all TV shows where Neil Patrick Harris is a main cast member.,List all TV shows where Neil Patrick Harris appears as a guest star or has a recurring role.
no_usparql_2577,"Give me all Swedish holidays (including public, regional, and unofficial holidays).","Can you provide a list of all holidays celebrated in Sweden (including public, regional, and unofficial holidays)?",Give me all Swedish public holidays.,Give me all Swedish regional or unofficial holidays.
no_usparql_2579,List all the musicals with music by Leonard Bernstein.,Which musicals feature music composed by Leonard Bernstein?,List all the musicals with music by Leonard Bernstein that premiered before 1970.,List all the musicals with music by Leonard Bernstein that premiered in or after 1970.
no_usparql_2582,Which writers studied in Istanbul?,Which writers studied in Istanbul?,Which writers studied at Istanbul University?,Which writers studied at other educational institutions in Istanbul (excluding Istanbul University)?
no_usparql_2583,Give me all Australian metalcore bands.,Can you provide a list of all metalcore bands from Australia?,Give me all Australian metalcore bands formed before 2010.,Give me all Australian metalcore bands formed in or after 2010.
no_usparql_2585,List all recognized types of eating disorders.,List all recognized types of eating disorders.,List all types of eating disorders characterized primarily by restrictive eating behaviors.,List all types of eating disorders characterized primarily by binge eating or purging behaviors.
no_usparql_2590,"Which U.S. states are entirely or partially in the Mountain Time Zone, the same time zone as Utah?","In which U.S. states does the time zone match that of Utah, either entirely or partially?","Which U.S. states are entirely in the Mountain Time Zone, the same time zone as Utah?","Which U.S. states are partially in the Mountain Time Zone, the same time zone as Utah?"
no_usparql_2591,Give me all books written by Danielle Steel.,Can you provide a list of every book authored by Danielle Steel?,Give me all books written by Danielle Steel that were published before the year 2000.,Give me all books written by Danielle Steel that were published in or after the year 2000.
no_usparql_2595,Which programming languages have been influenced by Perl?,Which programming languages have been influenced by Perl?,Which programming languages influenced by Perl are primarily scripting languages?,Which programming languages influenced by Perl are primarily general-purpose or compiled languages?
no_usparql_2597,What airlines are part of the SkyTeam alliance?,Which airlines belong to the SkyTeam alliance?,Which airlines in the SkyTeam alliance are based in Europe?,Which airlines in the SkyTeam alliance are based outside of Europe?
no_usparql_2599,What other books have been written by the author of The Fault in Our Stars?,What other books have been written by the author of The Fault in Our Stars?,"What other books have been written by John Green, the author of The Fault in Our Stars?",What other books have been written by authors who co-wrote or contributed to The Fault in Our Stars?
no_usparql_2602,Which programming languages influenced Javascript?,Which programming languages influenced Javascript?,Which programming languages influenced Javascript's syntax?,Which programming languages influenced Javascript's semantics?
no_usparql_2604,Which films starring Clint Eastwood did he direct himself?,Which films starring Clint Eastwood did he direct himself?,Which films starring Clint Eastwood did he both direct and produce himself?,Which films starring Clint Eastwood did he direct but not produce himself?
no_usparql_2608,Give me all actors with the last name Baldwin.,List all actors with the last name Baldwin.,Give me all male actors with the last name Baldwin.,Give me all female actors with the last name Baldwin.
no_usparql_2616,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired in or after the year 2000?
no_usparql_2621,Which telecommunications organizations are located in Belgium?,Which telecommunications organizations have their offices in Belgium?,Which telecommunications organizations are located in Belgium and headquartered in Brussels?,Which telecommunications organizations are located in Belgium but not headquartered in Brussels?
no_usparql_2624,Show me all English Gothic buildings in Kent.,Can you list all Gothic buildings located in Kent that are English?,Show me all English Gothic churches in Kent.,Show me all English Gothic secular buildings in Kent.
no_usparql_2625,In which countries can you pay using the West African CFA franc?,In which countries can you pay using the West African CFA franc?,In which countries that are members of the West African Economic and Monetary Union (WAEMU) can you pay using the West African CFA franc?,In which countries that are not members of the West African Economic and Monetary Union (WAEMU) can you pay using the West African CFA franc?
no_usparql_2628,Which organizations were founded in 1930?,Which organizations were founded in 1930?,Which organizations were founded in 1930 in the United States?,Which organizations were founded in 1930 outside of the United States?
no_usparql_2631,Which weapons did Heckler & Koch develop?,What weapons were developed by Heckler & Koch?,Which Heckler & Koch weapons are firearms?,Which Heckler & Koch weapons are non-firearm weapons?
no_usparql_2638,Give me all films produced by Hal Roach.,Can you provide a list of every film produced by Hal Roach?,Give me all films produced by Hal Roach that are comedies.,Give me all films produced by Hal Roach that are not comedies.
no_usparql_2641,Give me a list of all bandleaders that play trumpet.,Can you provide a list of all bandleaders who play the trumpet?,Give me a list of all bandleaders that play trumpet and have won a Grammy Award.,Give me a list of all bandleaders that play trumpet and have not won a Grammy Award.
no_usparql_2644,Which rockets were launched from Baikonur?,"From Baikonur, which rockets were launched?",Which rockets were launched from Baikonur in the 21st century?,Which rockets were launched from Baikonur before the 21st century?
no_usparql_2650,Give me all cities in New Jersey with more than 100000 inhabitants.,"List every city in New Jersey that has a population exceeding 100,000.",Give me all cities in New Jersey with more than 100000 inhabitants and located in the northern region of the state.,Give me all cities in New Jersey with more than 100000 inhabitants and located in the southern or central region of the state.
no_usparql_2652,Give me all B-sides of the Ramones.,Can you provide a list of all the Ramones' B-sides?,Give me all B-sides of the Ramones released before 1985.,Give me all B-sides of the Ramones released in or after 1985.
no_usparql_2655,Give me all people that were born in Vienna and died in Berlin.,List all individuals who were born in Vienna and passed away in Berlin.,"Give me all people that were born in Vienna, died in Berlin, and were born before 1900.","Give me all people that were born in Vienna, died in Berlin, and were born in or after 1900."
no_usparql_2658,Give me all films produced by Steven Spielberg with a budget of at least $80 million.,List every film produced by Steven Spielberg that had a budget of $80 million or more.,Give me all films produced by Steven Spielberg with a budget of at least $80 million and released before 2010.,Give me all films produced by Steven Spielberg with a budget of at least $80 million and released in or after 2010.
no_usparql_2661,Give me all types or lines of the German Shepherd dog.,List every type or line of the German Shepherd dog.,Give me all working line types of the German Shepherd dog.,Give me all show line types of the German Shepherd dog.
no_usparql_2663,Which languages are spoken in Estonia?,Which languages are spoken in Estonia?,Which official languages are spoken in Estonia?,Which minority languages are spoken in Estonia?
no_usparql_2672,Which airports does Yeti Airlines serve?,What airports are served by Yeti Airlines?,Which domestic airports does Yeti Airlines serve?,Which international airports does Yeti Airlines serve?
no_usparql_2688,Give me all movies directed by Francis Ford Coppola.,Can you list every movie that was directed by Francis Ford Coppola?,Give me all movies directed by Francis Ford Coppola that were released before the year 2000.,Give me all movies directed by Francis Ford Coppola that were released in or after the year 2000.
no_usparql_2696,Which awards did Douglas Hofstadter win?,What awards has Douglas Hofstadter received?,Which awards did Douglas Hofstadter win for his work in cognitive science?,Which awards did Douglas Hofstadter win for his contributions outside of cognitive science?
no_usparql_2705,Give me all launch pads operated by NASA.,List every launch pad that is operated by NASA.,Give me all launch pads operated by NASA that are located within the United States.,Give me all launch pads operated by NASA that are located outside the United States.
no_usparql_2720,List all the musicals with music composed by Elton John.,Which musicals feature music composed by Elton John?,List all the musicals with music solely composed by Elton John.,List all the musicals with music composed by Elton John along with other composers.
no_usparql_2723,Which companies produce hovercrafts?,What companies manufacture hovercrafts?,Which companies produce electric hovercrafts?,Which companies produce non-electric hovercrafts?
no_usparql_2732,Which electronics companies were founded in Beijing?,In which city were the electronics companies that were founded in Beijing established?,Which electronics companies were founded in Beijing before the year 2000?,Which electronics companies were founded in Beijing in or after the year 2000?
no_usparql_2743,List the children of Margaret Thatcher.,Who are the children of Margaret Thatcher?,List the sons of Margaret Thatcher.,List the daughters of Margaret Thatcher.
no_usparql_2748,Which films did Stanley Kubrick direct?,What films were directed by Stanley Kubrick?,Which films did Stanley Kubrick direct that were released before 1980?,Which films did Stanley Kubrick direct that were released in or after 1980?
no_usparql_2756,List all games published by GMT.,Provide a list of all games published by GMT.,List all digital games published by GMT.,List all board games published by GMT.
no_usparql_2761,Give me all members of Prodigy.,List every member of Prodigy.,Give me all current members of Prodigy.,Give me all former members of Prodigy.
no_usparql_2763,Who are the writers of the Wall album of Pink Floyd?,Who wrote Pink Floyd's album The Wall?,Who are the primary songwriters of the Wall album of Pink Floyd?,Who are the additional or contributing writers of the Wall album of Pink Floyd?
no_usparql_2783,Which television shows were created by Walt Disney?,What television programs did Walt Disney create?,Which television shows were created by Walt Disney and originally aired on the Disney Channel?,Which television shows were created by Walt Disney and did not originally air on the Disney Channel?
no_usparql_2825,In which military conflicts did Lawrence of Arabia participate?,Which military conflicts involved the participation of Lawrence of Arabia?,In which military conflicts did Lawrence of Arabia participate as a member of the British Army?,In which military conflicts did Lawrence of Arabia participate in a non-official or advisory capacity?
no_usparql_2832,Which books by Kerouac were published by Viking Press?,What books written by Kerouac were released through Viking Press?,Which books by Kerouac published by Viking Press were released before 1960?,Which books by Kerouac published by Viking Press were released in or after 1960?
no_usparql_2842,Which movies starring Mickey Rourke were directed by Guy Ritchie?,What are the movies featuring Mickey Rourke that were directed by Guy Ritchie?,Which movies starring Mickey Rourke were directed by Guy Ritchie and released before 2010?,Which movies starring Mickey Rourke were directed by Guy Ritchie and released in or after 2010?
no_usparql_2843,In which films did both Julia Roberts and Richard Gere play? (To match Q4 and Q2),In which films did both Julia Roberts and Richard Gere play? (No change needed),In which films did Julia Roberts play but Richard Gere did not? (No change needed),In which films did both Julia Roberts and Richard Gere play? (No change needed)
no_usparql_2847,Give me a list of all Canadian record labels associated with Grunge music.,Can you provide a list of all Canadian record labels that specialize in Grunge music?,Give me a list of all currently active Canadian record labels associated with Grunge music.,Give me a list of all Canadian record labels associated with Grunge music that are no longer active.
no_usparql_2858,In which countries do people speak Japanese as a native or commonly used language?,Which countries have Japanese as a spoken language (including native speakers and commonly used languages)?,In which countries is Japanese an official language?,In which countries do people speak Japanese but it is not an official language?
no_usparql_2863,Give me all actors starring in Last Action Hero.,List all actors who starred in Last Action Hero.,Give me all male actors starring in Last Action Hero.,Give me all female actors starring in Last Action Hero.
no_usparql_2895,What countries does Germany share land borders with?,Which countries share land borders with Germany?,Which countries in Western Europe share land borders with Germany?,Which countries in Eastern Europe share land borders with Germany?
no_usparql_2926,what movies did taylor lautner star in?,In which movies did Taylor Lautner star as a lead actor?,What movies did Taylor Lautner star in that were released before 2010?,What movies did Taylor Lautner star in that were released in or after 2010?
no_usparql_2945,what countries does the niger river flow through?,Which countries are traversed by the Niger River?,Which countries does the Niger River flow through in West Africa?,Which countries does the Niger River flow through outside of West Africa?
no_usparql_2947,what games did bungie make?,Which games were developed by Bungie?,What games did Bungie make that were released before 2010?,What games did Bungie make that were released in or after 2010?
no_usparql_2977,who are senators from utah?,Which individuals serve as senators representing Utah?,Who are Republican senators from Utah?,Who are Democratic senators from Utah?
no_usparql_2986,What car models does GM make?,What car models does GM make?,What car models does GM make that are electric vehicles?,What car models does GM make that are not electric vehicles?
no_usparql_2996,what countries are on the mediterranean sea?,Which countries border the Mediterranean Sea?,What countries have a coastline on the Mediterranean Sea and are members of the European Union?,What countries have a coastline on the Mediterranean Sea and are not members of the European Union?
no_usparql_3009,what cities are included in maricopa county?,Which cities are located within Maricopa County?,"What cities in Maricopa County have a population greater than 100,000?","What cities in Maricopa County have a population of 100,000 or less?"
no_usparql_3013,what characters does todd haberkorn voice?,Which characters are voiced by Todd Haberkorn?,Which characters does Todd Haberkorn voice in anime series?,Which characters does Todd Haberkorn voice in video games?
no_usparql_3020,What albums did John Frusciante play on in any capacity?,On which albums did John Frusciante perform?,What albums did John Frusciante play on as a solo artist?,What albums did John Frusciante play on as a member of a band?
no_usparql_3124,what are the official languages of jamaica?,Which languages are officially recognized in Jamaica?,What are the official languages of Jamaica recognized by the government?,What are the official languages of Jamaica used in education and public administration?
no_usparql_3133,who was vice president under lincoln?,Who served as vice president during Lincoln's presidency?,Who was the first vice president under Abraham Lincoln?,Who was the second vice president under Abraham Lincoln?
no_usparql_3146,what other movies is liam hemsworth in?,Which other films feature Liam Hemsworth?,What movies is Liam Hemsworth in that are action or adventure genre?,What movies is Liam Hemsworth in that are not action or adventure genre?
no_usparql_3185,"Which countries are near Egypt, including those sharing land borders and those located across the sea?",Which countries border Egypt?,Which countries share a land border with Egypt?,Which countries are located across the sea from Egypt?
no_usparql_3217,What other movies has Liam Hemsworth acted in?,Which other movies has Liam Hemsworth acted in?,What movies has Liam Hemsworth starred in?,What movies has Liam Hemsworth appeared in but not starred in?
no_usparql_3220,which countries border the baltic sea?,What countries have coastlines along the Baltic Sea?,Which countries border the Baltic Sea and are members of the European Union?,Which countries border the Baltic Sea and are not members of the European Union?
no_usparql_3246,What are the different dialects or varieties of Chinese?,What are the different dialects or varieties of Chinese?,What are the major regional dialects of Chinese spoken in mainland China?,What are the different Chinese dialects spoken outside of mainland China?
no_usparql_3323,On which stock exchanges are Siemens AG shares traded?,In which stock exchanges can Siemens AG shares be found trading?,On which European stock exchanges are Siemens AG shares traded?,On which non-European stock exchanges are Siemens AG shares traded?
no_usparql_3382,How many French kings didn't die of natural causes?,How many French kings met their end through unnatural causes?,How many French kings were killed in battle?,How many French kings were assassinated or died by other unnatural causes (excluding battle)?
no_usparql_3483,on which video streaming services can i watch hunter x hunter anime series?,Which video streaming platforms offer the Hunter x Hunter anime series for viewing?,On which subscription-based video streaming services can I watch the Hunter x Hunter anime series?,On which free or ad-supported video streaming services can I watch the Hunter x Hunter anime series?
no_usparql_3491,Through which countries does the Danube flow?,Which countries does the Danube flow through?,Through which countries does the Danube flow in Central Europe?,Through which countries does the Danube flow in Eastern Europe?
no_usparql_3501,What are the spin-offs of Breaking Bad?,Which shows have been spun off from Breaking Bad?,What are the spin-offs of Breaking Bad that focus on characters introduced in the original series?,What are the spin-offs of Breaking Bad that explore new characters or storylines unrelated to the main cast?
no_usparql_3505,What are the German names of academic disciplines containing “linguistik”?,Which academic fields include the term “linguistik” in their German names?,"What are the German names of academic disciplines containing the exact term ""sprachlinguistik""?","What are the German names of academic disciplines containing the term ""linguistik"" but not containing ""sprachlinguistik""?"
no_usparql_3507,What are the professions of John Lennon’s sons?,"In which professions are John Lennon’s sons involved? (Equivalent to Q1, so no change needed)",What are the professions of John Lennon’s sons in the music industry? (No change needed),What are the professions of John Lennon’s sons outside the music industry? (No change needed)
no_usparql_3508,What are the titles of the Star Wars series movies?,What are the names of the movies in the Star Wars series?,What are the titles of the Star Wars series movies released before 2000?,What are the titles of the Star Wars series movies released in or after 2000?
no_usparql_3516,What instruments did Louis Armstrong play?,Which instruments were played by Louis Armstrong?,What brass instruments did Louis Armstrong play?,What non-brass instruments did Louis Armstrong play?
no_usparql_3548,Which creator of The OA also acted in it?,Which creator of The OA also acted in it?,Which creator of The OA also acted in it as a main cast member?,Which creator of The OA also acted in it as a supporting or guest cast member?
no_usparql_3549,"What albums has Atif Aslam appeared on, including solo and collaborative works?",Which albums feature Atif Aslam?,What solo albums has Atif Aslam released?,What albums has Atif Aslam contributed to as a featured artist or collaborator?
no_usparql_3606,Which actor starring in Free Guy also starred in Deadpool?,Who is the actor that appeared in both Free Guy and Deadpool?,Which actor starring in Free Guy also starred in Deadpool 1?,Which actor starring in Free Guy also starred in Deadpool 2?
no_usparql_3607,Which American presidents had fathers who were also presidents?,Which American presidents had fathers who were also presidents?,Which American presidents who had fathers that were also presidents directly succeeded their fathers in office?,Which American presidents who had fathers that were also presidents became president at a different time than their fathers' terms?
no_usparql_3625,To which art movements is the painting “Les Demoiselles d'Avignon” assigned?,To which art movements does the painting “Les Demoiselles d'Avignon” belong?,To which Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?,To which non-Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?
no_usparql_3626,Which movies belong to the Cornetto trilogy?,Which movies belong to the Cornetto trilogy?,Which movies belong to the Cornetto trilogy directed by Edgar Wright?,Which movies belong to the Cornetto trilogy starring Simon Pegg and Nick Frost?
no_usparql_3630,Which other movies directed by Thomas Vinterberg also starred Mads Mikkelsen?,Which other films directed by Thomas Vinterberg also feature Mads Mikkelsen?,Which other movies directed by Thomas Vinterberg also starred Mads Mikkelsen?,"Which other movies directed by the director of Another Round, excluding Thomas Vinterberg, also starred Mads Mikkelsen?"
no_usparql_3633,Which shows aired for the first time in the same year as Saturday Night Live?,In what year did Saturday Night Live and the shows that premiered alongside it first air?,Which comedy shows aired for the first time in 1975?,Which non-comedy shows aired for the first time in 1975?
no_usparql_3638,Which teams participated in the 2020 UEFA Champions League Final ?,What teams took part in the 2020 UEFA Champions League Final?,Which teams played in the 2020 UEFA Champions League Final representing Spain?,Which teams played in the 2020 UEFA Champions League Final representing Germany?
no_usparql_3642,Who are the actresses in Portrait of a Lady on Fire?,Which actresses appear in Portrait of a Lady on Fire?,Who are the actresses in Portrait of a Lady on Fire credited as main cast members?,Who are the actresses in Portrait of a Lady on Fire credited as supporting cast members?
no_usparql_3715,Which American presidents were in office during the Vietnam War?,Which American presidents were in office during the Vietnam War?,Which American presidents were in office during the Vietnam War and supported U.S. military involvement?,Which American presidents were in office during the Vietnam War and opposed or sought to end U.S. military involvement?
no_usparql_3717,Which artists were born on the same date as Rachel Stevens?,"On what date was Rachel Stevens born, and which other artists share that birth date?",Which artists were born on the same date and in the same year as Rachel Stevens?,Which artists were born on the same date but in a different year than Rachel Stevens?
no_usparql_3721,Which European countries have a constitutional monarchy as their form of government?,In which European countries is the form of government a constitutional monarchy?,Which European countries have a constitutional monarchy with a monarch as head of state?,Which European countries have a constitutional monarchy with a monarch as a ceremonial figurehead?
no_usparql_3722,Which countries have places with more than two caves that are natural or man-made?,In which countries can you find locations that contain more than two caves that are natural or man-made?,Which countries have places with more than two caves that are natural formations?,Which countries have places with more than two caves that are man-made or artificial?
no_usparql_3723,"Which airports are located in California, USA?","Which airports are located in California, USA?","Which airports are located in Northern California, USA?","Which airports are located in Southern California, USA?"
no_usparql_3729,Give me all professional skateboarders from Sweden.,List every professional skateboarder who is from Sweden.,Give me all male professional skateboarders from Sweden.,Give me all female professional skateboarders from Sweden.
no_usparql_3730,Which monarchs of the United Kingdom were married to a German spouse?,Which British monarchs had spouses of German origin?,Which monarchs of the United Kingdom were married to a German princess?,Which monarchs of the United Kingdom were married to a German nobleman who was not a princess?
no_usparql_3743,Give me all writers that won the Nobel Prize in literature.,List all authors who have received the Nobel Prize in Literature.,Give me all writers that won the Nobel Prize in literature before the year 2000.,Give me all writers that won the Nobel Prize in literature in or after the year 2000.
no_usparql_3744,Give me English actors starring in Lovesick.,Which English actors appear in Lovesick?,Give me English male actors starring in Lovesick.,Give me English female actors starring in Lovesick.
no_usparql_3750,Which professional surfers were born in Australia?,Who are the professional surfers that were born in Australia?,Which professional surfers were born in Australia and have won a world championship?,Which professional surfers were born in Australia and have never won a world championship?
no_usparql_3760,Which space probes were sent into orbit around the sun?,What space probes have been launched to orbit the sun?,Which space probes were sent into orbit around the sun and are currently operational?,Which space probes were sent into orbit around the sun but are no longer operational?
no_usparql_3761,Which German cities have more than 250000 inhabitants?,"In which German cities does the population exceed 250,000?",Which German cities have more than 250000 inhabitants and are located in the former East Germany?,Which German cities have more than 250000 inhabitants and are located in the former West Germany?
no_usparql_3768,Through which countries does the Yenisei river flow?,Through which countries does the Yenisei river flow?,Through which countries does the Yenisei river flow in its upper course?,Through which countries does the Yenisei river flow in its lower course?
no_usparql_3773,Give me all spacecraft that have traveled to Mars.,List every spacecraft that has traveled to Mars.,Give me all spacecraft that have successfully landed on Mars.,Give me all spacecraft that have flown by Mars without landing.
no_usparql_3775,Give me all taikonauts.,Provide a list of all taikonauts.,Give me all taikonauts who have flown in space.,Give me all taikonauts who have not flown in space.
no_usparql_3776,Which countries have more than ten volcanoes?,Which countries have more than ten volcanoes?,Which countries have more than ten active volcanoes?,Which countries have more than ten inactive volcanoes?
no_usparql_3780,Give me all female German chancellors.,List every female who has served as Chancellor of Germany.,Give me all female German chancellors who served before 2000.,Give me all female German chancellors who served in or after 2000.
no_usparql_3789,Which languages are spoken in Estonia?,Which languages are spoken in Estonia?,Which languages are officially recognized and spoken in Estonia?,Which minority or regional languages are spoken in Estonia?
no_usparql_3797,What languages are spoken in Pakistan?,Which languages are commonly used for communication in Pakistan?,What are the official languages of Pakistan?,What regional or minority languages are spoken in Pakistan?
no_usparql_3799,Who were the crew members of the Apollo 11 mission?,Which individuals participated in the Apollo 11 mission?,Who were the astronauts on the Apollo 11 mission?,Who were the non-astronaut crew members or support personnel officially part of the Apollo 11 mission?
no_usparql_3800,Give me all B-sides of the Ramones.,Can you provide a list of all the Ramones' B-sides?,Give me all B-sides of the Ramones released before 1985.,Give me all B-sides of the Ramones released in or after 1985.
no_usparql_3802,Which rivers flow into the North Sea?,Into which rivers does the North Sea flow? (Note: This question is not equivalent to Q1; the North Sea does not flow into rivers.),Which rivers flow into the North Sea from the east coast of the United Kingdom?,Which rivers flow into the North Sea from the continental coast of mainland Europe?
no_usparql_3817,Which politicians were married to a German?,Which politicians had a spouse who was German?,Which politicians were married to a German man?,Which politicians were married to a German woman?
no_usparql_3827,Give me all Frisian islands that belong to the Netherlands.,Which Frisian islands are part of the Netherlands?,Give me all Frisian islands that belong to the Netherlands and are inhabited.,Give me all Frisian islands that belong to the Netherlands and are uninhabited.
no_usparql_3828,Which museums exhibit The Scream by Munch?,In which museum can you find The Scream by Munch on display?,Which museums exhibit The Scream by Munch as part of their permanent collection?,Which museums exhibit The Scream by Munch as part of a temporary or traveling exhibition?
no_usparql_3834,Which beer brewing companies are located in North-Rhine Westphalia?,Which companies located in North-Rhine Westphalia brew beer?,Which beer brewing companies are located in the northern part of North-Rhine Westphalia?,Which beer brewing companies are located in the southern part of North-Rhine Westphalia?
no_usparql_3842,Which bridges share the same type as the Manhattan Bridge?,Which bridges share the same type as the Manhattan Bridge?,Which suspension bridges share the same type as the Manhattan Bridge?,Which cable-stayed bridges share the same type as the Manhattan Bridge?
