usparql	Q1	Q2	Q3	Q4	type	SPARQL
no_usparql_2352	Which characters does Seth MacFarlane voice on Family Guy?	Which characters are voiced by Seth MacFarlane on Family Guy?	Which human characters does Seth MacFarlane voice on Family Guy?	Which non-human characters does Seth MacFarlane voice on Family Guy?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> SELECT DISTINCT ?x WHERE { wd:Q5930 p:P725 ?p. ?p ps:P725 wd:Q188492; pq:P453 ?x. }
no_usparql_2422	What are the names of Michael Jackson's kids?	Who are the children of Michael Jackson?	Which children did Michael Jackson have with Debbie Rowe?	Which children did Michael Jackson have with someone other than Debbie Rowe?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?x WHERE { wd:Q2831 wdt:P40 ?x. }
no_usparql_2429	What degrees does Romney have?	Which degrees has Romney earned?	What undergraduate degrees does Romney have?	What graduate degrees does Romney have?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX p: <http://www.wikidata.org/prop/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> SELECT DISTINCT ?x WHERE { wd:Q4496 p:P69 ?p. ?p ps:P69 ?y; pq:P512 ?x. }
no_usparql_2455	Give me all cities in New Jersey with more than 100000 inhabitants.	Which cities in New Jersey have a population exceeding 100,000?	Give me all cities in New Jersey with more than 100000 inhabitants and an international airport.	Give me all cities in New Jersey with more than 100000 inhabitants without an international airport.	1	SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q515> . ?uri <http://www.wikidata.org/prop/direct/P131>+ <http://www.wikidata.org/entity/Q1408> . ?uri <http://www.wikidata.org/prop/direct/P1082> ?population . FILTER(?population > 100000) }
no_usparql_2488	Which actors born in France have won an Oscar?	Who are the actors that have France as their birthplace and have won an Oscar?	Which actors were born in France before 1970 have won an Oscar?	Which actors were born in France on or after 1970 and have won an Oscar?	0	SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P106> <http://www.wikidata.org/entity/Q10800557> . { ?uri <http://www.wikidata.org/prop/direct/P19> <http://www.wikidata.org/entity/Q183> . } UNION { ?uri <http://www.wikidata.org/prop/direct/P19>/<http://www.wikidata.org/prop/direct/P17> <http://www.wikidata.org/entity/Q183> . } }
no_usparql_2494	Which historical wargames are published by GMT Games?	Provide a list of all historical wargames published by GMT Games.	Which historical wargames published by GMT Games focus on World War II?	Which historical wargames published by GMT Games do not focus on World War II?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }
no_usparql_2509	Which monarchs were married to a German spouse?	Which monarchs were married to someone from Germany?	Which monarchs were married to a German man?	Which monarchs were married to a German who was female or non-binary?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P106 wd:Q116 ; wdt:P26 ?spouse . ?spouse wdt:P27 wd:Q183 . }
no_usparql_2510	Which international organizations were founded in 1950?	What international organizations came into existence in 1950?	Which international organizations were founded in 1950 in the United States?	Which international organizations were founded in 1950 outside the United States?	0	"PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?type wdt:P279* wd:Q43229 . ?uri wdt:P31 ?type . ?uri wdt:P571 ?foundedAt . FILTER CONTAINS(STR(?foundedAt), ""1950"") }"
no_usparql_2512	Give me the Apollo 14 astronauts.	Who were the astronauts on Apollo 14?	Give me the Apollo 14 astronauts who walked on the Moon.	Give me the Apollo 14 astronauts who did not walk on the Moon.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q178871 wdt:P1029 ?uri }
no_usparql_2515	Which spaceflights were launched from Baikonur?	For which spaceflights did the launch occur at Baikonur?	Which spaceflights were launched from Baikonur excluding the 21st century?	Which spaceflights were launched from Baikonur in the 21st century?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P1427 wd:Q177477 }
no_usparql_2517	Which U.S. states are in the same timezone as Utah?	Which U.S. states share the same timezone as Utah?	Which U.S. states are in the same timezone as Utah and share a border with Utah?	Which U.S. states are in the same timezone as Utah but do not share a border with Utah?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q829 wdt:P421 ?timezone . ?uri wdt:P31 wd:Q35657 ; wdt:P421 ?timezone . FILTER(?uri != wd:Q829) }
no_usparql_2524	Which states border Illinois?	What states share a border with Illinois?	Which states in the Great Lakes region border Illinois?	Which states not in the Great Lakes region border Illinois?	0	SELECT DISTINCT ?uri WHERE { <http://www.wikidata.org/entity/Q1204> <http://www.wikidata.org/prop/direct/P47> ?uri . }
no_usparql_2528	Give all Olympic swimmers that were born in Moscow.	List all Olympic swimmers whose place of birth is Moscow.	Give all swimmers that were born in Moscow and have won at least one medal in Olympic.	Give all swimmers that were born in Moscow and attened Olympic but have never won a medal.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P106 wd:Q10843402 ; wdt:P19 wd:Q649 . }
no_usparql_2531	Which US presidents were born in 1945?	Who are the US presidents born in the year 1945?	Which US presidents were born in 1945 and were elected before the year 2000?	Which US presidents were born in 1945 and were elected president or after the year 2000?	0	SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P39>/<http://www.wikidata.org/prop/direct/P279> <http://www.wikidata.org/entity/Q30461> . ?uri <http://www.wikidata.org/prop/direct/P569> ?date . FILTER(year(?date)=1945) }
no_usparql_2534	Show a list of soccer clubs that play in the Bundesliga.	Provide a list of soccer teams that compete in the Bundesliga.	Show a list of soccer clubs that play in the Bundesliga and have won it in the past.	Show a list of soccer clubs that play in the Bundesliga and have never won it.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q476028 ; wdt:P118 wd:Q82595 . }
no_usparql_2543	Which rivers flow into lakes located in Germany?	Which rivers flow into German lakes?	Which rivers flow into natural lakes located in Germany?	Which rivers flow into artificial lakes located in Germany?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q4022 . ?lake wdt:P31 wd:Q23397 ; wdt:P17 wd:183 . ?uri wdt:P200 ?lake . }
no_usparql_2545	Give me all inhabited islands that belong to Japan.	List all the inhabited islands that are part of Japan.	Give me all inhabited islands with more than 100000 population that belong to Japan.	Give me all inhabited islands with no more than 1000000 population that belong to Japan.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q23442 ; wdt:P17 wd:Q17 . }
no_usparql_2550	Give me all soccer clubs in the Premier League.	List every soccer club that plays in the Premier League.	Give me all soccer clubs in the Premier League with their stadium in London.	Give me all soccer clubs in the Premier League with their stadium outside London.	0	SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q476028> . ?uri <http://www.wikidata.org/prop/direct/P118> <http://www.wikidata.org/entity/Q9448> . }
no_usparql_2556	Which movies star both Liz Taylor and Richard Burton?	In which films do both Liz Taylor and Richard Burton appear?	Which movies star both Liz Taylor and Richard Burton and were released before 1970?	Which movies star both Liz Taylor and Richard Burton and were released on or after 1970?	0	SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q34851> . ?uri <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q151973> . }
no_usparql_2571	Which music albums contain the song Last Christmas?	On which music albums can the song Last Christmas be found?	Which music albums contain the song Last Christmas as an original track?	Which music albums contain the song Last Christmas as a cover track?	1	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { { wd:Q1318118 wdt:P361 ?uri . } UNION { VALUES ?albumType { wd:Q482994 wd:Q208569 } ?uri wdt:P31|wdt:P7937 ?albumType ; wdt:P658 wd:Q1318118 . }}
no_usparql_2577	Give me all Swedish holidays (including public, regional, and unofficial holidays).	Can you provide a list of all public, regional, and unofficial holidays celebrated in Sweden?	Can you provide a list of all public, regional, and unofficial holidays celebrated in Sweden in March?	Can you provide a list of all public, regional, and unofficial holidays celebrated in Sweden in months other than March?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q1401522 . }
no_usparql_2579	List all the musicals with music by Leonard Bernstein.	Which musicals feature music composed by Leonard Bernstein?	List all the musicals with music by Leonard Bernstein that premiered before 1970.	List all the musicals with music by Leonard Bernstein that premiered on or after 1970.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q2743 ; wdt:P86 wd:Q152505 . }
no_usparql_2582	Which writers studied in Istanbul?	Which writers were educated in Istanbul?	Which writers studied at Istanbul University?	Which writers studied in Istanbul but never in Istanbul University?	0	SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P106> <http://www.wikidata.org/entity/Q36180> . ?uri <http://www.wikidata.org/prop/direct/P69>/<http://www.wikidata.org/prop/direct/P131>  <http://www.wikidata.org/entity/Q406> . }
no_usparql_2583	Give me all Australian metalcore bands.	Can you provide a list of all metalcore bands from Australia?	Give me all Australian metalcore bands formed before 2010.	Give me all Australian metalcore bands formed on or after 2010.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q215380 ; wdt:P495 wd:Q408 ; wdt:P136 wd:Q183862 . }
no_usparql_2585	List all recognized types of eating disorders.	List all standard types of eating disorders.	List all recognized types of eating disorders that involve binge eating.	List all recognized types of eating disorders that do not involve binge eating.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P279 wd:Q373822 . }
no_usparql_2590	Which U.S. states are entirely or partially in the Mountain Time Zone?	Which U.S. states are in the Mountain Time Zone either in whole or in part?	Which U.S. states are entirely in the Mountain Time Zone?	Which U.S. states are only partially in the Mountain Time Zone?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q829 wdt:P421 ?timezone . ?uri wdt:P31 wd:Q35657 ; wdt:P421 ?timezone . FILTER(?uri != wd:Q829) }
no_usparql_2591	Give me all children's books written by Danielle Steel.	Can you provide a list of every children's book authored by Danielle Steel?	Give me all children's books written by Danielle Steel that were published before the year 1995.	Give me all children's books written by Danielle Steel that were published on or after the year 1995.	0	SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q571> . ?uri <http://www.wikidata.org/prop/direct/P50> <http://www.wikidata.org/entity/Q72653> . } 
no_usparql_2595	Which programming languages have been influenced by Perl?	What programming languages were influenced by Perl?	Which programming languages influenced by Perl are primarily scripting languages?	Which programming languages influenced by Perl are not primarily script languages?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q9143 ; wdt:P737 wd:Q42478 . }
no_usparql_2597	What airlines are part of the SkyTeam alliance?	Which airlines belong to the SkyTeam alliance?	Which airlines in the SkyTeam alliance are based in Europe?	Which airlines in the SkyTeam alliance are based outside of Europe?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P114 wd:Q212282 . }
no_usparql_2599	Could you please list other books have been written by the author of The Fault in Our Stars?	What other books have been written by the author of The Fault in Our Stars?	What other fiction books have been written by the author of The Fault in Our Stars?	What non-fiction books have been written by the author of The Fault in Our Stars before 2010?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q658375 wdt:P50 ?author . ?uri wdt:P50 ?author . FILTER(?uri != wd:Q658375) }
no_usparql_2604	Which films starring Clint Eastwood did he direct himself?	Which films did Clint Eastwood direct and star in?	Which films starring Clint Eastwood did he both direct and produce himself?	Which films starring Clint Eastwood did he direct but not produce himself?	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT DISTINCT ?uri  WHERE { ?uri wdt:P57 wd:Q43203 ; wdt:P161 wd:Q43203 . }
no_usparql_2608	Give me all actors with the last name Baldwin.	List all actors with the last name Baldwin.	Give me all male actors with the last name Baldwin.	Give me all female or non-binary actors with the last name Baldwin.	0	"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P106 wd:Q33999 ; rdfs:label ?label . FILTER(CONTAINS(?label, ""Baldwin""))}"
no_usparql_2624	List all English Gothic buildings in Kent.	What Gothic buildings are in Kent?	List all Gothic churches or cathedrals in Kent.	List all Gothic buildings in Kent that are not churches or cathedrals.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?type wdt:P279* wd:Q176483 . ?uri wdt:P149 ?type ; wdt:P7959 wd:Q67479626 . }
no_usparql_2625	In which countries can you pay using the West African CFA franc?	What countries accept the West African CFA franc?	In which countries that were previously Portuguese colonies can you pay using the West African CFA franc?	In which countries that were not Portuguese colonies can you pay using the West African CFA franc?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P38 wd:Q861690 . }
no_usparql_2631	Which weapons did Heckler & Koch develop?	What weapons were developed by Heckler & Koch?	Which Heckler & Koch weapons are firearms?	Which Heckler & Koch weapons are non-firearm weapons?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?res WHERE { ?res wdt:P176 wd:Q152815 . ?res wdt:P279*/wdt:P31 wd:Q15142889 . } 
no_usparql_2638	Give me all films produced by Hal Roach.	Can you provide a list of every film produced by Hal Roach?	Give me all films produced by Hal Roach that are comedies.	Give me all films produced by Hal Roach that are not comedies.	0	SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q11424> . ?uri <http://www.wikidata.org/prop/direct/P162> <http://www.wikidata.org/entity/Q72792> . }
no_usparql_2641	Give me a list of all bandleaders that play trumpet and have won a Grammy.	Can you provide a list of all bandleaders who play the trumpet and have won an Grammy?	Give me a list of all bandleaders born in New Orleans that play trumpet and have won a Grammy.	Give me a list of all bandleaders not born in New Orleans that play trumpet and have won a Grammy.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?res WHERE { ?res wdt:P106 wd:Q806349 . ?res wdt:P1303 wd:Q8338 . }
no_usparql_2655	Give me all people that were born in Vienna and died in Berlin.	List all individuals who were born in Vienna and passed away in Berlin.	Give me all people that were born in Vienna before 1900 and died in Berlin.	Give me all people that were born in Vienna on or after 1900 and died in Berlin.	0	PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT ?uri WHERE {{ ?uri wdt:P19/wdt:P131* wd:Q1741 . { SELECT ?uri WHERE { ?uri wdt:P20 wd:Q64 . }}} UNION { ?uri wdt:P20/wdt:P131* wd:Q64 . { SELECT ?uri WHERE { ?uri wdt:P19 wd:Q1741 . }}} UNION { ?uri wdt:P19/wdt:P131+ wd:Q1741 . { SELECT ?uri WHERE { ?uri wdt:P20/wdt:P131+ wd:Q64 . }}}}
no_usparql_2658	Give me all films produced by Steven Spielberg with a budget of at least $80 million.	List every film produced by Steven Spielberg that had a budget of $80 million or more.	Give me all films produced by Steven Spielberg with a budget of at least $80 million and released before 2010.	Give me all films produced by Steven Spielberg with a budget of at least $80 million and released on or after 2010.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P162 wd:Q8877 ; wdt:P31/wdt:P279* wd:Q11424 ; wdt:P2130 ?cost . FILTER(?cost > 80000000)}
no_usparql_2661	Give me all types or lines of the German Shepherd dog.	List every type or line of the German Shepherd dog.	Give me all working line types of the German Shepherd dog.	Give me all non-working line types of the German Shepherd dog.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P279* wd:Q38280 FILTER(?uri != wd:Q38280) }
no_usparql_2672	Which airports does Yeti Airlines serve?	What airports are served by Yeti Airlines?	Which domestic airports does Yeti Airlines serve?	Which international airports does Yeti Airlines serve?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q1480118 wdt:P113 ?uri . }
no_usparql_2696	Which awards did Douglas Hofstadter win?	What awards has Douglas Hofstadter received?	Which awards did Douglas Hofstadter win for his work in cognitive science?	Which awards did Douglas Hofstadter win for his contributions outside of cognitive science?	0	SELECT DISTINCT ?uri WHERE { <http://www.wikidata.org/entity/Q319308> <http://www.wikidata.org/prop/direct/P166> ?uri . }
no_usparql_2705	Give me all launch pads used by NASA.	List every launch pad that has been used by NASA.	Give me all launch pads used by NASA that are located within the United States.	Give me all launch pads used by NASA that are located outside the United States.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q194188 ; wdt:P137 wd:Q23548 . }
no_usparql_2720	List all the musicals with music composed by Elton John.	Which musicals feature music composed by Elton John?	List all the musicals with music solely composed by Elton John.	List all the musicals with music composed by Elton John along with other composers.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31/wdt:P279* wd:Q58483083 ; wdt:P86 wd:Q2808 . }
no_usparql_2723	Which companies produce hovercrafts?	What companies manufacture hovercrafts?	Which companies produce electric hovercrafts?	Which companies produce non-electric hovercrafts and do not produce electric ones?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/>  PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?hovercraft wdt:P31/wdt:P279* wd:Q185757 ; wdt:P176 ?uri . }
no_usparql_2732	Which electronics companies were founded in Beijing?	Which electronics companies were established in Beijing?	Which electronics companies were founded in Beijing before the year 2000?	Which electronics companies were founded in Beijing on or after the year 2000?	0	SELECT DISTINCT ?company WHERE { ?company  <http://www.wikidata.org/prop/direct/P452> <http://www.wikidata.org/entity/Q581105> ;  <http://www.wikidata.org/prop/direct/P740> <http://www.wikidata.org/entity/Q956> . } 
no_usparql_2743	List the children of Margaret Thatcher.	Who are the children of Margaret Thatcher?	List the sons of Margaret Thatcher.	List the non-male children of Margaret Thatcher.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/>  PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q7416 wdt:P40 ?uri . }
no_usparql_2761	Give me all members of Prodigy.	List every member of Prodigy.	Give me all current members of Prodigy.	Give me all former members of Prodigy.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P463 wd:Q7256860 . }
no_usparql_2763	Who are the writers of the Wall album of Pink Floyd?	Who wrote Pink Floyd's album The Wall?	Who are the primary songwriters of the Wall album of Pink Floyd?	Who are the additional or contributing writers of the Wall album of Pink Floyd?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q151114 wdt:P658 ?track . ?track wdt:P162 ?uri . }
no_usparql_2783	Which television shows were created by Walt Disney?	What television programs did Walt Disney create?	Which television shows were created by Walt Disney and originally aired on the Disney Channel?	Which television shows were created by Walt Disney and did not originally air on the Disney Channel?	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31/wdt:P279* wd:Q7725310 ; wdt:P170 wd:Q8704 . }
no_usparql_2832	Which books by Kerouac were published by Viking Press?	What books written by Kerouac were released through Viking Press?	Which books by Kerouac were published posthumously by Viking Press?	Which books by Kerouac were published during his lifetime by Viking Press?	0	 SELECT DISTINCT ?s1 WHERE { ?s1  <http://www.wikidata.org/prop/direct/P123>  <http://www.wikidata.org/entity/Q921536> . ?s1  <http://www.wikidata.org/prop/direct/P31>  <http://www.wikidata.org/entity/Q47461344> . ?s1  <http://www.wikidata.org/prop/direct/P50>  <http://www.wikidata.org/entity/Q160534> . }
no_usparql_2843	In which films did both Julia Roberts and Richard Gere play?	What movies have Julia Roberts and Richard Gere starred in together?	In which films did both Julia Roberts and Richard Gere play before 1995?	In which films did both Julia Roberts and Richard Gere play since 1995?	0	SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q11424> . ?uri <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q48410> . ?uri <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q40523> . }
no_usparql_2847	Give me a list of all Canadian record labels associated with Grunge music.	Can you provide a list of all Canadian record labels that publish Grunge music?	Give me a list of all currently active Canadian record labels associated with Grunge music.	Give me a list of all defunct Canadian record labels associated with Grunge music.	0	 SELECT ?s1 WHERE { ?s1  wdt:P136  <http://www.wikidata.org/entity/Q11365> . ?s1  wdt:P31  <http://www.wikidata.org/entity/Q18127> . ?s1  wdt:P17 <http://www.wikidata.org/entity/Q16> . }
no_usparql_2863	Give me all actors starring in Last Action Hero.	List all actors who starred in Last Action Hero.	Give me all male actors starring in Last Action Hero.	Give me all non-male actors starring in Last Action Hero.	0	SELECT ?o1 WHERE {   <http://www.wikidata.org/entity/Q858840>  <http://www.wikidata.org/prop/direct/P161>  ?o1 .  } 
no_usparql_3633	Which shows aired for the first time in the same year as Saturday Night Live?	Which shows debuted the same year as Saturday Night Live?	Which comedy shows aired for the first time in the same year as Saturday Night Live?	Which non-comedy shows aired for the first time in the same year as Saturday Night Live?	0	PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX dct: <http://purl.org/dc/terms/> PREFIX geo: <http://www.opengis.net/ont/geosparql#> PREFIX p: <http://www.wikidata.org/prop/> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX psn: <http://www.wikidata.org/prop/statement/value-normalized/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wds: <http://www.wikidata.org/entity/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wdv: <http://www.wikidata.org/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT DISTINCT ?result WHERE {wd:Q13979 wdt:P580 ?snl. ?result wdt:P31 wd:Q5398426; wdt:P580 ?start. FILTER(YEAR(?snl) = YEAR(?start) && ?result != wd:Q13979)}
no_usparql_3717	Which artists have the same birthday as Rachel Stevens?	Which people with the same birthday as Rachel Stevens are artists?	Which artists were born on the same date and in the same year as Rachel Stevens?	Which artists were born on the same date but in a different year than Rachel Stevens?	0	 SELECT ?s WHERE { <http://www.wikidata.org/entity/Q241665>  <http://www.wikidata.org/prop/direct/P569>  ?date . ?s <http://www.wikidata.org/prop/direct/P106> / <http://www.wikidata.org/prop/direct/P279>*   <http://www.wikidata.org/entity/Q483501> . ?s  <http://www.wikidata.org/prop/direct/P569>  ?date . }
no_usparql_3723	Which airports are located in California, USA?	What airports are there in California, USA?	Which airports are located on islands in California, USA?	Which airports are located on mainland California, USA?	0	SELECT DISTINCT ?s1 WHERE { ?s1  ?p1  <http://www.wikidata.org/entity/Q1248784> . ?s1  <http://www.wikidata.org/prop/direct/P276>  <http://www.wikidata.org/entity/Q99> .  }
no_usparql_3730	Which monarchs of the United Kingdom were married to a German spouse?	Which British monarchs had spouses of German origin?	Which monarchs of the United Kingdom were married to a German princess?	Which monarchs of the United Kingdom were married to a German who was not a princess?	0	PREFIX p: <http://www.wikidata.org/prop/> PREFIX ps: <https://w3id.org/payswarm#> PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX bd: <http://www.bigdata.com/rdf#> PREFIX wikibase: <http://wikiba.se/ontology#> SELECT DISTINCT ?uri WHERE { { ?uri ?allowed wd:Q9134365 . VALUES ?allowed { wdt:P39 wdt:P97 } } UNION { ?uri wdt:P39 ?position . VALUES ?position { wd:Q116 wd:Q12097  } ?uri p:P39/pq:P642 ?kingdom . } VALUES ?kingdom { wd:Q161885 wd:Q174193 } . ?uri wdt:P26 ?spouse . ?spouse wdt:P19/wdt:P17 wd:Q183 . }
no_usparql_3743	Give me all writers that won the Nobel Prize in literature.	List all authors who have received the Nobel Prize in Literature.	Give me all Asian writers that won the Nobel Prize in literature.	Give me all writers  from outside Asia that won the Nobel Prize in literature.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P106 wd:Q36180 ; wdt:P166 wd:Q37922 . }
no_usparql_3744	Give me English actors starring in Lovesick.	Which English actors appear in Lovesick?	Give me English male actors starring in Lovesick.	Give me English female or non-binary actors starring in Lovesick.	0	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q12125895 wdt:P161 ?uri. ?uri wdt:P19 ?birthplace . ?birthplace wdt:P17 wd:Q145 . }
