action,dataset,llm,n_total,n_answered,idk_rate,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3)
zero-shot,spinach,deepseek-reasoner,150,148,0.0133,0.1824,0.1081,0.4054,0.2838,0.8514,0.0946,0.4962,0.4124,0.0402,0.3
zero-shot,spinach,gemini-2.0-flash,150,150,0.0,0.4,0.1,0.4267,0.32,0.66,0.0333,0.6502,0.4701,0.12,0.2635
zero-shot,spinach,gemini-2.5-flash,150,148,0.0133,0.3311,0.25,0.4527,0.473,0.8176,0.223,0.6215,0.5524,0.0331,0.4382
zero-shot,spinach,gemini-2.5-pro,150,149,0.0067,0.3154,0.2148,0.4161,0.4295,0.8188,0.1879,0.6527,0.5655,0.0231,0.458
zero-shot,spinach,gpt-4.1-2025-04-14,150,150,0.0,0.4733,0.2067,0.5067,0.4267,0.62,0.1267,0.7396,0.58,0.1208,0.3468
zero-shot,spinach,gpt-4.1-mini-2025-04-14,150,150,0.0,0.4333,0.1933,0.5533,0.4,0.5,0.0733,0.7356,0.5728,0.1756,0.2803
zero-shot,spinach,gpt-4.1-nano-2025-04-14,150,148,0.0133,0.3243,0.1351,0.5338,0.4122,0.5878,0.0405,0.6131,0.45,0.2148,0.1761
zero-shot,spinach,gpt-4o,150,130,0.1333,0.4769,0.1692,0.5077,0.4615,0.7692,0.1077,0.6944,0.5049,0.1063,0.3398
zero-shot,spinach,gpt-5,150,117,0.22,0.5385,0.3077,0.5812,0.5812,0.906,0.2821,0.728,0.6219,0.0311,0.5924
zero-shot,spinach,gpt-5-mini,150,98,0.3467,0.5204,0.2347,0.4592,0.551,0.9184,0.2041,0.7129,0.5286,0.0379,0.5334
zero-shot,spinach,gpt-5-nano,150,115,0.2333,0.513,0.2522,0.4783,0.5217,0.8783,0.2261,0.6939,0.5035,0.0888,0.4721
zero-shot,spinach,gpt-oss:20b,150,146,0.0267,0.2192,0.1027,0.3493,0.2466,0.8425,0.0753,0.4254,0.3527,0.0636,0.2316
zero-shot,spinach,grok-3-mini,150,145,0.0333,0.3172,0.2621,0.5448,0.4621,0.8828,0.2552,0.6598,0.6349,0.0335,0.4769
zero-shot,spinach,llama3.1:70b,150,150,0.0,0.2267,0.0867,0.32,0.26,0.7333,0.0467,0.4951,0.3904,0.0865,0.2086
zero-shot,spinach,llama3.1:8b,150,150,0.0,0.02,0.0,0.0333,0.0333,0.7933,0.0,0.1735,0.1221,0.0517,0.0628
zero-shot,spinach,mistral-small:24b,144,128,0.1111,0.4297,0.1797,0.4297,0.3828,0.6328,0.0156,0.6645,0.4722,0.2505,0.2274
zero-shot,spinach,o3,144,143,0.0069,0.4126,0.3357,0.5804,0.5315,0.9091,0.3077,0.7275,0.6479,0.0315,0.5278
zero-shot,synthetic,deepseek-chat,150,148,0.0133,0.4662,0.2027,0.5068,0.4797,0.5541,0.1149,0.6846,0.548,0.1648,0.3199
zero-shot,synthetic,deepseek-reasoner,150,150,0.0,0.2867,0.2333,0.5267,0.4467,0.7533,0.18,0.5706,0.5545,0.0427,0.4397
zero-shot,synthetic,gemini-2.0-flash,150,150,0.0,0.4267,0.18,0.5267,0.44,0.5533,0.0933,0.7391,0.5706,0.1478,0.364
zero-shot,synthetic,gemini-2.5-flash,150,150,0.0,0.4667,0.3467,0.6067,0.5533,0.8733,0.3133,0.7421,0.6804,0.0241,0.5958
zero-shot,synthetic,gemini-2.5-pro,150,150,0.0,0.4467,0.3533,0.6067,0.4933,0.8067,0.3067,0.7282,0.7069,0.0412,0.5999
zero-shot,synthetic,gpt-4.1-2025-04-14,150,150,0.0,0.6,0.2733,0.7,0.54,0.6133,0.1667,0.8377,0.7008,0.1287,0.4685
zero-shot,synthetic,gpt-4.1-mini-2025-04-14,150,150,0.0,0.4667,0.18,0.5533,0.5333,0.52,0.08,0.75,0.6301,0.1726,0.3793
zero-shot,synthetic,gpt-4.1-nano-2025-04-14,150,150,0.0,0.3667,0.1133,0.5133,0.4467,0.5867,0.06,0.6469,0.5003,0.1767,0.3219
zero-shot,synthetic,gpt-4o,150,145,0.0333,0.3862,0.131,0.5379,0.3931,0.7241,0.0897,0.6688,0.5405,0.1312,0.368
zero-shot,synthetic,gpt-5,150,146,0.0267,0.5411,0.3767,0.5959,0.637,0.8904,0.3493,0.7811,0.6781,0.0195,0.6904
zero-shot,synthetic,gpt-5-mini,150,133,0.1133,0.5038,0.2632,0.4737,0.5489,0.8722,0.2406,0.7215,0.5704,0.0653,0.5787
zero-shot,synthetic,gpt-5-nano,150,139,0.0733,0.5252,0.3669,0.6547,0.554,0.9281,0.3309,0.7301,0.6395,0.0442,0.5987
zero-shot,synthetic,gpt-oss:20b,150,150,0.0,0.2733,0.22,0.5,0.4,0.7933,0.1733,0.5755,0.5528,0.0474,0.4674
zero-shot,synthetic,grok-3-mini,150,150,0.0,0.4533,0.3467,0.6267,0.5467,0.88,0.3067,0.7199,0.6895,0.0401,0.597
zero-shot,synthetic,llama3.1:70b,150,150,0.0,0.3067,0.0867,0.4067,0.3067,0.6467,0.0467,0.6141,0.4462,0.1147,0.2735
zero-shot,synthetic,llama3.1:8b,150,150,0.0,0.0267,0.0,0.0333,0.0067,0.8,0.0,0.2604,0.1659,0.034,0.103
zero-shot,synthetic,mistral-small:24b,150,142,0.0533,0.3732,0.1268,0.5493,0.4014,0.5634,0.0282,0.6245,0.5033,0.2108,0.2686
zero-shot,synthetic,o3,150,149,0.0067,0.3758,0.2617,0.5235,0.443,0.8658,0.2483,0.6787,0.6061,0.0252,0.5425
