dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),J(A1-A2),J(A1-A34),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),J(A3-A4),idk_A1,idk_A2,idk_A3,idk_A4,idk_A1*,idk_A1**,?A1=A1(ave),J_A1_ave,idk,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
qawiki,classification,grok-3-mini,0.72,0.5667,0.3933,0.66,0.68,0.56,0.24,0.24,0.2133,0.9533,0.6067,,,0.8933,0.7993,0.6406,0.6388,0.4318,0.4176,0.4091,0.3134,0.1667,0.1667,0.2067,0.2867,0.14,0.2067,0.2311,0.4195,0.2067,0.0,0.0,0.1215,0.0,0.9947,0.0
qawiki,classification,llama3.1:70b,0.7867,0.46,0.2733,0.8,0.8933,0.46,0.1467,0.0933,0.1333,0.8333,0.6933,,,0.5333,0.8864,0.7591,0.7515,0.4186,0.3589,0.395,0.0777,0.0267,0.0333,0.04,0.0533,0.0,0.0067,0.1244,0.3908,0.0383,0.0,0.0,0.0168,0.0,0.0,0.0
qawiki,classification,llama3.1:8b,0.1133,0.1,0.0667,0.3533,0.68,0.06,0.0133,0.0067,0.0133,0.88,0.84,,,0.82,0.4828,0.4791,0.385,0.2243,0.1549,0.1793,0.1024,0.0,0.0133,0.0,0.0,0.0,0.0,0.0111,0.1862,0.0033,0.0013,0.0,0.7597,0.0,0.9785,0.002
qawiki,classification,mistral-small:24b,0.6667,0.48,0.34,0.68,0.5667,0.3933,0.2667,0.2067,0.22,0.92,0.66,,,0.6067,0.7529,0.5765,0.4931,0.4723,0.4276,0.4458,0.4104,0.1867,0.2,0.16,0.1267,0.1333,0.0467,0.2311,0.4486,0.1684,0.0,0.0,0.9577,0.0,0.0,0.0
qawiki,classification,o3,0.6667,0.58,0.3667,0.6933,0.7267,0.5733,0.1867,0.16,0.18,0.8733,0.5867,,,0.8867,0.8033,0.663,0.657,0.4253,0.4297,0.4344,0.2574,0.14,0.1067,0.18,0.1933,0.18,0.2,0.1756,0.4298,0.155,0.0,0.0,0.0427,0.0,0.5722,0.0
qawiki,fixing,deepseek-chat,0.7067,0.5333,0.7067,0.76,0.6933,0.5133,0.2667,0.3067,0.2667,,,,,,0.8225,0.682,0.6793,0.4927,0.5164,0.4997,0.2845,0.1133,0.1,0.18,0.1867,0.1133,0.1133,0.28,0.5029,0.145,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,deepseek-reasoner,0.5533,0.4467,0.5933,0.7,0.7667,0.4133,0.0933,0.0933,0.08,,,,,,0.7105,0.666,0.6625,0.3081,0.2829,0.2818,0.2202,0.0667,0.0533,0.1133,0.1267,0.0333,0.0667,0.0889,0.2909,0.09,0.0,0.0,0.0,0.0,0.0205,0.0
qawiki,fixing,gemini-2.0-flash,0.7467,0.6133,0.8,0.8067,0.8667,0.6,0.7133,0.7333,0.7,,,,,,0.7963,0.7979,0.7967,0.8294,0.8316,0.8342,0.0993,0.02,0.0067,0.0067,0.0867,0.0267,0.0267,0.7155,0.8317,0.03,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gemini-2.5-flash,0.7867,0.6933,0.7533,0.7667,0.78,0.6867,0.58,0.54,0.5,,,,,,0.8331,0.739,0.7458,0.6938,0.6837,0.6459,0.2197,0.1333,0.0867,0.1067,0.1933,0.14,0.14,0.54,0.6745,0.13,0.0,0.0,0.0,0.0,0.2024,0.0
qawiki,fixing,gemini-2.5-pro,0.7267,0.48,0.6733,0.6867,0.8333,0.48,0.4067,0.4,0.3733,,,,,,0.8186,0.6308,0.6559,0.5832,0.5897,0.5571,0.1667,0.1,0.06,0.0267,0.1467,0.14,0.1667,0.3933,0.5767,0.0834,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-4.1-2025-04-14,0.6867,0.6133,0.78,0.8333,0.7933,0.5867,0.4267,0.42,0.4133,,,,,,0.8347,0.771,0.7462,0.7277,0.7223,0.7196,0.1874,0.0733,0.0733,0.1067,0.12,0.0733,0.0733,0.42,0.7232,0.0933,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-4.1-mini-2025-04-14,0.6667,0.5267,0.7133,0.84,0.6667,0.4867,0.3067,0.3,0.3267,,,,,,0.809,0.6731,0.643,0.6557,0.6578,0.6477,0.2886,0.0867,0.1133,0.2133,0.1333,0.1,0.0867,0.3111,0.6537,0.1366,0.0,0.0,0.0,0.0,0.3089,0.0
qawiki,fixing,gpt-4.1-nano-2025-04-14,0.28,0.1267,0.3067,0.38,0.3467,0.08,0.2733,0.2867,0.3267,,,,,,0.4057,0.2998,0.2038,0.4356,0.4504,0.4708,0.5256,0.2333,0.3267,0.3467,0.04,0.22,0.2333,0.2956,0.4523,0.2367,0.0004,0.0466,0.0049,0.9323,0.7715,0.0053
qawiki,fixing,gpt-4o,0.4733,0.3933,0.4333,0.5133,0.5333,0.3667,0.1667,0.1933,0.1667,,,,,,0.5527,0.4895,0.4616,0.3131,0.3253,0.307,0.4439,0.38,0.4067,0.34,0.3867,0.42,0.4,0.1756,0.3151,0.3784,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-5,0.4,0.34,0.4333,0.4067,0.38,0.3333,0.2267,0.2133,0.2,,,,,,0.4552,0.3653,0.3667,0.3487,0.3477,0.3334,0.62,0.5133,0.5267,0.5067,0.58,0.52,0.5467,0.2133,0.3433,0.5317,0.0,0.0,0.0,0.0,0.1885,0.0
qawiki,fixing,gpt-5-mini,0.28,0.2467,0.2733,0.2933,0.28,0.24,0.1533,0.18,0.16,,,,,,0.3097,0.2609,0.2565,0.2309,0.2523,0.2536,0.72,0.6533,0.6133,0.6333,0.6333,0.64,0.6133,0.1644,0.2456,0.6333,0.0001,0.0012,0.0001,0.0,0.0,0.0
qawiki,fixing,gpt-5-nano,0.2933,0.2467,0.3467,0.34,0.38,0.24,0.1667,0.1867,0.16,,,,,,0.378,0.3062,0.3017,0.2747,0.2679,0.2866,0.6136,0.56,0.48,0.4467,0.5467,0.5133,0.52,0.1711,0.2764,0.5084,0.0,0.0001,0.0106,0.0,0.0,0.0
qawiki,fixing,grok-3-mini,0.74,0.54,0.7333,0.7267,0.66,0.5333,0.26,0.2267,0.2733,,,,,,0.8164,0.6433,0.6496,0.4745,0.4769,0.4961,0.3369,0.1267,0.1333,0.2,0.2467,0.1533,0.12,0.2533,0.4825,0.1767,0.0,0.0,0.0,0.0,0.0946,0.0
qawiki,fixing,llama3.1:70b,0.56,0.42,0.6133,0.74,0.7867,0.3867,0.1333,0.16,0.1333,,,,,,0.687,0.6331,0.6386,0.3432,0.3579,0.3517,0.1706,0.02,0.06,0.1067,0.04,0.02,0.0133,0.1422,0.3509,0.0567,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,llama3.1:8b,0.0933,0.02,0.1467,0.12,0.66,0.0067,0.0067,0.0,0.0267,,,,,,0.427,0.2836,0.2307,0.126,0.1202,0.1375,0.0856,0.0,0.0067,0.0,0.0,0.0,0.0,0.0111,0.1279,0.0017,0.0064,0.125,0.0494,0.0262,0.9933,0.5
qawiki,fixing,mistral-small:24b,0.5067,0.2533,0.48,0.64,0.5733,0.24,0.3533,0.2933,0.3133,,,,,,0.6204,0.4548,0.4421,0.5446,0.5181,0.5313,0.4008,0.26,0.1667,0.24,0.24,0.2533,0.2467,0.32,0.5313,0.2267,0.0001,0.0052,0.0064,0.0,0.0,0.0
qawiki,fixing,o3,0.44,0.4667,0.5933,0.5867,0.72,0.4533,0.1467,0.1733,0.2133,,,,,,0.6246,0.6083,0.5776,0.3846,0.3886,0.4098,0.28,0.3067,0.2733,0.1533,0.26,0.2467,0.2733,0.1778,0.3943,0.2483,0.0,0.0,0.0,0.0,0.0008,0.0
qawiki,zero-shot,deepseek-chat,0.1533,0.0533,0.18,0.22,0.2867,0.02,0.1284,,,0.2933,0.7333,0.7,0.7067,0.4933,0.3763,0.2263,0.1308,0.3303,,,0.5096,0.0867,0.1067,0.3467,0.2133,0.0,0.0,0.1284,0.3303,0.1884,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,deepseek-reasoner,0.1133,0.0667,0.24,0.14,0.7,0.06,0.1149,,,0.3267,0.3333,0.2333,0.8267,0.22,0.3114,0.263,0.2017,0.31,,,0.1524,0.0467,0.0733,0.0533,0.08,0.0,0.0,0.1149,0.31,0.0633,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gemini-2.0-flash,0.24,0.0733,0.3533,0.2,0.5267,0.0267,0.3378,,,0.2733,0.4067,0.7733,0.7067,0.3267,0.4918,0.3007,0.1963,0.5812,,,0.2583,0.0,0.0133,0.0,0.18,0.0,0.0,0.3378,0.5812,0.0483,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gemini-2.5-flash,0.2133,0.1067,0.36,0.1933,0.5067,0.1,0.223,,,0.4267,0.48,0.5267,0.8933,0.5,0.5049,0.3113,0.2405,0.5227,,,0.4042,0.0667,0.0733,0.1067,0.3133,0.0,0.0,0.223,0.5227,0.14,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gemini-2.5-pro,0.2067,0.1133,0.34,0.1867,0.6867,0.1067,0.1351,,,0.3667,0.4333,0.32,0.84,0.2867,0.5064,0.3882,0.3074,0.3744,,,0.1674,0.0267,0.04,0.0733,0.0667,0.0,0.0,0.1351,0.3744,0.0517,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-4.1-2025-04-14,0.1533,0.1067,0.36,0.3267,0.5067,0.06,0.1284,,,0.2333,0.4533,0.5867,0.6267,0.18,0.4681,0.4734,0.3348,0.3943,,,0.2205,0.0267,0.02,0.0733,0.06,0.0,0.0,0.1284,0.3943,0.045,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-4.1-mini-2025-04-14,0.1067,0.06,0.3333,0.0867,0.62,0.0133,0.1351,,,0.2933,0.5267,0.8133,0.86,0.2667,0.2575,0.2448,0.107,0.4097,,,0.2805,0.02,0.1,0.0867,0.2067,0.0,0.0,0.1351,0.4097,0.1034,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-4.1-nano-2025-04-14,0.2333,0.08,0.3067,0.3467,0.3867,0.0067,0.1014,,,0.6,0.64,0.6133,0.68,0.9933,0.4631,0.3355,0.2131,0.2796,,,0.3981,0.1133,0.1,0.1933,0.16,0.0,0.0,0.1014,0.2796,0.1416,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-4o,0.04,0.0133,0.1133,0.0533,0.0333,0.0133,0.1419,,,0.96,0.88,0.96,0.98,0.9533,0.0504,0.0312,0.0242,0.3391,,,0.9517,0.2867,0.92,0.84,0.9267,0.0,0.0,0.1419,0.3391,0.7434,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-5,0.16,0.1667,0.3,0.22,0.3533,0.16,0.2095,,,0.8467,0.8533,0.8533,0.9867,0.8133,0.2681,0.2761,0.2399,0.3468,,,0.6331,0.5467,0.6467,0.4467,0.5933,0.0,0.0,0.2095,0.3468,0.5584,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-5-mini,0.1333,0.0933,0.1867,0.1333,0.1933,0.0933,0.1284,,,0.9,0.9467,0.92,0.9867,0.9267,0.1829,0.1496,0.1318,0.1926,,,0.7969,0.7133,0.6,0.66,0.7467,0.0,0.0,0.1284,0.1926,0.68,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-5-nano,0.1267,0.1067,0.2267,0.1933,0.2867,0.1067,0.1149,,,0.76,0.8733,0.8267,0.9533,0.84,0.2445,0.2071,0.1837,0.2793,,,0.7089,0.5333,0.5067,0.5533,0.6067,0.0,0.0,0.1149,0.2793,0.55,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,gpt-oss:20b,0.0867,0.0667,0.2467,0.1733,0.5667,0.0667,,,,0.3933,0.4667,0.4867,0.9,0.44,0.2556,0.2322,0.1731,,,,0.3592,0.16,0.24,0.1733,0.2867,0.0,0.0,,,0.215,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,grok-3-mini,0.2067,0.1467,0.3933,0.24,0.6867,0.1267,,,,0.4067,0.54,0.4333,0.94,0.3867,0.4347,0.3716,0.3051,,,,0.2473,0.0933,0.1067,0.1133,0.1733,0.0,0.0,,,0.1216,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,llama3.1:70b,0.0867,0.0333,0.16,0.1667,0.6533,0.0133,,,,0.1333,0.8,0.6333,0.7533,0.12,0.3177,0.2673,0.1338,,,,0.1724,0.0267,0.0133,0.04,0.0867,0.0,0.0,,,0.0417,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,llama3.1:8b,0.02,0.0,0.08,0.0533,0.7533,0.0,,,,0.9533,0.84,0.8333,0.3867,0.9733,0.18,0.1389,0.0624,,,,0.0879,0.0,0.0,0.0267,0.0133,0.0,0.0,,,0.01,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,mistral-small:24b,0.0946,0.0338,0.1081,0.0878,0.1554,0.0,,,,0.8176,0.8919,0.9122,0.7027,0.9527,0.1858,0.1371,0.067,,,,0.6868,0.6824,0.3446,0.4257,0.4189,0.0,0.0,,,0.4679,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,zero-shot,o3,0.1419,0.0878,0.277,0.1554,0.6757,0.0811,0.1554,,,0.4257,0.5135,0.4122,0.9189,0.4257,0.3783,0.3287,0.2623,0.4205,,,0.2719,0.1622,0.1892,0.1622,0.1757,0.0,0.0,0.1554,0.4205,0.1723,1.0,1.0,1.0,1.0,1.0,1.0
spinach,chain-of-thought,deepseek-chat,0.7973,0.6014,0.7297,0.6959,0.7297,0.6014,,,,,,,,,0.8095,0.6998,0.6866,,,,0.2644,0.1824,0.1824,0.1824,0.2432,0.0,0.0,,,0.1976,0.0,0.0,0.0,0.0,0.0,0.0
spinach,chain-of-thought,deepseek-reasoner,0.8067,0.6333,0.7467,0.7333,0.7467,0.62,,,,,,,,,0.8308,0.7129,0.7081,,,,0.2423,0.1467,0.1467,0.16,0.2133,0.0,0.0,,,0.1667,0.0,0.0,0.0,0.0,0.57,0.0
spinach,chain-of-thought,gpt-4.1-2025-04-14,0.9189,0.7635,0.8986,0.8514,0.8176,0.75,,,,,,,,,0.9481,0.8176,0.8005,,,,0.1646,0.0405,0.0405,0.0811,0.1216,0.0,0.0,,,0.0709,0.0,0.0,0.0,0.0,0.0,0.0
spinach,chain-of-thought,gpt-5,0.7867,0.7267,0.78,0.78,0.8,0.7067,,,,,,,,,0.8144,0.7847,0.7579,,,,0.1891,0.1533,0.16,0.1533,0.1667,0.0,0.0,,,0.1583,0.0,0.0,0.0,0.0,0.0,0.0
spinach,chain-of-thought,gpt-5-nano,0.5733,0.36,0.4867,0.4667,0.58,0.3533,,,,,,,,,0.6001,0.514,0.4577,,,,0.4137,0.38,0.38,0.3867,0.4,0.0,0.0,,,0.3867,0.0,0.0,0.0,0.0,0.9061,0.0
spinach,chain-of-thought,llama3.1:70b,0.7667,0.46,0.6933,0.64,0.68,0.4467,,,,,,,,,0.8311,0.608,0.5655,,,,0.2927,0.0867,0.0933,0.16,0.2133,0.0,0.0,,,0.1383,0.0,0.0,0.0,0.0,0.0005,0.0
spinach,chain-of-thought,llama3.1:8b,0.7067,0.3933,0.7467,0.56,0.6533,0.3467,,,,,,,,,0.8107,0.6086,0.5067,,,,0.2963,0.06,0.0733,0.12,0.2267,0.0,0.0,,,0.12,0.0,0.0,0.0,0.0,0.0016,0.0
spinach,classification,deepseek-chat,0.7667,0.5,0.4067,0.5667,0.5133,0.4733,0.3333,0.3,0.3133,,,,,,0.7946,0.5354,0.5162,0.5339,0.4911,0.5054,0.461,0.2,0.2,0.2533,0.42,0.2267,0.3133,0.3155,0.5101,0.2683,0.0,0.0,0.0088,0.0,0.3688,0.0
spinach,classification,deepseek-reasoner,0.7067,0.42,0.3467,0.4667,0.5,0.42,0.2933,0.28,0.2933,,,,,,0.745,0.4395,0.4292,0.507,0.4227,0.4198,0.5,0.2333,0.18,0.3467,0.4067,0.22,0.4333,0.2889,0.4498,0.2917,0.0,0.0,0.015,0.0,0.9998,0.0
spinach,classification,gemini-2.0-flash,0.7467,0.4667,0.36,0.5733,0.4933,0.4067,0.34,0.2733,0.2533,0.8933,0.6733,,,0.6067,0.8141,0.5341,0.4997,0.5669,0.5001,0.4767,0.4262,0.1467,0.14,0.3133,0.3867,0.1467,0.28,0.2889,0.5146,0.2467,0.0,0.0,0.0279,0.0,0.405,0.0
spinach,classification,gemini-2.5-flash,0.8667,0.6933,0.4667,0.7667,0.7733,0.6867,0.32,0.3333,0.2933,0.9133,0.6667,,,0.9267,0.8861,0.7148,0.7244,0.5939,0.5723,0.584,0.2201,0.0933,0.0733,0.1467,0.1733,0.1,0.1267,0.3155,0.5834,0.1216,0.0,0.0,0.0222,0.0,0.2923,0.0
spinach,classification,gemini-2.5-pro,0.74,0.66,0.4467,0.7467,0.78,0.66,0.3333,0.3267,0.2733,0.94,0.6333,,,0.9067,0.8076,0.6987,0.7029,0.6003,0.5853,0.5742,0.2143,0.1,0.12,0.14,0.1533,0.1133,0.1467,0.3111,0.5866,0.1283,0.0,0.0,0.7441,0.0,0.0121,0.0
spinach,classification,gpt-4.1-2025-04-14,0.8933,0.72,0.5667,0.82,0.7867,0.7067,0.2533,0.2467,0.2533,0.94,0.6467,,,0.9,0.9455,0.7936,0.791,0.5938,0.5378,0.5539,0.1909,0.0333,0.0333,0.0667,0.16,0.0533,0.1267,0.2511,0.5618,0.0733,0.0,0.0,0.1856,0.0,0.0001,0.0
spinach,classification,gpt-4.1-mini-2025-04-14,0.7667,0.5533,0.4333,0.6267,0.64,0.54,0.24,0.2333,0.2333,0.96,0.6,,,0.88,0.7993,0.5987,0.5854,0.4715,0.4483,0.4619,0.3446,0.1867,0.18,0.12,0.3067,0.2067,0.26,0.2355,0.4606,0.1984,0.0,0.0,0.0019,0.0,0.8698,0.0
spinach,classification,gpt-4.1-nano-2025-04-14,0.0,0.0,0.0,0.0,0.0933,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9067,1.0,0.9733,0.6667,0.5867,0.9867,0.9933,0.0,0.0,0.8067,0.0,0.0,0.001,0.1509,1.0,1.0
spinach,classification,gpt-4o,0.44,0.3067,0.3733,0.3467,0.36,0.3,0.1933,0.2133,0.22,0.9867,0.9133,,,0.84,0.4551,0.3278,0.3232,0.3163,0.2912,0.3005,0.6343,0.54,0.54,0.54,0.62,0.56,0.6067,0.2089,0.3027,0.56,0.0,0.0,0.2552,0.0,0.001,0.0
spinach,classification,gpt-5,0.6467,0.54,0.42,0.6,0.58,0.5333,0.34,0.3333,0.32,0.9467,0.7867,,,0.96,0.6758,0.5696,0.5673,0.5028,0.5137,0.4943,0.4146,0.3,0.2933,0.3267,0.3867,0.3333,0.3467,0.3311,0.5036,0.3267,0.0,0.0,0.434,0.0,0.345,0.0
spinach,classification,gpt-5-mini,0.48,0.24,0.2667,0.2867,0.4667,0.24,0.2533,0.2267,0.22,0.9333,0.84,,,0.8467,0.5004,0.302,0.2504,0.3698,0.3571,0.3533,0.5333,0.4667,0.4333,0.4333,0.4467,0.46,0.48,0.2333,0.3601,0.445,0.0,0.7121,0.9999,0.9231,0.0,0.0069
spinach,classification,gpt-5-nano,0.6867,0.62,0.0667,0.6667,0.12,0.0067,0.08,0.5067,0.0733,0.8667,0.28,,,0.26,0.69,0.6401,0.0313,0.0875,0.5119,0.0833,0.88,0.12,0.1333,0.08,0.02,0.12,0.0933,0.22,0.2276,0.0883,0.0102,0.0,1.0,0.007,1.0,1.0
spinach,classification,gpt-oss:20b,0.5133,0.38,0.2467,0.54,0.64,0.3467,0.2133,0.18,0.2267,0.7,0.4733,,,0.6933,0.635,0.5558,0.4767,0.3812,0.3913,0.3834,0.2943,0.1667,0.12,0.1,0.2533,0.1533,0.1267,0.2067,0.3853,0.16,0.0,0.0,0.9061,0.0,0.6445,0.0
spinach,classification,grok-3-mini,0.8,0.6267,0.5133,0.7467,0.7667,0.62,0.3867,0.3133,0.3533,0.92,0.6933,,,0.8733,0.8583,0.732,0.7114,0.6176,0.574,0.5926,0.2239,0.1067,0.1067,0.1333,0.18,0.08,0.1,0.3511,0.5947,0.1317,0.0,0.0,0.3804,0.0,0.7294,0.0
spinach,classification,llama3.1:70b,0.8,0.5933,0.4267,0.86,0.8933,0.5667,0.2333,0.22,0.24,0.82,0.54,,,0.6133,0.8958,0.8353,0.7835,0.5097,0.4861,0.5062,0.0702,0.0067,0.02,0.0133,0.0467,0.0,0.0,0.2311,0.5007,0.0217,0.0,0.0,0.0011,0.0,0.0,0.0
spinach,classification,llama3.1:8b,0.2067,0.0533,0.1067,0.3133,0.7,0.0333,0.0467,0.0333,0.0267,0.7533,0.8067,,,0.84,0.6022,0.5033,0.3606,0.324,0.2737,0.2779,0.0949,0.0,0.0,0.0,0.0,0.0,0.0,0.0356,0.2919,0.0,0.0003,0.1719,0.8365,0.0,0.225,0.0312
spinach,classification,mistral-small:24b,0.7333,0.42,0.4333,0.6333,0.66,0.36,0.3,0.2267,0.2933,0.92,0.5667,,,0.64,0.81,0.6053,0.531,0.5232,0.4696,0.5113,0.3098,0.12,0.1267,0.1,0.1533,0.0733,0.0267,0.2733,0.5014,0.125,0.0,0.0,0.0249,0.0,0.0001,0.0
spinach,classification,o3,0.7067,0.6733,0.4467,0.74,0.8333,0.6733,0.2933,0.28,0.3,0.8533,0.5933,,,0.8867,0.8341,0.7321,0.7187,0.5721,0.5164,0.5328,0.1604,0.12,0.1,0.08,0.1333,0.1,0.14,0.2911,0.5404,0.1083,0.0,0.0,0.6399,0.0,0.5927,0.0
spinach,fixing,deepseek-chat,0.78,0.6,0.78,0.78,0.74,0.5867,0.4133,0.4067,0.4533,,,,,,0.8832,0.7242,0.7176,0.686,0.6852,0.7053,0.2439,0.0533,0.0533,0.1,0.1733,0.0533,0.0533,0.4244,0.6922,0.095,0.0,0.0,0.0,0.0,0.0,0.0
spinach,fixing,deepseek-reasoner,0.6133,0.4867,0.6,0.7867,0.8133,0.46,0.16,0.1533,0.1333,,,,,,0.7836,0.755,0.7096,0.4119,0.4381,0.3932,0.1645,0.0467,0.06,0.0667,0.0467,0.0533,0.0467,0.1489,0.4144,0.055,0.0,0.0,0.0,0.0,0.1958,0.0
spinach,fixing,gemini-2.0-flash,0.7667,0.6667,0.8733,0.8,0.8467,0.66,0.7667,0.7533,0.72,,,,,,0.8136,0.8097,0.7906,0.8713,0.8616,0.8323,0.1407,0.0267,0.0,0.0133,0.12,0.0267,0.0267,0.7467,0.8551,0.04,0.0,0.0,0.0,0.0,0.0,0.0
spinach,fixing,gemini-2.5-flash,0.84,0.7067,0.8,0.7867,0.8,0.7,0.5933,0.6667,0.62,,,,,,0.8775,0.7607,0.7707,0.736,0.7754,0.7724,0.1947,0.0867,0.04,0.0467,0.1733,0.0667,0.08,0.6267,0.7613,0.0867,0.0,0.0,0.0,0.0,0.0013,0.0
spinach,fixing,gemini-2.5-pro,0.7867,0.6867,0.7467,0.8333,0.84,0.6867,0.54,0.5133,0.5,,,,,,0.8907,0.7997,0.818,0.7368,0.7265,0.7168,0.1575,0.06,0.02,0.0133,0.14,0.0667,0.0533,0.5178,0.7267,0.0583,0.0,0.0,0.0,0.0,0.0,0.0
spinach,fixing,gpt-4.1-2025-04-14,0.8733,0.6467,0.8733,0.8133,0.8533,0.6467,0.6,0.6133,0.5933,,,,,,0.9275,0.7978,0.7973,0.8455,0.8494,0.8417,0.1467,0.0333,0.0333,0.0467,0.1133,0.04,0.04,0.6022,0.8455,0.0567,0.0,0.0,0.0,0.0,0.0,0.0
spinach,fixing,gpt-4.1-mini-2025-04-14,0.8333,0.62,0.8333,0.8533,0.8067,0.6133,0.5533,0.5533,0.54,,,,,,0.9138,0.7578,0.7635,0.7759,0.7902,0.7916,0.1765,0.0267,0.02,0.04,0.1267,0.0133,0.02,0.5489,0.7859,0.0534,0.0,0.0,0.0,0.0,0.0,0.0
spinach,fixing,gpt-4.1-nano-2025-04-14,0.6133,0.2933,0.4933,0.5067,0.4067,0.1733,0.12,0.1,0.3733,,,,,,0.6881,0.4558,0.3118,0.3253,0.3042,0.5406,0.3993,0.2,0.1733,0.0867,0.1867,0.1733,0.18,0.1978,0.39,0.1617,0.0,0.0,0.0182,0.0011,0.6556,0.0
spinach,fixing,gpt-4o,0.66,0.4933,0.64,0.6,0.6067,0.4733,0.38,0.34,0.3667,,,,,,0.6901,0.57,0.5249,0.562,0.5456,0.5622,0.3829,0.3,0.2933,0.22,0.3267,0.24,0.2533,0.3622,0.5566,0.285,0.0,0.0,0.0,0.0,0.0,0.0
spinach,fixing,gpt-5,0.5933,0.5,0.5867,0.56,0.5733,0.5,0.4,0.32,0.3333,,,,,,0.6259,0.5348,0.546,0.5327,0.4968,0.5027,0.4267,0.3533,0.3533,0.3333,0.3867,0.36,0.3467,0.3511,0.5107,0.3566,0.0,0.0,0.0,0.0,0.0001,0.0
spinach,fixing,gpt-5-mini,0.42,0.32,0.3467,0.42,0.42,0.32,0.2533,0.2667,0.2533,,,,,,0.4596,0.3565,0.3667,0.3275,0.369,0.3516,0.58,0.5267,0.4733,0.5067,0.48,0.5267,0.5,0.2578,0.3494,0.4967,0.0,0.001,0.0005,0.0011,0.0,0.0
spinach,fixing,gpt-5-nano,0.5,0.3467,0.4467,0.4467,0.4267,0.3333,0.28,0.2733,0.24,,,,,,0.5538,0.3938,0.4059,0.4001,0.4311,0.4038,0.5606,0.4133,0.3533,0.3533,0.5133,0.42,0.4467,0.2644,0.4117,0.4083,0.0,0.0,0.0,0.0,0.0001,0.0
spinach,fixing,grok-3-mini,0.8133,0.5867,0.8267,0.7,0.6867,0.5867,0.3667,0.4133,0.3933,,,,,,0.8688,0.6534,0.6527,0.628,0.6653,0.6444,0.3133,0.08,0.0867,0.1,0.26,0.0533,0.06,0.3911,0.6459,0.1317,0.0,0.0,0.0,0.0,0.0007,0.0
spinach,fixing,llama3.1:70b,0.5933,0.5,0.72,0.78,0.84,0.4933,0.2533,0.2667,0.24,,,,,,0.7508,0.7352,0.7078,0.5101,0.5157,0.5142,0.1374,0.0,0.06,0.0667,0.06,0.0,0.0,0.2533,0.5133,0.0467,0.0,0.0,0.0,0.0,0.0,0.0
spinach,fixing,llama3.1:8b,0.12,0.04,0.1733,0.1267,0.5533,0.0267,0.02,0.0133,0.02,,,,,,0.4342,0.3653,0.2416,0.1657,0.1654,0.1914,0.1418,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0178,0.1742,0.0017,0.0318,0.377,0.2148,0.1325,0.968,0.0625
spinach,fixing,mistral-small:24b,0.7333,0.3667,0.6267,0.7133,0.6867,0.3467,0.3933,0.4467,0.4,,,,,,0.8012,0.5505,0.5258,0.6404,0.651,0.6429,0.2901,0.12,0.06,0.1533,0.16,0.1333,0.1267,0.4133,0.6448,0.1233,0.0,0.0,0.0,0.0,0.0,0.0
