llm,dataset,relation,True,Accuracy,Size,Equivalence,Contains,ContainedBy,Overlap,Disjoint,Unknown,Else
gpt-5-mini,synthetic,R(1-3),Contains,0.9600(144),150,0.0133(2),0.9600(144),0.0067(1),0.0067(1),0.0000(0),0.0133(2),0.0000(0)
gpt-5-mini,synthetic,R(1-4),Contains,0.9733(146),150,0.0000(0),0.9733(146),0.0000(0),0.0000(0),0.0067(1),0.0200(3),0.0000(0)
gpt-5-mini,synthetic,R(3-4),Disjoint,0.9733(146),150,0.0067(1),0.0000(0),0.0000(0),0.0133(2),0.9733(146),0.0067(1),0.0000(0)
gpt-5-mini,synthetic,R(1-34),Equivalence,0.9800(147),150,0.9800(147),0.0000(0),0.0133(2),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
gpt-5-nano,qawiki,R(1-2),Equivalence,0.8800(132),150,0.8800(132),0.0400(6),0.0467(7),0.0133(2),0.0067(1),0.0133(2),0.0000(0)
gpt-5-nano,qawiki,R(1-3),Contains,0.9133(137),150,0.0400(6),0.9133(137),0.0067(1),0.0067(1),0.0067(1),0.0267(4),0.0000(0)
gpt-5-nano,qawiki,R(1-4),Contains,0.9267(139),150,0.0200(3),0.9267(139),0.0000(0),0.0067(1),0.0133(2),0.0200(3),0.0133(2)
gpt-5-nano,qawiki,R(3-4),Disjoint,0.8800(132),150,0.0000(0),0.0600(9),0.0200(3),0.0000(0),0.8800(132),0.0400(6),0.0000(0)
gpt-5-nano,qawiki,R(1-34),Equivalence,0.9200(138),150,0.9200(138),0.0200(3),0.0200(3),0.0067(1),0.0267(4),0.0067(1),0.0000(0)
gpt-5-nano,spinach,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0267(4),0.0267(4),0.0000(0),0.0000(0),0.0333(5),0.0000(0)
gpt-5-nano,spinach,R(1-3),Contains,0.8267(124),150,0.1000(15),0.8267(124),0.0133(2),0.0000(0),0.0200(3),0.0267(4),0.0133(2)
gpt-5-nano,spinach,R(1-4),Contains,0.9133(137),150,0.0200(3),0.9133(137),0.0067(1),0.0000(0),0.0267(4),0.0267(4),0.0067(1)
gpt-5-nano,spinach,R(3-4),Disjoint,0.8533(128),150,0.0067(1),0.0333(5),0.0200(3),0.0333(5),0.8533(128),0.0533(8),0.0000(0)
gpt-5-nano,spinach,R(1-34),Equivalence,0.9067(136),150,0.9067(136),0.0400(6),0.0200(3),0.0000(0),0.0267(4),0.0067(1),0.0000(0)
gpt-5-nano,synthetic,R(1-2),Equivalence,0.9400(141),150,0.9400(141),0.0333(5),0.0133(2),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gpt-5-nano,synthetic,R(1-3),Contains,0.8333(125),150,0.0667(10),0.8333(125),0.0067(1),0.0067(1),0.0267(4),0.0467(7),0.0133(2)
gpt-5-nano,synthetic,R(1-4),Contains,0.9067(136),150,0.0333(5),0.9067(136),0.0000(0),0.0067(1),0.0067(1),0.0333(5),0.0133(2)
gpt-5-nano,synthetic,R(3-4),Disjoint,0.9067(136),150,0.0133(2),0.0200(3),0.0133(2),0.0000(0),0.9067(136),0.0467(7),0.0000(0)
gpt-5-nano,synthetic,R(1-34),Equivalence,0.8933(134),150,0.8933(134),0.0467(7),0.0400(6),0.0067(1),0.0000(0),0.0067(1),0.0067(1)
gpt-oss:20b,qawiki,R(1-2),Equivalence,0.9267(139),150,0.9267(139),0.0133(2),0.0333(5),0.0200(3),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,qawiki,R(1-3),Contains,0.9333(140),150,0.0400(6),0.9333(140),0.0200(3),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,qawiki,R(1-4),Contains,0.9600(144),150,0.0200(3),0.9600(144),0.0000(0),0.0000(0),0.0200(3),0.0000(0),0.0000(0)
gpt-oss:20b,qawiki,R(3-4),Disjoint,0.9267(139),150,0.0000(0),0.0200(3),0.0200(3),0.0333(5),0.9267(139),0.0000(0),0.0000(0)
gpt-oss:20b,qawiki,R(1-34),Equivalence,0.9533(143),150,0.9533(143),0.0200(3),0.0200(3),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,spinach,R(1-2),Equivalence,0.9200(138),150,0.9200(138),0.0600(9),0.0200(3),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-oss:20b,spinach,R(1-3),Contains,0.9133(137),150,0.0533(8),0.9133(137),0.0200(3),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,spinach,R(1-4),Contains,0.9733(146),150,0.0267(4),0.9733(146),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-oss:20b,spinach,R(3-4),Disjoint,0.8933(134),150,0.0133(2),0.0467(7),0.0200(3),0.0267(4),0.8933(134),0.0000(0),0.0000(0)
gpt-oss:20b,spinach,R(1-34),Equivalence,0.9200(138),150,0.9200(138),0.0267(4),0.0467(7),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-oss:20b,synthetic,R(1-2),Equivalence,0.9400(141),150,0.9400(141),0.0333(5),0.0200(3),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,synthetic,R(1-3),Contains,0.9333(140),150,0.0267(4),0.9333(140),0.0200(3),0.0000(0),0.0133(2),0.0067(1),0.0000(0)
gpt-oss:20b,synthetic,R(1-4),Contains,0.9800(147),150,0.0067(1),0.9800(147),0.0000(0),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,synthetic,R(3-4),Disjoint,0.9333(140),150,0.0133(2),0.0267(4),0.0133(2),0.0133(2),0.9333(140),0.0000(0),0.0000(0)
gpt-oss:20b,synthetic,R(1-34),Equivalence,0.9533(143),150,0.9533(143),0.0267(4),0.0067(1),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
grok-3-mini,qawiki,R(1-2),Equivalence,0.8800(132),150,0.8800(132),0.0467(7),0.0667(10),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
grok-3-mini,qawiki,R(1-3),Contains,0.9600(144),150,0.0200(3),0.9600(144),0.0000(0),0.0000(0),0.0000(0),0.0200(3),0.0000(0)
grok-3-mini,qawiki,R(1-4),Contains,0.9667(145),150,0.0067(1),0.9667(145),0.0000(0),0.0000(0),0.0200(3),0.0067(1),0.0000(0)
grok-3-mini,qawiki,R(3-4),Disjoint,0.9733(146),150,0.0000(0),0.0067(1),0.0000(0),0.0200(3),0.9733(146),0.0000(0),0.0000(0)
grok-3-mini,qawiki,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0000(0),0.0133(2),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
grok-3-mini,spinach,R(1-2),Equivalence,0.9200(138),150,0.9200(138),0.0267(4),0.0533(8),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
grok-3-mini,spinach,R(1-3),Contains,0.9400(141),150,0.0400(6),0.9400(141),0.0000(0),0.0067(1),0.0000(0),0.0133(2),0.0000(0)
grok-3-mini,spinach,R(1-4),Contains,0.9533(143),150,0.0067(1),0.9533(143),0.0000(0),0.0000(0),0.0200(3),0.0200(3),0.0000(0)
grok-3-mini,spinach,R(3-4),Disjoint,0.9800(147),150,0.0000(0),0.0000(0),0.0067(1),0.0067(1),0.9800(147),0.0067(1),0.0000(0)
grok-3-mini,spinach,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0133(2),0.0067(1),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
grok-3-mini,synthetic,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0467(7),0.0200(3),0.0000(0),0.0133(2),0.0067(1),0.0000(0)
grok-3-mini,synthetic,R(1-3),Contains,0.9533(143),150,0.0067(1),0.9533(143),0.0067(1),0.0067(1),0.0000(0),0.0267(4),0.0000(0)
grok-3-mini,synthetic,R(1-4),Contains,0.9800(147),150,0.0000(0),0.9800(147),0.0000(0),0.0000(0),0.0067(1),0.0133(2),0.0000(0)
grok-3-mini,synthetic,R(3-4),Disjoint,0.9800(147),150,0.0067(1),0.0000(0),0.0000(0),0.0067(1),0.9800(147),0.0067(1),0.0000(0)
grok-3-mini,synthetic,R(1-34),Equivalence,0.9800(147),150,0.9800(147),0.0000(0),0.0133(2),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
llama3.1:70b,qawiki,R(1-2),Equivalence,0.9867(148),150,0.9867(148),0.0000(0),0.0000(0),0.0133(2),0.0000(0),0.0000(0),0.0000(0)
llama3.1:70b,qawiki,R(1-3),Contains,0.0800(12),150,0.0067(1),0.0800(12),0.9067(136),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
llama3.1:70b,qawiki,R(1-4),Contains,0.2933(44),150,0.0000(0),0.2933(44),0.0733(11),0.3600(54),0.2733(41),0.0000(0),0.0000(0)
llama3.1:70b,qawiki,R(3-4),Disjoint,1.0000(150),150,0.0000(0),0.0000(0),0.0000(0),0.0000(0),1.0000(150),0.0000(0),0.0000(0)
llama3.1:70b,qawiki,R(1-34),Equivalence,0.9867(148),150,0.9867(148),0.0000(0),0.0000(0),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
llama3.1:70b,spinach,R(1-2),Equivalence,0.9867(148),150,0.9867(148),0.0000(0),0.0000(0),0.0133(2),0.0000(0),0.0000(0),0.0000(0)
llama3.1:70b,spinach,R(1-3),Contains,0.0800(12),150,0.0067(1),0.0800(12),0.8800(132),0.0333(5),0.0000(0),0.0000(0),0.0000(0)
llama3.1:70b,spinach,R(1-4),Contains,0.2067(31),150,0.0067(1),0.2067(31),0.0667(10),0.4667(70),0.2533(38),0.0000(0),0.0000(0)
llama3.1:70b,spinach,R(3-4),Disjoint,0.9867(148),150,0.0067(1),0.0000(0),0.0000(0),0.0067(1),0.9867(148),0.0000(0),0.0000(0)
llama3.1:70b,spinach,R(1-34),Equivalence,0.9800(147),150,0.9800(147),0.0000(0),0.0000(0),0.0133(2),0.0067(1),0.0000(0),0.0000(0)
llama3.1:70b,synthetic,R(1-2),Equivalence,0.9600(144),150,0.9600(144),0.0000(0),0.0067(1),0.0200(3),0.0133(2),0.0000(0),0.0000(0)
llama3.1:70b,synthetic,R(1-3),Contains,0.0800(12),150,0.0067(1),0.0800(12),0.8400(126),0.0600(9),0.0067(1),0.0067(1),0.0000(0)
llama3.1:70b,synthetic,R(1-4),Contains,0.3200(48),150,0.0000(0),0.3200(48),0.1400(21),0.3733(56),0.1667(25),0.0000(0),0.0000(0)
llama3.1:70b,synthetic,R(3-4),Disjoint,0.9933(149),150,0.0067(1),0.0000(0),0.0000(0),0.0000(0),0.9933(149),0.0000(0),0.0000(0)
llama3.1:70b,synthetic,R(1-34),Equivalence,0.9867(148),150,0.9867(148),0.0067(1),0.0000(0),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
o3,qawiki,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0267(4),0.0467(7),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
o3,qawiki,R(1-3),Contains,0.9733(146),150,0.0133(2),0.9733(146),0.0000(0),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
o3,qawiki,R(1-4),Contains,0.9667(145),150,0.0133(2),0.9667(145),0.0000(0),0.0000(0),0.0200(3),0.0000(0),0.0000(0)
o3,qawiki,R(3-4),Disjoint,0.9533(143),150,0.0000(0),0.0067(1),0.0067(1),0.0133(2),0.9533(143),0.0200(3),0.0000(0)
o3,qawiki,R(1-34),Equivalence,0.9267(139),150,0.9267(139),0.0200(3),0.0333(5),0.0000(0),0.0067(1),0.0133(2),0.0000(0)
o3,spinach,R(1-2),Equivalence,0.9333(140),150,0.9333(140),0.0200(3),0.0467(7),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
o3,spinach,R(1-3),Contains,0.9733(146),150,0.0133(2),0.9733(146),0.0000(0),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
o3,spinach,R(1-4),Contains,0.9733(146),150,0.0200(3),0.9733(146),0.0000(0),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
o3,spinach,R(3-4),Disjoint,0.9200(138),150,0.0067(1),0.0067(1),0.0067(1),0.0267(4),0.9200(138),0.0333(5),0.0000(0)
o3,spinach,R(1-34),Equivalence,0.9067(136),150,0.9067(136),0.0400(6),0.0533(8),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
o3,synthetic,R(1-2),Equivalence,0.8933(134),150,0.8933(134),0.0600(9),0.0200(3),0.0000(0),0.0067(1),0.0200(3),0.0000(0)
o3,synthetic,R(1-3),Contains,0.9733(146),150,0.0067(1),0.9733(146),0.0067(1),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
o3,synthetic,R(1-4),Contains,0.9800(147),150,0.0000(0),0.9800(147),0.0000(0),0.0067(1),0.0067(1),0.0067(1),0.0000(0)
o3,synthetic,R(3-4),Disjoint,0.9667(145),150,0.0067(1),0.0067(1),0.0000(0),0.0200(3),0.9667(145),0.0000(0),0.0000(0)
o3,synthetic,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0000(0),0.0200(3),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
deepseek-chat,overall,R(1-2),Equivalence,0.9733(438),450,0.9733(438),0.0000(0),0.0000(0),0.0200(9),0.0044(2),0.0022(1),0.0000(0)
deepseek-chat,overall,R(1-3),Contains,0.3644(164),450,0.0089(4),0.3644(164),0.5844(263),0.0378(17),0.0044(2),0.0000(0),0.0000(0)
deepseek-chat,overall,R(1-4),Contains,0.2067(93),450,0.0000(0),0.2067(93),0.0400(18),0.5400(243),0.2133(96),0.0000(0),0.0000(0)
deepseek-chat,overall,R(3-4),Disjoint,0.9956(448),450,0.0022(1),0.0000(0),0.0000(0),0.0022(1),0.9956(448),0.0000(0),0.0000(0)
deepseek-chat,overall,R(1-34),Equivalence,0.9133(411),450,0.9133(411),0.0044(2),0.0022(1),0.0156(7),0.0644(29),0.0000(0),0.0000(0)
deepseek-reasoner,overall,R(1-2),Equivalence,0.8775(351),400,0.8775(351),0.0450(18),0.0675(27),0.0000(0),0.0075(3),0.0025(1),0.0000(0)
deepseek-reasoner,overall,R(1-3),Contains,0.9725(389),400,0.0125(5),0.9725(389),0.0075(3),0.0050(2),0.0025(1),0.0000(0),0.0000(0)
deepseek-reasoner,overall,R(1-4),Contains,0.9700(388),400,0.0100(4),0.9700(388),0.0000(0),0.0075(3),0.0075(3),0.0050(2),0.0000(0)
deepseek-reasoner,overall,R(3-4),Disjoint,0.9650(386),400,0.0050(2),0.0025(1),0.0000(0),0.0225(9),0.9650(386),0.0050(2),0.0000(0)
deepseek-reasoner,overall,R(1-34),Equivalence,0.9625(385),400,0.9625(385),0.0150(6),0.0125(5),0.0025(1),0.0075(3),0.0000(0),0.0000(0)
gemini-2.0-flash,overall,R(1-2),Equivalence,0.8956(403),450,0.8956(403),0.0089(4),0.0067(3),0.0156(7),0.0733(33),0.0000(0),0.0000(0)
gemini-2.0-flash,overall,R(1-3),Contains,0.8222(370),450,0.0111(5),0.8222(370),0.0822(37),0.0156(7),0.0689(31),0.0000(0),0.0000(0)
gemini-2.0-flash,overall,R(1-4),Contains,0.2044(92),450,0.0067(3),0.2044(92),0.0311(14),0.6200(279),0.1378(62),0.0000(0),0.0000(0)
gemini-2.0-flash,overall,R(3-4),Disjoint,0.9533(429),450,0.0044(2),0.0022(1),0.0000(0),0.0400(18),0.9533(429),0.0000(0),0.0000(0)
gemini-2.0-flash,overall,R(1-34),Equivalence,0.8022(361),450,0.8022(361),0.0000(0),0.0000(0),0.0756(34),0.0756(34),0.0467(21),0.0000(0)
gemini-2.5-flash,overall,R(1-2),Equivalence,0.8556(385),450,0.8556(385),0.0533(24),0.0778(35),0.0089(4),0.0022(1),0.0022(1),0.0000(0)
gemini-2.5-flash,overall,R(1-3),Contains,0.9600(432),450,0.0178(8),0.9600(432),0.0044(2),0.0044(2),0.0000(0),0.0111(5),0.0022(1)
gemini-2.5-flash,overall,R(1-4),Contains,0.9644(434),450,0.0111(5),0.9644(434),0.0000(0),0.0044(2),0.0089(4),0.0089(4),0.0022(1)
gemini-2.5-flash,overall,R(3-4),Disjoint,0.9756(439),450,0.0044(2),0.0044(2),0.0022(1),0.0133(6),0.9756(439),0.0000(0),0.0000(0)
gemini-2.5-flash,overall,R(1-34),Equivalence,0.9556(430),450,0.9556(430),0.0200(9),0.0111(5),0.0000(0),0.0089(4),0.0022(1),0.0022(1)
gemini-2.5-pro,overall,R(1-2),Equivalence,0.9022(406),450,0.9022(406),0.0311(14),0.0578(26),0.0022(1),0.0044(2),0.0000(0),0.0022(1)
gemini-2.5-pro,overall,R(1-3),Contains,0.9711(437),450,0.0156(7),0.9711(437),0.0044(2),0.0044(2),0.0044(2),0.0000(0),0.0000(0)
gemini-2.5-pro,overall,R(1-4),Contains,0.9378(422),450,0.0133(6),0.9378(422),0.0000(0),0.0222(10),0.0222(10),0.0000(0),0.0044(2)
gemini-2.5-pro,overall,R(3-4),Disjoint,0.9822(442),450,0.0044(2),0.0000(0),0.0000(0),0.0111(5),0.9822(442),0.0000(0),0.0022(1)
gemini-2.5-pro,overall,R(1-34),Equivalence,0.9667(435),450,0.9667(435),0.0089(4),0.0156(7),0.0000(0),0.0089(4),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,overall,R(1-2),Equivalence,0.9393(402),428,0.9393(402),0.0444(19),0.0093(4),0.0000(0),0.0047(2),0.0023(1),0.0000(0)
gpt-4.1-2025-04-14,overall,R(1-3),Contains,0.9883(423),428,0.0023(1),0.9883(423),0.0047(2),0.0047(2),0.0000(0),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,overall,R(1-4),Contains,0.6776(290),428,0.0000(0),0.6776(290),0.0023(1),0.2664(114),0.0537(23),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,overall,R(3-4),Disjoint,0.9953(426),428,0.0023(1),0.0000(0),0.0000(0),0.0023(1),0.9953(426),0.0000(0),0.0000(0)
gpt-4.1-2025-04-14,overall,R(1-34),Equivalence,0.9930(425),428,0.9930(425),0.0000(0),0.0023(1),0.0000(0),0.0047(2),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,overall,R(1-2),Equivalence,0.9133(411),450,0.9133(411),0.0178(8),0.0578(26),0.0044(2),0.0044(2),0.0022(1),0.0000(0)
gpt-4.1-mini-2025-04-14,overall,R(1-3),Contains,0.3489(157),450,0.0022(1),0.3489(157),0.6267(282),0.0178(8),0.0022(1),0.0022(1),0.0000(0)
gpt-4.1-mini-2025-04-14,overall,R(1-4),Contains,0.1956(88),450,0.0044(2),0.1956(88),0.0956(43),0.5889(265),0.1111(50),0.0044(2),0.0000(0)
gpt-4.1-mini-2025-04-14,overall,R(3-4),Disjoint,0.9933(447),450,0.0022(1),0.0000(0),0.0000(0),0.0044(2),0.9933(447),0.0000(0),0.0000(0)
gpt-4.1-mini-2025-04-14,overall,R(1-34),Equivalence,0.9644(434),450,0.9644(434),0.0044(2),0.0000(0),0.0089(4),0.0222(10),0.0000(0),0.0000(0)
gpt-4.1-nano-2025-04-14,overall,R(1-2),Equivalence,0.6867(309),450,0.6867(309),0.0111(5),0.0000(0),0.2978(134),0.0000(0),0.0044(2),0.0000(0)
gpt-4.1-nano-2025-04-14,overall,R(1-3),Contains,0.4111(185),450,0.0289(13),0.4111(185),0.0822(37),0.4156(187),0.0178(8),0.0444(20),0.0000(0)
gpt-4.1-nano-2025-04-14,overall,R(1-4),Contains,0.4267(192),450,0.0000(0),0.4267(192),0.1756(79),0.1644(74),0.1644(74),0.0689(31),0.0000(0)
gpt-4.1-nano-2025-04-14,overall,R(3-4),Disjoint,0.6600(297),450,0.0000(0),0.1467(66),0.0956(43),0.0467(21),0.6600(297),0.0489(22),0.0022(1)
gpt-4.1-nano-2025-04-14,overall,R(1-34),Equivalence,0.0000(0),450,0.0000(0),0.0156(7),0.1111(50),0.0000(0),0.8733(393),0.0000(0),0.0000(0)
gpt-4o,overall,R(1-2),Equivalence,0.9400(423),450,0.9400(423),0.0422(19),0.0111(5),0.0022(1),0.0022(1),0.0022(1),0.0000(0)
gpt-4o,overall,R(1-3),Contains,0.3378(152),450,0.0044(2),0.3378(152),0.6333(285),0.0156(7),0.0000(0),0.0089(4),0.0000(0)
gpt-4o,overall,R(1-4),Contains,0.1111(50),450,0.0022(1),0.1111(50),0.0289(13),0.6911(311),0.1644(74),0.0022(1),0.0000(0)
gpt-4o,overall,R(3-4),Disjoint,0.9956(448),450,0.0022(1),0.0000(0),0.0000(0),0.0022(1),0.9956(448),0.0000(0),0.0000(0)
gpt-4o,overall,R(1-34),Equivalence,0.6533(294),450,0.6533(294),0.0067(3),0.0022(1),0.0267(12),0.2200(99),0.0911(41),0.0000(0)
gpt-5,overall,R(1-2),Equivalence,0.8933(402),450,0.8933(402),0.0378(17),0.0511(23),0.0044(2),0.0044(2),0.0089(4),0.0000(0)
gpt-5,overall,R(1-3),Contains,0.9800(441),450,0.0089(4),0.9800(441),0.0022(1),0.0022(1),0.0044(2),0.0022(1),0.0000(0)
gpt-5,overall,R(1-4),Contains,0.9844(443),450,0.0022(1),0.9844(443),0.0000(0),0.0044(2),0.0089(4),0.0000(0),0.0000(0)
gpt-5,overall,R(3-4),Disjoint,0.9644(434),450,0.0022(1),0.0022(1),0.0000(0),0.0178(8),0.9644(434),0.0133(6),0.0000(0)
gpt-5,overall,R(1-34),Equivalence,0.9444(425),450,0.9444(425),0.0178(8),0.0244(11),0.0022(1),0.0089(4),0.0022(1),0.0000(0)
gpt-5-mini,overall,R(1-2),Equivalence,0.8933(402),450,0.8933(402),0.0400(18),0.0378(17),0.0022(1),0.0022(1),0.0244(11),0.0000(0)
gpt-5-mini,overall,R(1-3),Contains,0.9778(440),450,0.0089(4),0.9778(440),0.0022(1),0.0022(1),0.0000(0),0.0089(4),0.0000(0)
gpt-5-mini,overall,R(1-4),Contains,0.9800(441),450,0.0044(2),0.9800(441),0.0000(0),0.0000(0),0.0089(4),0.0067(3),0.0000(0)
gpt-5-mini,overall,R(3-4),Disjoint,0.9489(427),450,0.0044(2),0.0000(0),0.0000(0),0.0178(8),0.9489(427),0.0289(13),0.0000(0)
gpt-5-mini,overall,R(1-34),Equivalence,0.9600(432),450,0.9600(432),0.0111(5),0.0178(8),0.0000(0),0.0089(4),0.0022(1),0.0000(0)
gpt-5-nano,overall,R(1-2),Equivalence,0.9111(410),450,0.9111(410),0.0333(15),0.0289(13),0.0044(2),0.0067(3),0.0156(7),0.0000(0)
gpt-5-nano,overall,R(1-3),Contains,0.8578(386),450,0.0689(31),0.8578(386),0.0089(4),0.0044(2),0.0178(8),0.0333(15),0.0089(4)
gpt-5-nano,overall,R(1-4),Contains,0.9156(412),450,0.0244(11),0.9156(412),0.0022(1),0.0044(2),0.0156(7),0.0267(12),0.0111(5)
gpt-5-nano,overall,R(3-4),Disjoint,0.8800(396),450,0.0067(3),0.0378(17),0.0178(8),0.0111(5),0.8800(396),0.0467(21),0.0000(0)
gpt-5-nano,overall,R(1-34),Equivalence,0.9067(408),450,0.9067(408),0.0356(16),0.0267(12),0.0044(2),0.0178(8),0.0067(3),0.0022(1)
gpt-oss:20b,overall,R(1-2),Equivalence,0.9289(418),450,0.9289(418),0.0356(16),0.0244(11),0.0067(3),0.0044(2),0.0000(0),0.0000(0)
gpt-oss:20b,overall,R(1-3),Contains,0.9267(417),450,0.0400(18),0.9267(417),0.0200(9),0.0022(1),0.0089(4),0.0022(1),0.0000(0)
gpt-oss:20b,overall,R(1-4),Contains,0.9711(437),450,0.0178(8),0.9711(437),0.0000(0),0.0022(1),0.0089(4),0.0000(0),0.0000(0)
gpt-oss:20b,overall,R(3-4),Disjoint,0.9178(413),450,0.0089(4),0.0311(14),0.0178(8),0.0244(11),0.9178(413),0.0000(0),0.0000(0)
gpt-oss:20b,overall,R(1-34),Equivalence,0.9422(424),450,0.9422(424),0.0244(11),0.0244(11),0.0000(0),0.0067(3),0.0022(1),0.0000(0)
grok-3-mini,overall,R(1-2),Equivalence,0.9044(407),450,0.9044(407),0.0400(18),0.0467(21),0.0000(0),0.0044(2),0.0044(2),0.0000(0)
grok-3-mini,overall,R(1-3),Contains,0.9511(428),450,0.0222(10),0.9511(428),0.0022(1),0.0044(2),0.0000(0),0.0200(9),0.0000(0)
grok-3-mini,overall,R(1-4),Contains,0.9667(435),450,0.0044(2),0.9667(435),0.0000(0),0.0000(0),0.0156(7),0.0133(6),0.0000(0)
grok-3-mini,overall,R(3-4),Disjoint,0.9778(440),450,0.0022(1),0.0022(1),0.0022(1),0.0111(5),0.9778(440),0.0044(2),0.0000(0)
grok-3-mini,overall,R(1-34),Equivalence,0.9756(439),450,0.9756(439),0.0044(2),0.0111(5),0.0000(0),0.0089(4),0.0000(0),0.0000(0)
llama3.1:70b,overall,R(1-2),Equivalence,0.9778(440),450,0.9778(440),0.0000(0),0.0022(1),0.0156(7),0.0044(2),0.0000(0),0.0000(0)
llama3.1:70b,overall,R(1-3),Contains,0.0800(36),450,0.0067(3),0.0800(36),0.8756(394),0.0333(15),0.0022(1),0.0022(1),0.0000(0)
llama3.1:70b,overall,R(1-4),Contains,0.2733(123),450,0.0022(1),0.2733(123),0.0933(42),0.4000(180),0.2311(104),0.0000(0),0.0000(0)
llama3.1:70b,overall,R(3-4),Disjoint,0.9933(447),450,0.0044(2),0.0000(0),0.0000(0),0.0022(1),0.9933(447),0.0000(0),0.0000(0)
llama3.1:70b,overall,R(1-34),Equivalence,0.9844(443),450,0.9844(443),0.0022(1),0.0000(0),0.0089(4),0.0044(2),0.0000(0),0.0000(0)
o3,overall,R(1-2),Equivalence,0.9133(411),450,0.9133(411),0.0356(16),0.0378(17),0.0000(0),0.0022(1),0.0111(5),0.0000(0)
o3,overall,R(1-3),Contains,0.9733(438),450,0.0111(5),0.9733(438),0.0022(1),0.0022(1),0.0022(1),0.0089(4),0.0000(0)
o3,overall,R(1-4),Contains,0.9733(438),450,0.0111(5),0.9733(438),0.0000(0),0.0044(2),0.0089(4),0.0022(1),0.0000(0)
o3,overall,R(3-4),Disjoint,0.9467(426),450,0.0044(2),0.0067(3),0.0044(2),0.0200(9),0.9467(426),0.0178(8),0.0000(0)
o3,overall,R(1-34),Equivalence,0.9356(421),450,0.9356(421),0.0200(9),0.0356(16),0.0000(0),0.0044(2),0.0044(2),0.0000(0)
