llm,dataset,action,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,J(A1-A2),J(A1-A34),J(A1-A1*),J(A1-A1**),J(A1*-A1**),A1_empty_ratio,A2_empty_ratio,A3_empty_ratio,A4_empty_ratio
o3,spinach,classification,0.8,0.76,0.8333,0.8933,0.94,0.9275,0.9055,0.5689,0.6467,0.5806,0.12,0.1,0.0933,0.1333
o3,spinach,fixing,0.8,0.7667,0.94,0.92,0.9667,0.8361,0.8607,0.5516,0.5745,0.5787,0.1333,0.1067,0.08,0.16
o3,spinach,wikidata,0.4267,0.3,0.5533,0.48,0.9333,0.7115,0.6097,,,,0.0733,0.0733,0.0333,0.0667
o3,spinach,zero-shot,0.4133,0.34,0.58,0.5267,0.9067,0.7251,0.6427,,,,0.04,0.0733,0.0533,0.08
o3,synthetic,classification,0.9133,0.8733,1.0,0.9733,0.9867,0.9767,0.9569,0.7112,0.7397,0.7171,0.0067,0.0067,1.0,0.0267
o3,synthetic,fixing,0.7667,0.9067,0.96,0.9733,1.0,0.9182,0.9312,0.715,0.6663,0.6517,0.04,0.0333,0.0333,0.0467
o3,synthetic,wikidata,0.5333,0.34,0.66,0.5333,0.8467,0.8006,0.723,,,,0.0467,0.0267,0.0133,0.0267
o3,synthetic,zero-shot,0.38,0.2667,0.5267,0.4467,0.86,0.6809,0.6088,,,,0.0267,0.0267,0.0133,0.0333
deepseek-chat,overall,classification,0.9667,0.82,0.9111,0.9222,0.7378,0.9833,0.9547,0.7226,0.6858,0.7097,0.2244,0.2311,0.2489,0.2756
deepseek-reasoner,overall,classification,0.7422,0.8711,0.9111,0.9333,0.64,0.8025,0.9296,0.5863,0.5819,0.7082,0.1978,0.2111,0.3044,0.3444
gemini-2.0-flash,overall,classification,0.8667,0.8644,1.0,0.9444,0.5867,0.9301,0.9237,0.6762,0.6104,0.576,0.1778,0.1711,1.0,0.3822
gemini-2.5-flash,overall,classification,0.8956,0.9267,1.0,0.9733,0.9,0.9339,0.9618,0.646,0.6341,0.6576,0.0844,0.0756,1.0,0.1533
gemini-2.5-pro,overall,classification,0.8244,0.72,1.0,0.8511,0.9222,0.8721,0.8251,0.6568,0.5728,0.6028,0.1044,0.1,1.0,0.1622
gpt-4.1-2025-04-14,overall,classification,0.9144,0.8539,0.9496,0.9395,0.9018,0.9632,0.9503,0.7491,0.7271,0.7531,0.063,0.063,0.0806,0.1335
gpt-4.1-mini-2025-04-14,overall,classification,0.8889,0.84,0.9311,0.96,0.7867,0.9197,0.9616,0.6605,0.6344,0.6406,0.1156,0.1133,0.1289,0.2311
gpt-4.1-nano-2025-04-14,overall,classification,0.7578,0.7333,0.7644,0.7844,0.2333,0.5076,0.8323,0.502,0.521,0.4915,0.8044,0.6244,0.6178,0.7467
gpt-4o,overall,classification,0.9689,0.9267,0.9911,0.9844,0.4422,0.4534,0.9739,0.3254,0.311,0.3414,0.5333,0.5356,0.8533,0.5756
gpt-5,overall,classification,0.9133,0.8911,1.0,0.9733,0.7022,0.962,0.9412,0.7731,0.7712,0.7817,0.2689,0.2644,1.0,0.3622
gpt-5-mini,overall,classification,0.8778,0.6289,1.0,0.74,0.7067,0.9294,0.7613,0.7256,0.7317,0.7228,0.36,0.3489,1.0,0.3756
gpt-5-nano,overall,classification,0.7733,0.6844,1.0,0.7644,0.2,0.7777,0.7555,0.102,0.5413,0.0844,0.0933,0.0978,1.0,0.02
grok-3-mini,overall,classification,0.8956,0.7778,1.0,0.8978,0.8778,0.9611,0.9356,0.6463,0.6354,0.627,0.1044,0.1067,1.0,0.1711
llama3.1:8b,overall,classification,0.1822,0.0867,1.0,0.3622,0.6867,0.5751,0.5207,0.3236,0.2751,0.2769,0.0,0.0044,1.0,0.0
o3,overall,classification,0.8267,0.7844,0.9444,0.9067,0.9422,0.9358,0.9154,0.5861,0.6425,0.5766,0.0889,0.0711,0.6978,0.1044
deepseek-chat,overall,fixing,0.8378,0.7711,0.8978,0.96,0.9578,0.9227,0.921,0.7089,0.7237,0.7207,0.0644,0.0578,0.1222,0.1489
deepseek-reasoner,overall,fixing,0.6622,0.5733,0.7133,0.8444,0.9222,0.8085,0.8148,0.4413,0.4256,0.4239,0.04,0.04,0.0867,0.0644
gemini-2.0-flash,overall,fixing,0.7933,0.7533,0.8556,0.9222,0.9689,0.83,0.9072,0.8803,0.8679,0.863,0.0178,0.0022,0.0089,0.0889
gemini-2.5-flash,overall,fixing,0.8778,0.8889,0.8911,0.9644,0.9578,0.9143,0.9189,0.8033,0.8088,0.7959,0.0822,0.0489,0.0622,0.1422
gemini-2.5-pro,overall,fixing,0.7489,0.7267,0.7778,0.9089,0.9778,0.7886,0.8345,0.5863,0.6358,0.5803,0.1333,0.1067,0.1467,0.12
gpt-4.1-2025-04-14,overall,fixing,0.8511,0.7911,0.9222,0.9489,0.9556,0.9317,0.9296,0.8525,0.8505,0.8475,0.04,0.04,0.0689,0.1044
gpt-4.1-mini-2025-04-14,overall,fixing,0.7956,0.7444,0.8778,0.9756,0.9044,0.8993,0.8983,0.7888,0.8044,0.7926,0.0444,0.0578,0.1067,0.1022
gpt-4.1-nano-2025-04-14,overall,fixing,0.5956,0.3289,0.6067,0.6111,0.6044,0.6517,0.5127,0.5477,0.5525,0.6304,0.1644,0.2067,0.2267,0.1111
gpt-4o,overall,fixing,0.8686,0.7884,0.931,0.9532,0.9488,0.6867,0.693,0.5176,0.5229,0.5307,0.2851,0.294,0.314,0.3007
gpt-5,overall,fixing,0.9044,0.8778,0.9533,0.9844,0.7756,0.9569,0.9217,0.8237,0.8035,0.8027,0.3311,0.3378,0.32,0.3711
gpt-5-mini,overall,fixing,0.86,0.8022,0.92,0.9533,0.7689,0.9054,0.8843,0.7864,0.8066,0.8051,0.4822,0.4444,0.4889,0.4556
gpt-5-nano,overall,fixing,0.8378,0.7422,0.8356,0.9756,0.8133,0.8945,0.8534,0.7416,0.7689,0.746,0.3867,0.3356,0.3289,0.4378
grok-3-mini,overall,fixing,0.88,0.8422,0.9222,0.9867,0.9622,0.9372,0.9464,0.6645,0.6523,0.6613,0.08,0.0911,0.1311,0.1911
llama3.1:8b,overall,fixing,0.14,0.0333,0.1778,0.14,0.6156,0.475,0.3465,0.189,0.1807,0.2061,0.0,0.0022,0.0044,0.0
o3,overall,fixing,0.7578,0.8022,0.9178,0.9311,0.9778,0.7996,0.8323,0.5593,0.5498,0.5534,0.16,0.1378,0.1022,0.1556
deepseek-chat,overall,wikidata,0.3622,0.2111,0.56,0.5422,0.6111,0.5312,0.4593,,,,0.1133,0.1178,0.2133,0.3022
gemini-2.0-flash,overall,wikidata,0.3422,0.16,0.5044,0.4667,0.6022,0.592,0.473,,,,0.0378,0.06,0.1111,0.1467
gemini-2.5-flash,overall,wikidata,0.3333,0.2311,0.58,0.5378,0.8778,0.4738,0.4439,,,,0.2178,0.2089,0.2156,0.26
gemini-2.5-pro,overall,wikidata,0.3156,0.2667,0.5222,0.4622,0.7956,0.6426,0.6071,,,,0.0156,0.0222,0.0467,0.0444
gpt-4.1-2025-04-14,overall,wikidata,0.4578,0.2111,0.56,0.4667,0.6333,0.767,0.6112,,,,0.0089,0.0089,0.0467,0.0644
gpt-4.1-mini-2025-04-14,overall,wikidata,0.2622,0.08,0.3511,0.2911,0.78,0.4389,0.3032,,,,0.0511,0.0756,0.04,0.1578
gpt-4.1-nano-2025-04-14,overall,wikidata,0.3311,0.0733,0.3844,0.5111,0.8111,0.5702,0.3623,,,,0.0556,0.0689,0.6022,0.1311
gpt-4o,overall,wikidata,0.8711,0.7067,0.76,0.8356,0.2333,0.8796,0.7734,,,,0.8422,0.8422,0.7956,0.8844
gpt-5,overall,wikidata,0.7467,0.5889,0.7578,0.7667,0.6622,0.8379,0.7585,,,,0.4422,0.46,0.3444,0.42
gpt-5-mini,overall,wikidata,0.7489,0.6,0.7267,0.7578,0.5311,0.8202,0.7417,,,,0.5644,0.5711,0.4889,0.5956
gpt-5-nano,overall,wikidata,0.7311,0.5089,0.6933,0.7311,0.6267,0.8257,0.6992,,,,0.5222,0.5044,0.3911,0.52
grok-3-mini,overall,wikidata,0.3578,0.2467,0.5644,0.5089,0.8889,0.606,0.561,,,,0.06,0.0756,0.0822,0.1289
llama3.1:8b,overall,wikidata,0.0511,0.0089,0.1378,0.0911,0.6844,0.2843,0.2209,,,,0.0022,0.0044,0.0178,0.0133
llama3.3:70b,overall,wikidata,0.3267,0.0867,0.3867,0.2733,0.5133,0.6238,0.4561,,,,0.0,0.0,0.0067,0.0
o3,overall,wikidata,0.44,0.2867,0.58,0.4533,0.88,0.7057,0.6198,,,,0.1022,0.0978,0.0689,0.0911
deepseek-chat,overall,zero-shot,0.3311,0.1667,0.4644,0.4267,0.58,0.5577,0.4547,,,,0.0511,0.0667,0.1422,0.1956
deepseek-reasoner,overall,zero-shot,0.1911,0.14,0.4067,0.3133,0.8067,0.4515,0.4152,,,,0.0356,0.0489,0.0311,0.06
gemini-2.0-flash,overall,zero-shot,0.3622,0.1356,0.44,0.3822,0.6289,0.6274,0.4794,,,,0.0067,0.0089,0.0067,0.0067
gemini-2.5-flash,overall,zero-shot,0.3533,0.2844,0.5133,0.4733,0.86,0.6136,0.5562,,,,0.0667,0.0644,0.0778,0.0978
gemini-2.5-pro,overall,zero-shot,0.3267,0.2356,0.4489,0.4022,0.8022,0.6395,0.5829,,,,0.0244,0.0289,0.0378,0.0489
gpt-4.1-2025-04-14,overall,zero-shot,0.4511,0.1911,0.5378,0.4333,0.6267,0.7225,0.5772,,,,0.0067,0.0111,0.0467,0.0689
gpt-4.1-mini-2025-04-14,overall,zero-shot,0.3889,0.1622,0.52,0.4267,0.5244,0.6902,0.5505,,,,0.0089,0.0111,0.0267,0.0556
gpt-4.1-nano-2025-04-14,overall,zero-shot,0.3156,0.1178,0.5044,0.4089,0.6089,0.5739,0.4454,,,,0.0378,0.0467,0.1289,0.1067
gpt-4o,overall,zero-shot,0.4622,0.2556,0.54,0.4711,0.6689,0.6698,0.5528,,,,0.2222,0.2111,0.2333,0.3733
gpt-5,overall,zero-shot,0.6222,0.4733,0.6667,0.6867,0.7222,0.7917,0.7084,,,,0.36,0.34,0.2622,0.3333
gpt-5-mini,overall,zero-shot,0.6533,0.48,0.6333,0.6844,0.6356,0.7836,0.6768,,,,0.4622,0.4356,0.3733,0.5
gpt-5-nano,overall,zero-shot,0.5844,0.44,0.6467,0.64,0.7111,0.731,0.6466,,,,0.38,0.3778,0.3044,0.44
grok-3-mini,overall,zero-shot,0.3667,0.2867,0.5533,0.4733,0.8867,0.6522,0.6084,,,,0.0533,0.0622,0.0689,0.1267
llama3.1:8b,overall,zero-shot,0.02,0.0022,0.0622,0.0444,0.8267,0.1878,0.1274,,,,0.0111,0.0111,0.04,0.06
llama3.3:70b,overall,zero-shot,0.3533,0.0933,0.4067,0.2867,0.62,0.6405,0.4687,,,,0.0,0.0067,0.0067,0.0333
o3,overall,zero-shot,0.3556,0.2556,0.5156,0.42,0.8533,0.6474,0.5639,,,,0.0756,0.0889,0.08,0.0844
