dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,idk,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2)_x,p(A1=A3+A4)_x,p(A1>A3)_x,p(A1>A4)_x,p(A3∅A4)_x,p(A4=A1|3)_x,p(A1=A2)_y,p(A1=A3+A4)_y,p(A1>A3)_y,p(A1>A4)_y,p(A3∅A4)_y,p(A4=A1|3)_y
LC-QuAD,zero-shot,gpt-4.1-2025-04-14,0.2333,0.0867,0.3867,0.2467,0.6733,0.0533,0.2905,,,0.5444,0.4429,0.1049,0.294,0.5729,,,0.2667,0.3933,0.42,0.68,0.0533,0.0467,0.0533,0.06,0.0533,0.2905,0.5729,0.053325,0.2413793103448276,0.0,0.5543896551724139,0.25576,0.3877551020408163,0.3333333333333333,0.2807017543859649,0.1388888888888889,0.6778523489932886,0.0,0.09888120805369129,1.0,0.08666666666666667,,0.44291533333333327,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4.1-mini-2025-04-14,0.1867,0.0733,0.3733,0.2467,0.6733,0.0267,0.1824,,,0.4461,0.3574,0.12,0.2014,0.4483,,,0.24,0.5467,0.6067,0.6533,0.08,0.0733,0.0667,0.1467,0.18,0.1824,0.4483,0.116675,0.18382352941176472,0.21428571428571427,0.45387647058823527,0.3701785714285714,0.38461538461538464,0.3673469387755102,0.21052631578947367,0.25892857142857145,0.6666666666666666,1.0,0.12248027210884352,0.0,0.07746478873239436,0.0,0.3691978873239437,0.1488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4.1-nano-2025-04-14,0.18,0.12,0.3533,0.2733,0.6733,0.04,0.2027,,,0.3369,0.2433,0.194,0.1084,0.3525,,,0.3533,0.54,0.6,0.44,0.96,0.16,0.1933,0.3467,0.3333,0.2027,0.3525,0.25832499999999997,0.16981132075471697,0.20454545454545456,0.35054150943396223,0.30393636363636367,0.34,0.36,0.3333333333333333,0.23655913978494625,0.6075949367088608,0.7464788732394366,0.23211898734177214,0.15164225352112676,,0.12,,0.24327933333333335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-4o,0.4333,0.26,0.52,0.46,0.5333,0.0133,0.3581,,,0.6143,0.5001,0.3804,0.1962,0.5562,,,0.4267,0.4667,0.5467,0.5467,0.38,0.3667,0.3733,0.42,0.48,0.3581,0.5562,0.41,0.42758620689655175,0.6,0.6131179310344826,0.64722,0.47058823529411764,0.5344827586206896,0.5217391304347826,0.44881889763779526,0.5405405405405406,0.0,0.3720364864864865,1.0,0.22105263157894736,0.32727272727272727,0.48307894736842105,0.5295345454545455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5,0.5667,0.3,0.5533,0.54,0.78,0.1133,0.5811,,,0.7586,0.5924,0.2037,0.4188,0.7469,,,0.58,0.5467,0.5333,0.8,0.16,0.3467,0.3533,0.2267,0.3133,0.5811,0.7469,0.31,0.5774647887323944,0.375,0.7664936619718309,0.61785,0.5510204081632653,0.6666666666666666,0.5369127516778524,1.0,0.7959183673469388,0.0,0.18843129251700677,0.9523666666666667,0.2867132867132867,0.5714285714285714,0.5924419580419581,0.5918428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5-mini,0.6467,0.4733,0.6467,0.6667,0.5533,0.0933,0.7027,,,0.7288,0.6537,0.4391,0.3288,0.7981,,,0.6267,0.6333,0.66,0.58,0.1533,0.5467,0.5533,0.5133,0.6067,0.7027,0.7981,0.555,0.6453900709219859,0.6666666666666666,0.723895744680851,0.8059666666666667,0.6458333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5694444444444444,0.16666666666666666,0.4243826388888889,0.7916666666666666,0.45390070921985815,0.7777777777777778,0.6386602836879433,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-5-nano,0.6133,0.4333,0.6267,0.6133,0.5733,0.0933,0.5608,,,0.7049,0.5967,0.4037,0.2769,0.686,,,0.6133,0.5867,0.6267,0.6,0.1733,0.5333,0.5733,0.5267,0.5667,0.5608,0.686,0.55,0.6197183098591549,0.5,0.7146478873239436,0.53125,0.626984126984127,0.625,0.6304347826086957,0.4166666666666667,0.5955882352941176,0.35714285714285715,0.38522720588235293,0.5833357142857143,0.42028985507246375,0.5833333333333334,0.5946760869565217,0.6203666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,gpt-oss:20b,0.1667,0.1133,0.28,0.2867,0.8467,0.0667,0.1824,,,0.3719,0.3289,0.088,0.2483,0.3995,,,0.18,0.3067,0.2933,0.8533,0.1333,0.12,0.1467,0.1267,0.1467,0.1824,0.3995,0.135025,0.1643835616438356,0.25,0.3709952054794521,0.40475,0.2753623188405797,0.3333333333333333,0.2765957446808511,0.4444444444444444,0.8832116788321168,0.46153846153846156,0.06192992700729926,0.36237692307692304,0.10714285714285714,0.2,0.32049285714285713,0.44603000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,grok-3-mini,0.2733,0.1933,0.44,0.3467,0.8467,0.16,,,,0.5756,0.4669,0.081,0.3644,,,,0.3,0.44,0.3667,0.8533,0.1933,0.0733,0.0933,0.0867,0.12,,,0.09332499999999999,0.2777777777777778,0.16666666666666666,0.5870770833333334,0.30058333333333337,0.43661971830985913,0.5,0.35172413793103446,0.2,0.8571428571428571,0.3333333333333333,0.07418299319727892,0.4166666666666667,0.2,0.0,0.4789234482758621,0.11882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,llama3.1:70b,0.1133,0.0533,0.2467,0.1867,0.7267,0.0067,,,,0.3887,0.2973,0.095,0.1847,,,,0.1333,0.74,0.6933,0.7267,0.02,0.04,0.04,0.0467,0.0667,,,0.048350000000000004,0.1103448275862069,0.2,0.3916855172413793,0.30204,0.4,0.2357142857142857,0.2631578947368421,0.16071428571428573,0.7297297297297297,0.5,0.09355202702702703,0.2,0.0472972972972973,0.5,0.2945635135135135,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,llama3.1:8b,0.0133,0.0,0.0067,0.0,0.9067,0.0,0.0135,,,0.1069,0.0816,0.0142,0.0427,0.1361,,,0.9533,0.8667,0.9133,0.2533,0.9733,0.0133,0.0,0.0133,0.0267,0.0135,0.1361,0.013325,0.14285714285714285,0.006993006993006993,0.18367142857142857,0.10311888111888111,0.0,0.007633587786259542,0.0,0.0,0.9615384615384616,0.8951612903225806,0.02564230769230769,0.011784677419354838,0.0,0.0,0.15835,0.07952191780821917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,mistral-small:24b,0.3986,0.2365,0.4662,0.4257,0.5135,0.0,0.5135,,,0.5949,0.5091,0.3764,0.169,0.6899,,,0.4122,0.5338,0.5743,0.5068,0.9324,0.2703,0.2568,0.4257,0.4324,0.5135,0.6899,0.34629999999999994,0.39855072463768115,0.4,0.5979521739130436,0.5527200000000001,,0.46621621621621623,0.5,0.4246575342465753,0.5102040816326531,1.0,0.3789877551020408,0.0,0.4,0.2246376811594203,0.6266700000000001,0.5005876811594202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LC-QuAD,zero-shot,o3,0.3041,0.1486,0.4797,0.277,0.9054,0.0946,0.25,,,0.5609,0.4804,0.0539,0.3565,0.5506,,,0.3176,0.4595,0.277,0.8851,0.1554,0.1284,0.1216,0.1014,0.0811,0.25,0.5506,0.108125,0.3055555555555556,0.25,0.5643520833333332,0.437025,0.46853146853146854,0.8,0.273972602739726,0.5,0.9090909090909091,0.8,0.04977692307692308,0.17142,0.1510791366906475,0.1111111111111111,0.4906640287769784,0.3214666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qawiki,classification,deepseek-chat,0.98,0.8467,0.9,0.9333,0.56,0.4533,0.5133,0.5133,0.5133,0.9925,0.9582,0.4117,0.5403,0.6638,0.6377,0.6588,,,,,,0.3667,0.3667,0.4,0.4333,0.5133,0.6534,0.391675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.8555,0.0,0.0,0.0,0.0,0.0,0.8555,0.0
qawiki,classification,deepseek-reasoner,0.8933,0.8667,0.56,0.9133,0.4133,0.3067,0.52,0.4467,0.6,0.9267,0.9058,0.5867,0.3467,0.6656,0.531,0.6823,,,,,,0.2667,0.22,0.48,0.6267,0.5222,0.6263,0.39835,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
qawiki,classification,gemini-2.0-flash,0.8667,0.8867,1.0,0.9533,0.3533,0.2933,0.4667,0.4333,0.3733,0.9471,0.9502,0.5642,0.3982,0.6483,0.6061,0.5276,0.8733,0.3733,,,0.2933,0.3067,0.3,1.0,0.5467,0.4244,0.594,0.53835,0.87248322147651,0.0,0.9492456375838925,0.625,1.0,1.0,,,,,,,0.8851351351351351,1.0,0.949497972972973,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
qawiki,classification,gemini-2.5-flash,0.8933,0.9467,1.0,0.98,0.8267,0.7733,0.26,0.3267,0.2467,0.9404,0.9787,0.1678,0.7438,0.5804,0.5794,0.5752,0.8333,0.9467,,,0.8,0.12,0.12,1.0,0.2467,0.2778,0.5783,0.371675,0.9504132231404959,0.6551724137931034,0.9550727272727273,0.8790793103448277,1.0,1.0,,,,,,,0.9652777777777778,0.5,0.9810659722222224,0.9222333333333333,0.0,0.0,0.0,0.0,0.6821,0.0,0.0,0.0,0.0,0.0,0.6821,0.0
qawiki,classification,gemini-2.5-pro,0.9,0.72,1.0,0.8467,0.88,0.62,0.3,0.2333,0.28,0.9486,0.8374,0.11,0.7094,0.5939,0.499,0.5359,0.9533,0.9733,,,0.6733,0.1067,0.0933,1.0,0.22,0.2711,0.5429,0.355,0.9848484848484849,0.2777777777777778,0.9848484848484849,0.6829444444444444,1.0,1.0,,,,,,,0.7571428571428571,0.2,0.8624642857142858,0.48690999999999995,0.0,0.0,0.0,0.0,0.0144,0.0,0.0,0.0,0.0,0.0,0.0144,0.0
qawiki,classification,gpt-4.1-2025-04-14,0.92,0.8867,0.4667,0.98,0.7933,0.68,0.2667,0.2667,0.2867,0.9874,0.9681,0.2003,0.7671,0.5831,0.569,0.5555,0.9133,0.4667,,,0.6867,0.0933,0.0933,0.1533,0.2067,0.2734,0.5692,0.13665,0.9432624113475178,0.5555555555555556,0.9937127659574467,0.8890333333333333,0.46621621621621623,0.5,,,,,,,0.8843537414965986,1.0,0.9674442176870747,1.0,0.0,0.0,0.0871,0.0,0.0015,0.0,0.0,0.0,0.0871,0.0,0.0015,0.0
qawiki,classification,gpt-4.1-mini-2025-04-14,0.9067,0.8733,0.4267,0.9533,0.6667,0.5467,0.3267,0.3733,0.3333,0.9635,0.9346,0.3269,0.6176,0.5754,0.5618,0.5564,0.9333,0.56,,,0.52,0.2333,0.2333,0.2133,0.3533,0.3444,0.5645,0.2583,0.9565217391304348,0.3333333333333333,0.9821123188405797,0.749025,0.4666666666666667,0.4166666666666667,,,,,,,0.8785714285714286,0.8,0.9374614285714286,0.8949999999999999,0.0,0.0,0.7159,0.0,0.0465,0.0,0.0,0.0,0.7159,0.0,0.0465,0.0
qawiki,classification,gpt-4.1-nano-2025-04-14,0.9667,0.54,0.68,0.54,0.3867,0.0,0.94,0.9533,0.9333,0.9667,0.6912,0.6075,0.0,0.94,0.9533,0.9333,0.62,0.3733,,,1.0,0.98,0.9867,0.6867,0.54,0.9422,0.9422,0.79835,0.9489795918367347,1.0,0.9489795918367347,1.0,0.6052631578947368,0.7053571428571429,,,,,,,,0.54,,0.691204,0.0,0.0,0.0001,0.0003,1.0,1.0,0.0,0.0,0.0001,0.0003,1.0,1.0
qawiki,classification,gpt-4o,0.98,0.9333,1.0,0.9867,0.2733,0.2133,0.74,0.0933,0.14,0.2828,0.9743,0.7203,0.2614,0.1983,0.1749,0.2079,0.9867,0.72,,,0.7467,0.7067,0.7133,1.0,0.7333,0.3244,0.1937,0.7883249999999999,0.9931972789115646,0.3333333333333333,0.2834469387755102,0.25,1.0,1.0,,,,,,,0.9166666666666666,0.9411764705882353,0.9787041666666667,0.9722803921568628,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
qawiki,classification,gpt-5,0.9133,0.9267,1.0,0.9733,0.52,0.4467,0.5267,0.6067,0.6067,0.9636,0.9644,0.48,0.4733,0.7286,0.7324,0.746,0.88,0.98,,,0.48,0.4133,0.4067,1.0,0.5333,0.58,0.7357,0.588325,0.9473684210526315,0.6470588235294118,0.9752368421052632,0.8727058823529412,1.0,1.0,,,,,,,0.9300699300699301,0.8571428571428571,0.9633384615384617,0.9863999999999999,0.0,0.0,0.0,0.0,0.9739,0.0,0.0,0.0,0.0,0.0,0.9739,0.0
qawiki,classification,gpt-5-mini,0.86,0.66,1.0,0.78,0.6267,0.32,0.52,0.5267,0.5133,0.9295,0.7907,0.3733,0.4344,0.6695,0.6549,0.6581,0.8267,0.9733,,,0.3733,0.42,0.4267,1.0,0.48,0.52,0.6608,0.5816749999999999,0.8872180451127819,0.6470588235294118,0.9485684210526316,0.7803941176470588,1.0,1.0,,,,,,,0.6619718309859155,0.625,0.7933239436619718,0.74375,0.0003,0.1302,0.0,0.3359,0.0113,0.0,0.0003,0.1302,0.0,0.3359,0.0113,0.0
qawiki,classification,gpt-5-nano,0.7867,0.7067,1.0,0.7733,0.16,0.0067,0.08,0.5467,0.0667,0.7893,0.7687,0.8356,0.0694,0.08,0.5467,0.0667,0.7667,0.9267,,,0.06,0.1133,0.1,1.0,0.0333,0.2311,0.2311,0.31165000000000004,0.8120300751879699,0.5882352941176471,0.8120300751879699,0.611764705882353,1.0,1.0,,,,,,,0.7323943661971831,0.25,0.792019014084507,0.3541625,0.0,0.0,0.0,0.0775,1.0,1.0,0.0,0.0,0.0,0.0775,1.0,1.0
qawiki,classification,gpt-oss:20b,0.7133,0.5467,1.0,0.7267,0.7867,0.3667,0.2933,0.2333,0.2667,0.8163,0.7847,0.1779,0.5467,0.4965,0.4492,0.4766,0.66,0.8733,,,0.4133,0.22,0.1667,1.0,0.28,0.2644,0.4741,0.416675,0.7058823529411765,0.7857142857142857,0.8075352941176471,0.9017857142857143,1.0,1.0,,,,,,,0.5524475524475524,0.42857142857142855,0.7840706293706294,0.7976285714285714,0.0,0.0,0.0,0.0,0.9283,0.0,0.0,0.0,0.0,0.0,0.9283,0.0
qawiki,classification,grok-3-mini,0.8867,0.7667,1.0,0.8867,0.8,0.58,0.3467,0.38,0.34,0.966,0.9123,0.1934,0.7055,0.5385,0.5576,0.5358,0.9333,0.9533,,,0.6,0.1667,0.1667,1.0,0.2867,0.3556,0.544,0.40502499999999997,0.9694656488549618,0.3157894736842105,0.9939519083969465,0.7730263157894737,1.0,1.0,,,,,,,0.7724137931034483,0.6,0.9116372413793103,0.93286,0.0,0.0,0.0,0.0,0.9995,0.0,0.0,0.0,0.0,0.0,0.9995,0.0
qawiki,classification,llama3.1:70b,0.8067,0.4733,1.0,0.8267,0.9333,0.4667,0.1467,0.0933,0.1333,0.9067,0.7929,0.0377,0.7731,0.4186,0.3589,0.395,0.8133,0.0467,,,0.46,0.0267,0.0333,1.0,0.0533,0.1244,0.3908,0.278325,0.8163265306122449,0.3333333333333333,0.9091789115646259,0.7852,1.0,1.0,,,,,,,0.4608695652173913,0.5142857142857142,0.7775495652173913,0.8435228571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,classification,llama3.1:8b,0.1133,0.1,1.0,0.3533,0.68,0.06,0.0133,0.0067,0.0133,0.4828,0.4791,0.1024,0.385,0.2243,0.1549,0.1793,0.88,0.1067,,,0.82,0.0,0.0133,1.0,0.0,0.0111,0.1862,0.253325,0.0,0.11409395973154363,0.8,0.48069395973154366,1.0,1.0,,,,,,,0.15,0.09230769230769231,0.5286299999999999,0.47152692307692307,0.0001,0.0003,0.0,0.0,1.0,0.002,0.0001,0.0003,0.0,0.0,1.0,0.002
qawiki,classification,mistral-small:24b,0.8533,0.66,1.0,0.8667,0.6933,0.4067,0.3733,0.2333,0.24,0.9396,0.8434,0.2837,0.5736,0.5789,0.4543,0.4658,0.9067,0.0,,,0.5667,0.1867,0.2,1.0,0.1267,0.2822,0.4997,0.37835,0.9130434782608695,0.16666666666666666,0.9563217391304347,0.7469583333333333,,1.0,,,,,,,0.6,0.6642857142857143,0.90105,0.8392478571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,classification,o3,0.7667,0.74,1.0,0.8733,0.86,0.6133,0.2867,0.2733,0.3067,0.9033,0.8855,0.1241,0.7496,0.5253,0.5431,0.5611,0.8267,0.9733,,,0.6667,0.14,0.1067,1.0,0.1933,0.2889,0.5432,0.36000000000000004,0.8248175182481752,0.15384615384615385,0.9318890510948904,0.6015384615384616,1.0,1.0,,,,,,,0.7676056338028169,0.25,0.8951415492957747,0.7148249999999999,0.0,0.0,0.0,0.0,0.0378,0.0,0.0,0.0,0.0,0.0,0.0378,0.0
qawiki,fixing,deepseek-chat,0.7933,0.7133,0.8867,0.94,0.9467,0.6933,0.38,0.42,0.38,0.8925,0.8845,0.0312,0.7526,0.5727,0.5964,0.5797,,,,,,0.1133,0.1,0.1867,0.1867,0.3933,0.5829,0.146675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,deepseek-reasoner,0.5867,0.52,0.68,0.8133,0.9067,0.48,0.1,0.1133,0.0933,0.7372,0.7351,0.0802,0.7272,0.3148,0.2896,0.2818,,,,,,0.0667,0.0533,0.14,0.1267,0.1022,0.2954,0.09667500000000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0,0.0,0.0,0.0205,0.0
qawiki,fixing,gemini-2.0-flash,0.7533,0.6467,0.8067,0.8867,0.9467,0.6333,0.7333,0.7533,0.7267,0.803,0.8483,0.0193,0.8033,0.8361,0.8383,0.8408,,,,,,0.02,0.0067,0.0067,0.0867,0.7378,0.8384,0.030025,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gemini-2.5-flash,0.86,0.8867,0.8867,0.9667,0.9267,0.8133,0.68,0.6533,0.6133,0.8998,0.9033,0.073,0.7792,0.7605,0.7503,0.7192,,,,,,0.1333,0.0867,0.1133,0.1933,0.6489,0.7433,0.13165,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0121,0.0,0.0,0.0,0.0,0.0,0.0121,0.0
qawiki,fixing,gemini-2.5-pro,0.76,0.5933,0.74,0.8667,0.98,0.58,0.4467,0.4533,0.42,0.8519,0.757,0.02,0.7066,0.6166,0.623,0.5838,,,,,,0.1,0.06,0.06,0.1467,0.44,0.6078,0.091675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-4.1-2025-04-14,0.76,0.7467,0.8667,0.9533,0.8933,0.6667,0.5,0.4933,0.4867,0.9013,0.9098,0.0874,0.7795,0.7944,0.789,0.7863,,,,,,0.0733,0.0733,0.1067,0.12,0.4933,0.7899,0.093325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-4.1-mini-2025-04-14,0.7267,0.68,0.8333,0.98,0.8867,0.6,0.3867,0.3733,0.4133,0.869,0.8699,0.0686,0.7808,0.729,0.7245,0.721,,,,,,0.0867,0.1133,0.2133,0.1333,0.3911,0.7248,0.13665,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-4.1-nano-2025-04-14,0.4733,0.1733,0.56,0.4267,0.6267,0.1267,0.4867,0.5,0.54,0.5857,0.3823,0.2356,0.2938,0.6356,0.6437,0.6641,,,,,,0.2333,0.3267,0.38,0.04,0.5089,0.6478,0.24500000000000002,,,,,,,,,,,,,,,,,0.0,0.0178,0.0043,0.0809,0.6482,0.0002,0.0,0.0178,0.0043,0.0809,0.6482,0.0002
qawiki,fixing,gpt-4o,0.84,0.7867,0.92,0.9333,0.92,0.74,0.5067,0.5333,0.5133,0.5993,0.5796,0.0572,0.507,0.3598,0.3719,0.3537,,,,,,0.38,0.4067,0.4533,0.3867,0.5178,0.3618,0.406675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-5,0.8933,0.8933,0.9533,0.9867,0.62,0.5133,0.7067,0.7067,0.6867,0.9418,0.9191,0.38,0.4667,0.822,0.8343,0.8067,,,,,,0.5133,0.5267,0.5067,0.58,0.7,0.821,0.531675,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1958,0.0,0.0,0.0,0.0,0.0,0.1958,0.0
qawiki,fixing,gpt-5-mini,0.86,0.84,0.9533,0.9733,0.7067,0.56,0.7333,0.7667,0.7267,0.8897,0.9187,0.2933,0.4163,0.8109,0.839,0.8203,,,,,,0.6533,0.6133,0.64,0.6333,0.7422,0.8234,0.6349750000000001,,,,,,,,,,,,,,,,,0.0004,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0
qawiki,fixing,gpt-5-nano,0.7533,0.7067,0.8067,0.96,0.7267,0.44,0.6333,0.6533,0.5933,0.8314,0.8437,0.2669,0.4701,0.7281,0.7279,0.7132,,,,,,0.56,0.48,0.4467,0.5467,0.6266,0.7231,0.50835,,,,,,,,,,,,,,,,,0.0,0.0,0.0003,0.0,0.0002,0.0,0.0,0.0,0.0003,0.0,0.0002,0.0
qawiki,fixing,grok-3-mini,0.8533,0.8,0.92,0.9867,0.9333,0.74,0.3867,0.32,0.38,0.9231,0.934,0.0635,0.7428,0.5878,0.5636,0.5961,,,,,,0.1267,0.1333,0.2267,0.2467,0.3622,0.5825,0.18335,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1917,0.0,0.0,0.0,0.0,0.0,0.1917,0.0
qawiki,fixing,llama3.1:70b,0.5733,0.46,0.68,0.7733,0.8933,0.4133,0.1467,0.1733,0.1467,0.7004,0.7224,0.0639,0.708,0.3565,0.3712,0.365,,,,,,0.02,0.06,0.14,0.04,0.1556,0.3642,0.065,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
qawiki,fixing,llama3.1:8b,0.0933,0.02,0.1467,0.12,0.66,0.0067,0.0067,0.0,0.0267,0.427,0.2836,0.0856,0.2307,0.126,0.1202,0.1375,,,,,,0.0,0.0067,0.0,0.0,0.0111,0.1279,0.001675,,,,,,,,,,,,,,,,,0.0005,0.3125,0.0013,0.0,1.0,0.5,0.0005,0.3125,0.0013,0.0,1.0,0.5
qawiki,fixing,mistral-small:24b,0.66,0.4867,0.6933,0.88,0.96,0.4733,0.58,0.5333,0.5467,0.7737,0.7488,0.0141,0.6267,0.7513,0.7381,0.7446,,,,,,0.26,0.1667,0.2533,0.24,0.5533,0.7447,0.22999999999999998,,,,,,,,,,,,,,,,,0.0012,0.0001,0.0001,0.0,0.0,0.0,0.0012,0.0001,0.0001,0.0,0.0,0.0
qawiki,fixing,o3,0.7067,0.7333,0.8533,0.9,0.9667,0.7,0.38,0.4133,0.4067,0.6446,0.7051,0.0333,0.6443,0.4113,0.4086,0.4298,,,,,,0.3067,0.2733,0.1933,0.26,0.4,0.4166,0.258325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qawiki,wikidata,deepseek-chat,0.277,0.223,0.5878,0.5135,0.6419,0.1554,,,,0.3761,0.3353,0.1248,0.1649,,,,,,,,,0.1892,0.1824,0.3514,0.3851,,,0.277025,,,,,,,,,,,,,,,,,0.0354,0.0214,0.0001,0.0027,0.3136,0.0007,0.0354,0.0214,0.0001,0.0027,0.3136,0.0007
qawiki,wikidata,gemini-2.0-flash,0.1892,0.1081,0.4122,0.3986,0.6081,0.0608,,,,0.4271,0.3339,0.098,0.2263,,,,,,,,,0.0811,0.1081,0.1757,0.1824,,,0.136825,,,,,,,,,,,,,,,,,0.939,0.7597,0.0998,0.3258,0.8389,0.1938,0.939,0.7597,0.0998,0.3258,0.8389,0.1938
qawiki,wikidata,gemini-2.5-flash,0.2973,0.1622,0.5676,0.4865,0.8784,0.1622,,,,0.3593,0.3268,0.0191,0.2641,,,,,,,,,0.277,0.3176,0.2973,0.3176,,,0.302375,,,,,,,,,,,,,,,,,0.28,0.9646,0.0111,0.0027,0.1635,0.779,0.28,0.9646,0.0111,0.0027,0.1635,0.779
qawiki,wikidata,gemini-2.5-pro,0.2162,0.1757,0.4122,0.3378,0.7635,0.1622,,,,0.5105,0.4907,0.0379,0.3979,,,,,,,,,0.027,0.0405,0.0743,0.0676,,,0.05235,,,,,,,,,,,,,,,,,0.7878,0.2517,0.0192,0.1077,0.7443,0.3238,0.7878,0.2517,0.0192,0.1077,0.7443,0.3238
qawiki,wikidata,gpt-4.1-2025-04-14,0.25,0.1216,0.4257,0.3851,0.6284,0.0743,,,,0.651,0.5123,0.1003,0.3573,,,,,,,,,0.027,0.027,0.0743,0.0608,,,0.047275,,,,,,,,,,,,,,,,,0.8365,0.1509,0.2122,0.1002,0.5679,0.2539,0.8365,0.1509,0.2122,0.1002,0.5679,0.2539
qawiki,wikidata,gpt-4.1-mini-2025-04-14,0.2162,0.0608,0.2905,0.2905,0.8649,0.027,,,,0.3732,0.2293,0.0392,0.1782,,,,,,,,,0.0946,0.1014,0.0878,0.2095,,,0.12332499999999999,,,,,,,,,,,,,,,,,0.8923,0.9888,0.9998,0.9155,0.0,0.8125,0.8923,0.9888,0.9998,0.9155,0.0,0.8125
