llm,dataset,relation,True,Accuracy,Size,Equivalence,Contains,ContainedBy,Overlap,Disjoint,Unknown,Else
gpt-4.1-nano-2025-04-14,synthetic,R(3-4),Disjoint,0.6333(95),150,0.0000(0),0.1267(19),0.1467(22),0.0333(5),0.6333(95),0.0600(9),0.0000(0)
gpt-4.1-nano-2025-04-14,synthetic,R(1-34),Equivalence,0.0000(0),150,0.0000(0),0.0333(5),0.1400(21),0.0000(0),0.8267(124),0.0000(0),0.0000(0)
gpt-4o,lc-quad,R(1-2),Equivalence,0.9667(145),150,0.9667(145),0.0333(5),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-4o,lc-quad,R(1-3),Contains,0.2200(33),150,0.0067(1),0.2200(33),0.7267(109),0.0267(4),0.0067(1),0.0133(2),0.0000(0)
gpt-4o,lc-quad,R(1-4),Contains,0.1533(23),150,0.0067(1),0.1533(23),0.0467(7),0.6200(93),0.1733(26),0.0000(0),0.0000(0)
gpt-4o,lc-quad,R(3-4),Disjoint,0.9867(148),150,0.0000(0),0.0000(0),0.0000(0),0.0133(2),0.9867(148),0.0000(0),0.0000(0)
gpt-4o,lc-quad,R(1-34),Equivalence,0.6333(95),150,0.6333(95),0.0200(3),0.0000(0),0.0067(1),0.2267(34),0.1133(17),0.0000(0)
gpt-4o,qawiki,R(1-2),Equivalence,0.9400(141),150,0.9400(141),0.0400(6),0.0133(2),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
gpt-4o,qawiki,R(1-3),Contains,0.2933(44),150,0.0067(1),0.2933(44),0.6867(103),0.0067(1),0.0000(0),0.0067(1),0.0000(0)
gpt-4o,qawiki,R(1-4),Contains,0.1133(17),150,0.0000(0),0.1133(17),0.0267(4),0.6667(100),0.1933(29),0.0000(0),0.0000(0)
gpt-4o,qawiki,R(3-4),Disjoint,1.0000(150),150,0.0000(0),0.0000(0),0.0000(0),0.0000(0),1.0000(150),0.0000(0),0.0000(0)
gpt-4o,qawiki,R(1-34),Equivalence,0.6267(94),150,0.6267(94),0.0133(2),0.0000(0),0.0267(4),0.2400(36),0.0933(14),0.0000(0)
gpt-4o,spinach,R(1-2),Equivalence,0.9467(142),150,0.9467(142),0.0533(8),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-4o,spinach,R(1-3),Contains,0.3533(53),150,0.0000(0),0.3533(53),0.6133(92),0.0200(3),0.0000(0),0.0133(2),0.0000(0)
gpt-4o,spinach,R(1-4),Contains,0.1133(17),150,0.0000(0),0.1133(17),0.0200(3),0.6867(103),0.1800(27),0.0000(0),0.0000(0)
gpt-4o,spinach,R(3-4),Disjoint,0.9933(149),150,0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.9933(149),0.0000(0),0.0000(0)
gpt-4o,spinach,R(1-34),Equivalence,0.6533(98),150,0.6533(98),0.0067(1),0.0000(0),0.0200(3),0.2267(34),0.0933(14),0.0000(0)
gpt-4o,synthetic,R(1-2),Equivalence,0.9333(140),150,0.9333(140),0.0333(5),0.0200(3),0.0000(0),0.0067(1),0.0067(1),0.0000(0)
gpt-4o,synthetic,R(1-3),Contains,0.3667(55),150,0.0067(1),0.3667(55),0.6000(90),0.0200(3),0.0000(0),0.0067(1),0.0000(0)
gpt-4o,synthetic,R(1-4),Contains,0.1067(16),150,0.0067(1),0.1067(16),0.0400(6),0.7200(108),0.1200(18),0.0067(1),0.0000(0)
gpt-4o,synthetic,R(3-4),Disjoint,0.9933(149),150,0.0067(1),0.0000(0),0.0000(0),0.0000(0),0.9933(149),0.0000(0),0.0000(0)
gpt-4o,synthetic,R(1-34),Equivalence,0.6800(102),150,0.6800(102),0.0000(0),0.0067(1),0.0333(5),0.1933(29),0.0867(13),0.0000(0)
gpt-5,lc-quad,R(1-2),Equivalence,0.9467(142),150,0.9467(142),0.0200(3),0.0200(3),0.0067(1),0.0000(0),0.0067(1),0.0000(0)
gpt-5,lc-quad,R(1-3),Contains,0.9800(147),150,0.0067(1),0.9800(147),0.0067(1),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-5,lc-quad,R(1-4),Contains,0.9933(149),150,0.0000(0),0.9933(149),0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-5,lc-quad,R(3-4),Disjoint,0.9800(147),150,0.0000(0),0.0133(2),0.0000(0),0.0000(0),0.9800(147),0.0067(1),0.0000(0)
gpt-5,lc-quad,R(1-34),Equivalence,0.9533(143),150,0.9533(143),0.0267(4),0.0200(3),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-5,qawiki,R(1-2),Equivalence,0.8733(131),150,0.8733(131),0.0333(5),0.0667(10),0.0067(1),0.0000(0),0.0200(3),0.0000(0)
gpt-5,qawiki,R(1-3),Contains,0.9800(147),150,0.0133(2),0.9800(147),0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-5,qawiki,R(1-4),Contains,0.9800(147),150,0.0000(0),0.9800(147),0.0000(0),0.0000(0),0.0200(3),0.0000(0),0.0000(0)
gpt-5,qawiki,R(3-4),Disjoint,0.9733(146),150,0.0000(0),0.0000(0),0.0000(0),0.0200(3),0.9733(146),0.0067(1),0.0000(0)
gpt-5,qawiki,R(1-34),Equivalence,0.9467(142),150,0.9467(142),0.0067(1),0.0333(5),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gpt-5,spinach,R(1-2),Equivalence,0.9200(138),150,0.9200(138),0.0267(4),0.0400(6),0.0067(1),0.0000(0),0.0067(1),0.0000(0)
gpt-5,spinach,R(1-3),Contains,0.9867(148),150,0.0000(0),0.9867(148),0.0000(0),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
gpt-5,spinach,R(1-4),Contains,0.9867(148),150,0.0000(0),0.9867(148),0.0000(0),0.0133(2),0.0000(0),0.0000(0),0.0000(0)
gpt-5,spinach,R(3-4),Disjoint,0.9467(142),150,0.0000(0),0.0000(0),0.0000(0),0.0267(4),0.9467(142),0.0267(4),0.0000(0)
gpt-5,spinach,R(1-34),Equivalence,0.9133(137),150,0.9133(137),0.0400(6),0.0333(5),0.0067(1),0.0000(0),0.0067(1),0.0000(0)
gpt-5,synthetic,R(1-2),Equivalence,0.8867(133),150,0.8867(133),0.0533(8),0.0467(7),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gpt-5,synthetic,R(1-3),Contains,0.9733(146),150,0.0133(2),0.9733(146),0.0067(1),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
gpt-5,synthetic,R(1-4),Contains,0.9867(148),150,0.0067(1),0.9867(148),0.0000(0),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
gpt-5,synthetic,R(3-4),Disjoint,0.9733(146),150,0.0067(1),0.0067(1),0.0000(0),0.0067(1),0.9733(146),0.0067(1),0.0000(0)
gpt-5,synthetic,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0067(1),0.0067(1),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gpt-5-mini,lc-quad,R(1-2),Equivalence,0.9400(141),150,0.9400(141),0.0200(3),0.0067(1),0.0067(1),0.0067(1),0.0200(3),0.0000(0)
gpt-5-mini,lc-quad,R(1-3),Contains,0.9600(144),150,0.0133(2),0.9600(144),0.0133(2),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
gpt-5-mini,lc-quad,R(1-4),Contains,0.9800(147),150,0.0000(0),0.9800(147),0.0000(0),0.0000(0),0.0000(0),0.0200(3),0.0000(0)
gpt-5-mini,lc-quad,R(3-4),Disjoint,0.9600(144),150,0.0000(0),0.0133(2),0.0000(0),0.0067(1),0.9600(144),0.0200(3),0.0000(0)
gpt-5-mini,lc-quad,R(1-34),Equivalence,0.9400(141),150,0.9400(141),0.0267(4),0.0200(3),0.0000(0),0.0067(1),0.0067(1),0.0000(0)
gpt-5-mini,qawiki,R(1-2),Equivalence,0.8533(128),150,0.8533(128),0.0467(7),0.0667(10),0.0067(1),0.0000(0),0.0267(4),0.0000(0)
gpt-5-mini,qawiki,R(1-3),Contains,0.9867(148),150,0.0067(1),0.9867(148),0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-5-mini,qawiki,R(1-4),Contains,0.9733(146),150,0.0067(1),0.9733(146),0.0000(0),0.0000(0),0.0200(3),0.0000(0),0.0000(0)
gpt-5-mini,qawiki,R(3-4),Disjoint,0.9533(143),150,0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.9533(143),0.0467(7),0.0000(0)
gpt-5-mini,qawiki,R(1-34),Equivalence,0.9600(144),150,0.9600(144),0.0000(0),0.0200(3),0.0000(0),0.0200(3),0.0000(0),0.0000(0)
gpt-5-mini,spinach,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0267(4),0.0333(5),0.0000(0),0.0000(0),0.0267(4),0.0000(0)
gpt-5-mini,spinach,R(1-3),Contains,0.9867(148),150,0.0067(1),0.9867(148),0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-5-mini,spinach,R(1-4),Contains,0.9933(149),150,0.0067(1),0.9933(149),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-5-mini,spinach,R(3-4),Disjoint,0.9200(138),150,0.0067(1),0.0000(0),0.0000(0),0.0400(6),0.9200(138),0.0333(5),0.0000(0)
gpt-5-mini,spinach,R(1-34),Equivalence,0.9400(141),150,0.9400(141),0.0333(5),0.0200(3),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-5-mini,synthetic,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0467(7),0.0133(2),0.0000(0),0.0067(1),0.0200(3),0.0000(0)
gpt-5-mini,synthetic,R(1-3),Contains,0.9600(144),150,0.0133(2),0.9600(144),0.0067(1),0.0067(1),0.0000(0),0.0133(2),0.0000(0)
gpt-5-mini,synthetic,R(1-4),Contains,0.9733(146),150,0.0000(0),0.9733(146),0.0000(0),0.0000(0),0.0067(1),0.0200(3),0.0000(0)
gpt-5-mini,synthetic,R(3-4),Disjoint,0.9733(146),150,0.0067(1),0.0000(0),0.0000(0),0.0133(2),0.9733(146),0.0067(1),0.0000(0)
gpt-5-mini,synthetic,R(1-34),Equivalence,0.9800(147),150,0.9800(147),0.0000(0),0.0133(2),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
gpt-5-nano,lc-quad,R(1-2),Equivalence,0.9467(142),150,0.9467(142),0.0000(0),0.0000(0),0.0000(0),0.0067(1),0.0467(7),0.0000(0)
gpt-5-nano,lc-quad,R(1-3),Contains,0.8400(126),150,0.0733(11),0.8400(126),0.0133(2),0.0000(0),0.0200(3),0.0467(7),0.0067(1)
gpt-5-nano,lc-quad,R(1-4),Contains,0.9200(138),150,0.0400(6),0.9200(138),0.0133(2),0.0000(0),0.0067(1),0.0133(2),0.0067(1)
gpt-5-nano,lc-quad,R(3-4),Disjoint,0.9067(136),150,0.0067(1),0.0400(6),0.0067(1),0.0067(1),0.9067(136),0.0333(5),0.0000(0)
gpt-5-nano,lc-quad,R(1-34),Equivalence,0.9200(138),150,0.9200(138),0.0267(4),0.0333(5),0.0000(0),0.0133(2),0.0067(1),0.0000(0)
gpt-5-nano,qawiki,R(1-2),Equivalence,0.8800(132),150,0.8800(132),0.0400(6),0.0467(7),0.0133(2),0.0067(1),0.0133(2),0.0000(0)
gpt-5-nano,qawiki,R(1-3),Contains,0.9133(137),150,0.0400(6),0.9133(137),0.0067(1),0.0067(1),0.0067(1),0.0267(4),0.0000(0)
gpt-5-nano,qawiki,R(1-4),Contains,0.9267(139),150,0.0200(3),0.9267(139),0.0000(0),0.0067(1),0.0133(2),0.0200(3),0.0133(2)
gpt-5-nano,qawiki,R(3-4),Disjoint,0.8800(132),150,0.0000(0),0.0600(9),0.0200(3),0.0000(0),0.8800(132),0.0400(6),0.0000(0)
gpt-5-nano,qawiki,R(1-34),Equivalence,0.9200(138),150,0.9200(138),0.0200(3),0.0200(3),0.0067(1),0.0267(4),0.0067(1),0.0000(0)
gpt-5-nano,spinach,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0267(4),0.0267(4),0.0000(0),0.0000(0),0.0333(5),0.0000(0)
gpt-5-nano,spinach,R(1-3),Contains,0.8267(124),150,0.1000(15),0.8267(124),0.0133(2),0.0000(0),0.0200(3),0.0267(4),0.0133(2)
gpt-5-nano,spinach,R(1-4),Contains,0.9133(137),150,0.0200(3),0.9133(137),0.0067(1),0.0000(0),0.0267(4),0.0267(4),0.0067(1)
gpt-5-nano,spinach,R(3-4),Disjoint,0.8533(128),150,0.0067(1),0.0333(5),0.0200(3),0.0333(5),0.8533(128),0.0533(8),0.0000(0)
gpt-5-nano,spinach,R(1-34),Equivalence,0.9067(136),150,0.9067(136),0.0400(6),0.0200(3),0.0000(0),0.0267(4),0.0067(1),0.0000(0)
gpt-5-nano,synthetic,R(1-2),Equivalence,0.9400(141),150,0.9400(141),0.0333(5),0.0133(2),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
gpt-5-nano,synthetic,R(1-3),Contains,0.8333(125),150,0.0667(10),0.8333(125),0.0067(1),0.0067(1),0.0267(4),0.0467(7),0.0133(2)
gpt-5-nano,synthetic,R(1-4),Contains,0.9067(136),150,0.0333(5),0.9067(136),0.0000(0),0.0067(1),0.0067(1),0.0333(5),0.0133(2)
gpt-5-nano,synthetic,R(3-4),Disjoint,0.9067(136),150,0.0133(2),0.0200(3),0.0133(2),0.0000(0),0.9067(136),0.0467(7),0.0000(0)
gpt-5-nano,synthetic,R(1-34),Equivalence,0.8933(134),150,0.8933(134),0.0467(7),0.0400(6),0.0067(1),0.0000(0),0.0067(1),0.0067(1)
gpt-oss:20b,lc-quad,R(1-2),Equivalence,0.9733(146),150,0.9733(146),0.0067(1),0.0133(2),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-oss:20b,lc-quad,R(1-3),Contains,0.9200(138),150,0.0400(6),0.9200(138),0.0267(4),0.0000(0),0.0067(1),0.0067(1),0.0000(0)
gpt-oss:20b,lc-quad,R(1-4),Contains,0.9400(141),150,0.0267(4),0.9400(141),0.0200(3),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,lc-quad,R(3-4),Disjoint,0.9133(137),150,0.0067(1),0.0267(4),0.0400(6),0.0000(0),0.9133(137),0.0133(2),0.0000(0)
gpt-oss:20b,lc-quad,R(1-34),Equivalence,0.9333(140),150,0.9333(140),0.0200(3),0.0333(5),0.0000(0),0.0000(0),0.0133(2),0.0000(0)
gpt-oss:20b,qawiki,R(1-2),Equivalence,0.9267(139),150,0.9267(139),0.0133(2),0.0333(5),0.0200(3),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,qawiki,R(1-3),Contains,0.9333(140),150,0.0400(6),0.9333(140),0.0200(3),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,qawiki,R(1-4),Contains,0.9600(144),150,0.0200(3),0.9600(144),0.0000(0),0.0000(0),0.0200(3),0.0000(0),0.0000(0)
gpt-oss:20b,qawiki,R(3-4),Disjoint,0.9267(139),150,0.0000(0),0.0200(3),0.0200(3),0.0333(5),0.9267(139),0.0000(0),0.0000(0)
gpt-oss:20b,qawiki,R(1-34),Equivalence,0.9533(143),150,0.9533(143),0.0200(3),0.0200(3),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,spinach,R(1-2),Equivalence,0.9200(138),150,0.9200(138),0.0600(9),0.0200(3),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-oss:20b,spinach,R(1-3),Contains,0.9133(137),150,0.0533(8),0.9133(137),0.0200(3),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,spinach,R(1-4),Contains,0.9733(146),150,0.0267(4),0.9733(146),0.0000(0),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
gpt-oss:20b,spinach,R(3-4),Disjoint,0.8933(134),150,0.0133(2),0.0467(7),0.0200(3),0.0267(4),0.8933(134),0.0000(0),0.0000(0)
gpt-oss:20b,spinach,R(1-34),Equivalence,0.9200(138),150,0.9200(138),0.0267(4),0.0467(7),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
gpt-oss:20b,synthetic,R(1-2),Equivalence,0.9400(141),150,0.9400(141),0.0333(5),0.0200(3),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,synthetic,R(1-3),Contains,0.9333(140),150,0.0267(4),0.9333(140),0.0200(3),0.0000(0),0.0133(2),0.0067(1),0.0000(0)
gpt-oss:20b,synthetic,R(1-4),Contains,0.9800(147),150,0.0067(1),0.9800(147),0.0000(0),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
gpt-oss:20b,synthetic,R(3-4),Disjoint,0.9333(140),150,0.0133(2),0.0267(4),0.0133(2),0.0133(2),0.9333(140),0.0000(0),0.0000(0)
gpt-oss:20b,synthetic,R(1-34),Equivalence,0.9533(143),150,0.9533(143),0.0267(4),0.0067(1),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
grok-3-mini,lc-quad,R(1-2),Equivalence,0.9600(144),150,0.9600(144),0.0200(3),0.0133(2),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
grok-3-mini,lc-quad,R(1-3),Contains,0.9467(142),150,0.0133(2),0.9467(142),0.0067(1),0.0000(0),0.0000(0),0.0333(5),0.0000(0)
grok-3-mini,lc-quad,R(1-4),Contains,0.9667(145),150,0.0067(1),0.9667(145),0.0067(1),0.0000(0),0.0067(1),0.0133(2),0.0000(0)
grok-3-mini,lc-quad,R(3-4),Disjoint,0.9800(147),150,0.0000(0),0.0067(1),0.0067(1),0.0000(0),0.9800(147),0.0067(1),0.0000(0)
grok-3-mini,lc-quad,R(1-34),Equivalence,0.9667(145),150,0.9667(145),0.0067(1),0.0133(2),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
grok-3-mini,qawiki,R(1-2),Equivalence,0.8800(132),150,0.8800(132),0.0467(7),0.0667(10),0.0000(0),0.0000(0),0.0067(1),0.0000(0)
grok-3-mini,qawiki,R(1-3),Contains,0.9600(144),150,0.0200(3),0.9600(144),0.0000(0),0.0000(0),0.0000(0),0.0200(3),0.0000(0)
grok-3-mini,qawiki,R(1-4),Contains,0.9667(145),150,0.0067(1),0.9667(145),0.0000(0),0.0000(0),0.0200(3),0.0067(1),0.0000(0)
grok-3-mini,qawiki,R(3-4),Disjoint,0.9733(146),150,0.0000(0),0.0067(1),0.0000(0),0.0200(3),0.9733(146),0.0000(0),0.0000(0)
grok-3-mini,qawiki,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0000(0),0.0133(2),0.0000(0),0.0133(2),0.0000(0),0.0000(0)
grok-3-mini,spinach,R(1-2),Equivalence,0.9200(138),150,0.9200(138),0.0267(4),0.0533(8),0.0000(0),0.0000(0),0.0000(0),0.0000(0)
grok-3-mini,spinach,R(1-3),Contains,0.9400(141),150,0.0400(6),0.9400(141),0.0000(0),0.0067(1),0.0000(0),0.0133(2),0.0000(0)
grok-3-mini,spinach,R(1-4),Contains,0.9533(143),150,0.0067(1),0.9533(143),0.0000(0),0.0000(0),0.0200(3),0.0200(3),0.0000(0)
grok-3-mini,spinach,R(3-4),Disjoint,0.9800(147),150,0.0000(0),0.0000(0),0.0067(1),0.0067(1),0.9800(147),0.0067(1),0.0000(0)
grok-3-mini,spinach,R(1-34),Equivalence,0.9733(146),150,0.9733(146),0.0133(2),0.0067(1),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
grok-3-mini,synthetic,R(1-2),Equivalence,0.9133(137),150,0.9133(137),0.0467(7),0.0200(3),0.0000(0),0.0133(2),0.0067(1),0.0000(0)
grok-3-mini,synthetic,R(1-3),Contains,0.9533(143),150,0.0067(1),0.9533(143),0.0067(1),0.0067(1),0.0000(0),0.0267(4),0.0000(0)
grok-3-mini,synthetic,R(1-4),Contains,0.9800(147),150,0.0000(0),0.9800(147),0.0000(0),0.0000(0),0.0067(1),0.0133(2),0.0000(0)
grok-3-mini,synthetic,R(3-4),Disjoint,0.9800(147),150,0.0067(1),0.0000(0),0.0000(0),0.0067(1),0.9800(147),0.0067(1),0.0000(0)
grok-3-mini,synthetic,R(1-34),Equivalence,0.9800(147),150,0.9800(147),0.0000(0),0.0133(2),0.0000(0),0.0067(1),0.0000(0),0.0000(0)
llama3.1:70b,lc-quad,R(1-2),Equivalence,0.9667(145),150,0.9667(145),0.0000(0),0.0067(1),0.0200(3),0.0000(0),0.0000(0),0.0067(1)
llama3.1:70b,lc-quad,R(1-3),Contains,0.0667(10),150,0.0000(0),0.0667(10),0.8733(131),0.0533(8),0.0067(1),0.0000(0),0.0000(0)
llama3.1:70b,lc-quad,R(1-4),Contains,0.2667(40),150,0.0133(2),0.2667(40),0.1200(18),0.4000(60),0.2000(30),0.0000(0),0.0000(0)
llama3.1:70b,lc-quad,R(3-4),Disjoint,0.9867(148),150,0.0000(0),0.0000(0),0.0000(0),0.0133(2),0.9867(148),0.0000(0),0.0000(0)
llama3.1:70b,lc-quad,R(1-34),Equivalence,0.9867(148),150,0.9867(148),0.0000(0),0.0000(0),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
llama3.1:70b,qawiki,R(1-2),Equivalence,0.9867(148),150,0.9867(148),0.0000(0),0.0000(0),0.0133(2),0.0000(0),0.0000(0),0.0000(0)
llama3.1:70b,qawiki,R(1-3),Contains,0.0800(12),150,0.0067(1),0.0800(12),0.9067(136),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
llama3.1:70b,qawiki,R(1-4),Contains,0.2933(44),150,0.0000(0),0.2933(44),0.0733(11),0.3600(54),0.2733(41),0.0000(0),0.0000(0)
llama3.1:70b,qawiki,R(3-4),Disjoint,1.0000(150),150,0.0000(0),0.0000(0),0.0000(0),0.0000(0),1.0000(150),0.0000(0),0.0000(0)
llama3.1:70b,qawiki,R(1-34),Equivalence,0.9867(148),150,0.9867(148),0.0000(0),0.0000(0),0.0067(1),0.0067(1),0.0000(0),0.0000(0)
llama3.1:70b,spinach,R(1-2),Equivalence,0.9867(148),150,0.9867(148),0.0000(0),0.0000(0),0.0133(2),0.0000(0),0.0000(0),0.0000(0)
llama3.1:70b,spinach,R(1-3),Contains,0.0800(12),150,0.0067(1),0.0800(12),0.8800(132),0.0333(5),0.0000(0),0.0000(0),0.0000(0)
llama3.1:70b,spinach,R(1-4),Contains,0.2067(31),150,0.0067(1),0.2067(31),0.0667(10),0.4667(70),0.2533(38),0.0000(0),0.0000(0)
llama3.1:70b,spinach,R(3-4),Disjoint,0.9867(148),150,0.0067(1),0.0000(0),0.0000(0),0.0067(1),0.9867(148),0.0000(0),0.0000(0)
llama3.1:70b,spinach,R(1-34),Equivalence,0.9800(147),150,0.9800(147),0.0000(0),0.0000(0),0.0133(2),0.0067(1),0.0000(0),0.0000(0)
llama3.1:70b,synthetic,R(1-2),Equivalence,0.9600(144),150,0.9600(144),0.0000(0),0.0067(1),0.0200(3),0.0133(2),0.0000(0),0.0000(0)
llama3.1:70b,synthetic,R(1-3),Contains,0.0800(12),150,0.0067(1),0.0800(12),0.8400(126),0.0600(9),0.0067(1),0.0067(1),0.0000(0)
llama3.1:70b,synthetic,R(1-4),Contains,0.3200(48),150,0.0000(0),0.3200(48),0.1400(21),0.3733(56),0.1667(25),0.0000(0),0.0000(0)
llama3.1:70b,synthetic,R(3-4),Disjoint,0.9933(149),150,0.0067(1),0.0000(0),0.0000(0),0.0000(0),0.9933(149),0.0000(0),0.0000(0)
llama3.1:70b,synthetic,R(1-34),Equivalence,0.9867(148),150,0.9867(148),0.0067(1),0.0000(0),0.0067(1),0.0000(0),0.0000(0),0.0000(0)
llama3.1:8b,lc-quad,R(1-2),Equivalence,0.0467(7),150,0.0467(7),0.1133(17),0.0133(2),0.7733(116),0.0000(0),0.0000(0),0.0533(8)
llama3.1:8b,lc-quad,R(1-3),Contains,0.1267(19),150,0.0267(4),0.1267(19),0.1800(27),0.4067(61),0.2533(38),0.0000(0),0.0067(1)
llama3.1:8b,lc-quad,R(1-4),Contains,0.0867(13),150,0.0067(1),0.0867(13),0.1667(25),0.4867(73),0.2467(37),0.0000(0),0.0067(1)
llama3.1:8b,lc-quad,R(3-4),Disjoint,0.1800(27),150,0.0200(3),0.0933(14),0.2600(39),0.4200(63),0.1800(27),0.0000(0),0.0267(4)
llama3.1:8b,lc-quad,R(1-34),Equivalence,0.0267(4),150,0.0267(4),0.1200(18),0.0600(9),0.5467(82),0.1533(23),0.0000(0),0.0933(14)
llama3.1:8b,qawiki,R(1-2),Equivalence,0.0400(6),150,0.0400(6),0.0733(11),0.0000(0),0.8600(129),0.0000(0),0.0000(0),0.0267(4)
llama3.1:8b,qawiki,R(1-3),Contains,0.1133(17),150,0.0267(4),0.1133(17),0.2000(30),0.4467(67),0.2133(32),0.0000(0),0.0000(0)
llama3.1:8b,qawiki,R(1-4),Contains,0.1733(26),150,0.0000(0),0.1733(26),0.1867(28),0.4533(68),0.1867(28),0.0000(0),0.0000(0)
llama3.1:8b,qawiki,R(3-4),Disjoint,0.2000(30),150,0.0200(3),0.0800(12),0.3267(49),0.3600(54),0.2000(30),0.0000(0),0.0133(2)
llama3.1:8b,qawiki,R(1-34),Equivalence,0.0333(5),150,0.0333(5),0.1067(16),0.0467(7),0.6000(90),0.1267(19),0.0000(0),0.0867(13)
llama3.1:8b,spinach,R(1-2),Equivalence,0.0600(9),150,0.0600(9),0.1400(21),0.0067(1),0.7600(114),0.0000(0),0.0000(0),0.0333(5)
llama3.1:8b,spinach,R(1-3),Contains,0.1200(18),150,0.0333(5),0.1200(18),0.1667(25),0.5067(76),0.1600(24),0.0000(0),0.0133(2)
llama3.1:8b,spinach,R(1-4),Contains,0.0733(11),150,0.0133(2),0.0733(11),0.1467(22),0.5067(76),0.2467(37),0.0067(1),0.0067(1)
llama3.1:8b,spinach,R(3-4),Disjoint,0.1667(25),150,0.0067(1),0.0600(9),0.3467(52),0.4067(61),0.1667(25),0.0000(0),0.0133(2)
llama3.1:8b,spinach,R(1-34),Equivalence,0.0400(6),150,0.0400(6),0.1267(19),0.0800(12),0.4867(73),0.1400(21),0.0000(0),0.1267(19)
llama3.1:8b,synthetic,R(1-2),Equivalence,0.0867(13),150,0.0867(13),0.0800(12),0.0067(1),0.7733(116),0.0000(0),0.0000(0),0.0533(8)
llama3.1:8b,synthetic,R(1-3),Contains,0.1000(15),150,0.0533(8),0.1000(15),0.2133(32),0.4000(60),0.2000(30),0.0067(1),0.0267(4)
llama3.1:8b,synthetic,R(1-4),Contains,0.1133(17),150,0.0133(2),0.1133(17),0.1867(28),0.4600(69),0.2267(34),0.0000(0),0.0000(0)
llama3.1:8b,synthetic,R(3-4),Disjoint,0.2400(36),150,0.0133(2),0.0800(12),0.2933(44),0.3600(54),0.2400(36),0.0000(0),0.0133(2)
llama3.1:8b,synthetic,R(1-34),Equivalence,0.0200(3),150,0.0200(3),0.1467(22),0.0933(14),0.5067(76),0.1400(21),0.0000(0),0.0933(14)
mistral-small:24b,lc-quad,R(1-2),Equivalence,0.9333(140),150,0.9333(140),0.0000(0),0.0333(5),0.0200(3),0.0067(1),0.0067(1),0.0000(0)
mistral-small:24b,lc-quad,R(1-3),Contains,0.0000(0),150,0.0000(0),0.0000(0),0.8667(130),0.0067(1),0.0200(3),0.1067(16),0.0000(0)
mistral-small:24b,lc-quad,R(1-4),Contains,0.0133(2),150,0.0133(2),0.0133(2),0.2400(36),0.1600(24),0.3867(58),0.1867(28),0.0000(0)
mistral-small:24b,lc-quad,R(3-4),Disjoint,0.9933(149),150,0.0000(0),0.0000(0),0.0067(1),0.0000(0),0.9933(149),0.0000(0),0.0000(0)
