q1	ql1	ql2
http://qawiki.org/entity/Q604	Did Lionel Messi play for FC Barcelona?	Has Messi played with Barcelona?
http://qawiki.org/entity/Q605	How many matches did Lionel Messi play for FC Barcelona?	How many caps did Messi have with Barcelona?
http://qawiki.org/entity/Q605	How many matches did Lionel Messi play for FC Barcelona?	How many appearances did Messi make with Barcelona?
http://qawiki.org/entity/Q276	Who is the oldest current president?	Who is the eldest active president in the world?
http://qawiki.org/entity/Q276	Who is the oldest current president?	Who is the oldest active president?
http://qawiki.org/entity/Q277	What drinks are from Africa?	List African drinks
http://qawiki.org/entity/Q277	What drinks are from Africa?	What drinks are African?
http://qawiki.org/entity/Q278	Avressieux is located in which department of France?	In which French department is Avressieux?
http://qawiki.org/entity/Q278	Avressieux is located in which department of France?	What department is Avressieux in?
http://qawiki.org/entity/Q279	What is the constellation of OGLE BLG-ECL-143281?	What constellation is OGLE BLG-ECL-143281 in?
http://qawiki.org/entity/Q280	What is the GDP of the Czech Republic?	What is the Czech GDP?
http://qawiki.org/entity/Q280	What is the GDP of the Czech Republic?	What is the Gross Domestic Product of Czechia?
http://qawiki.org/entity/Q281	What is the computational complexity of the 2-satisfiability problem?	What is the complexity class of 2-SAT?
http://qawiki.org/entity/Q281	What is the computational complexity of the 2-satisfiability problem?	What is the complexity of 2SAT?
http://qawiki.org/entity/Q282	Who publishes the Journal of Visual Literacy?	Who is the publisher of the Journal of Visual Literacy?
http://qawiki.org/entity/Q283	Where does Neena Gupta work?	What is Neena Gupta's affiliation?
http://qawiki.org/entity/Q283	Where does Neena Gupta work?	Who employs Neena Gupta?
http://qawiki.org/entity/Q284	What was the last black and white movie to win an Academy Award for Best Picture?	What was the latest black & white film to win Best Picture?
http://qawiki.org/entity/Q284	What was the last black and white movie to win an Academy Award for Best Picture?	What was the most recent black & white film to win an Oscar for Best Picture?
http://qawiki.org/entity/Q285	Which New Zealand cyclists participated in the 2000 Summer Olympics?	Which cyclists from New Zealand took part in the 2000 Olympics?
http://qawiki.org/entity/Q285	Which New Zealand cyclists participated in the 2000 Summer Olympics?	Which cyclists from New Zealand were in the 2000 Olympics?
http://qawiki.org/entity/Q405	In which country was Elon Musk born?	In what country was Elon Musk born?
http://qawiki.org/entity/Q405	In which country was Elon Musk born?	What country was Elon Musk born in?
http://qawiki.org/entity/Q406	How many Polish Grandmasters have there been?	How many Grandmasters are from Poland?
http://qawiki.org/entity/Q407	Which countries have diplomatic relations with Chile?	Which countries does Chile have diplomatic relations?
http://qawiki.org/entity/Q408	Who are the sponsors of Barcelona football club?	What companies sponsor FC Barcelona?
http://qawiki.org/entity/Q408	Who are the sponsors of Barcelona football club?	Which companies are sponsors of Barcelona soccer club?
http://qawiki.org/entity/Q409	What video game series has sold the most units?	What is the best-selling video game series?
http://qawiki.org/entity/Q410	Which video game series has the most video games?	What series of video games has the most video games?
http://qawiki.org/entity/Q411	Which planet has the least mass?	What is the smallest planet in terms of mass?
http://qawiki.org/entity/Q411	Which planet has the least mass?	What planet has the smallest mass?
http://qawiki.org/entity/Q412	Which painter has painted the most paintings?	Which painter has the most paintings?
http://qawiki.org/entity/Q413	What was the latest programming language created?	What is the latest programming language?
http://qawiki.org/entity/Q413	What was the latest programming language created?	What was the last programming language proposed?
http://qawiki.org/entity/Q414	Which musical groups formed the same year as Soda Stereo?	What musical groups started the same year that Soda Stereo started?
http://qawiki.org/entity/Q415	Which association football players have at least two citizenships?	Which football players have more than one nationality?
http://qawiki.org/entity/Q415	Which association football players have at least two citizenships?	Which footballers have two or more nationalities?
http://qawiki.org/entity/Q415	Which association football players have at least two citizenships?	Which professional football players have more than one nationality?
http://qawiki.org/entity/Q415	Which association football players have at least two citizenships?	Which soccer players have multiple nationalities?
http://qawiki.org/entity/Q416	Which video games have won the award of Best Esports Game of the Year at The Game Awards?	Which games been awarded the Best Esports Game of the Year?
http://qawiki.org/entity/Q416	Which video games have won the award of Best Esports Game of the Year at The Game Awards?	Which games have won the Best Esports Game of the Year?
http://qawiki.org/entity/Q417	When was J. K. Rowling born?	What is J. K. Rowling's date of birth?
http://qawiki.org/entity/Q417	When was J. K. Rowling born?	What is J. K. Rowling's dob?
http://qawiki.org/entity/Q521	Has France hosted the Eurovision Song Contest?	Did France ever host the Eurovision?
http://qawiki.org/entity/Q521	Has France hosted the Eurovision Song Contest?	Has France hosted the Eurovision?
http://qawiki.org/entity/Q522	In which year did France win the Eurovision Song Contest a second time?	When did France win their second Eurovision?
http://qawiki.org/entity/Q522	In which year did France win the Eurovision Song Contest a second time?	When was the second time that France won the Eurovision?
http://qawiki.org/entity/Q523	Has France won the Eurovision at least twice?	Did France win the Eurovision at least twice?
http://qawiki.org/entity/Q523	Has France won the Eurovision at least twice?	Has France won the Eurovision at least two times?
http://qawiki.org/entity/Q524	In which year did France win the Eurovision Song Contest a third time?	When did France win their third Eurovision?
http://qawiki.org/entity/Q524	In which year did France win the Eurovision Song Contest a third time?	When was the third time that France won the Eurovision?
http://qawiki.org/entity/Q525	Has France won the Eurovision at least thrice?	Did France win the Eurovision at least thrice?
http://qawiki.org/entity/Q525	Has France won the Eurovision at least thrice?	Has France won the Eurovision at least three times?
http://qawiki.org/entity/Q526	How many times has France won the Eurovision Song Contest?	How many times has France won the Eurovision?
http://qawiki.org/entity/Q526	How many times has France won the Eurovision Song Contest?	How many Eurovisions has France won?
http://qawiki.org/entity/Q528	Which has a higher population: the United States or the European Union?	Which has a bigger population: the E.U. or U.S.A.?
http://qawiki.org/entity/Q528	Which has a higher population: the United States or the European Union?	Which is more populous: the U.S. or the E.U.?
http://qawiki.org/entity/Q528	Which has a higher population: the United States or the European Union?	Which is more populous: the United States or the European Union?
http://qawiki.org/entity/Q529	Which covers a larger area: the United States or the European Union?	Which has a bigger area: the E.U. or U.S.A.?
http://qawiki.org/entity/Q529	Which covers a larger area: the United States or the European Union?	Which is more spacious: the U.S. or the E.U.?
http://qawiki.org/entity/Q529	Which covers a larger area: the United States or the European Union?	Which is more spacious: the United States or the European Union?
http://qawiki.org/entity/Q531	What is the latest movie featuring Harley Quinn?	What is the most recent movie with Harley Quinn?
http://qawiki.org/entity/Q531	What is the latest movie featuring Harley Quinn?	What is the newest movie in which Harley Quinn appears?
http://qawiki.org/entity/Q532	Which stars are more than 1000 parsecs away from Earth?	What stars have a distance over 1000 parsecs from Earth?
http://qawiki.org/entity/Q532	Which stars are more than 1000 parsecs away from Earth?	Which stars are more than one kiloparsec away?
http://qawiki.org/entity/Q534	Which paintings are of astronauts?	What artworks feature astronauts?
http://qawiki.org/entity/Q534	Which paintings are of astronauts?	What paintings depict astronauts?
http://qawiki.org/entity/Q286	In which time zone is Tonga located?	What is Tonga's time zone?
http://qawiki.org/entity/Q287	Which countries changed their driving side from left to right?	Which countries changed from driving on the left to driving on the right?
http://qawiki.org/entity/Q287	Which countries changed their driving side from left to right?	Which countries changed from left-hand side to right-hand side traffic?
http://qawiki.org/entity/Q290	Who proved Fermat's Last Theorem?	Who demonstrated Fermat's Last Theorem?
http://qawiki.org/entity/Q290	Who proved Fermat's Last Theorem?	Who solved Fermat's Last Theorem?
http://qawiki.org/entity/Q291	Who influenced Frank Zappa?	By whom was Frank Zappa influenced?
http://qawiki.org/entity/Q291	Who influenced Frank Zappa?	Who were Frank Zappa's influences?
http://qawiki.org/entity/Q291	Who influenced Frank Zappa?	Who were the influences of Frank Zappa?
http://qawiki.org/entity/Q292	What philosophers are from the analytic philosophy movement?	List analytic philosophers
http://qawiki.org/entity/Q292	What philosophers are from the analytic philosophy movement?	Which philosophers are from the analytic school?
http://qawiki.org/entity/Q293	Where is Azar Andami buried?	Where is Azar Andami interred?
http://qawiki.org/entity/Q293	Where is Azar Andami buried?	Where is Azar Andami's grave?
http://qawiki.org/entity/Q293	Where is Azar Andami buried?	Where is Azar Andami's laid to rest?
http://qawiki.org/entity/Q294	What was the first movie that Elliot Page starred in?	What was the first film that Elliot Page acted in?
http://qawiki.org/entity/Q294	What was the first movie that Elliot Page starred in?	What was the first movie starring Elliot Page?
http://qawiki.org/entity/Q295	Who founded the New York Times?	Who began the New York Times?
http://qawiki.org/entity/Q295	Who founded the New York Times?	Who started the New York Times?
http://qawiki.org/entity/Q296	What volcanoes in Iceland are active?	What active volcanos are found in Iceland?
http://qawiki.org/entity/Q296	What volcanoes in Iceland are active?	Which Icelandic volcanoes are active?
http://qawiki.org/entity/Q297	What weapons were used in which mass shootings?	What arms were used for which mass shootings?
http://qawiki.org/entity/Q297	What weapons were used in which mass shootings?	What firearms were used for which mass shootings?
http://qawiki.org/entity/Q490	What montes form the Tharsis Montes?	List the Tharsis Montes
http://qawiki.org/entity/Q490	What montes form the Tharsis Montes?	Name the Tharsis Montes
http://qawiki.org/entity/Q490	What montes form the Tharsis Montes?	What are the Tharsis Montes?
http://qawiki.org/entity/Q491	On which planet is the Mona Lisa crater?	The crater Mona Lisa is found on which planet?
http://qawiki.org/entity/Q492	Is the Mona Lisa crater found on a planet?	Is the Mona Lisa crater on a planet?
http://qawiki.org/entity/Q493	Do Lionel Messi and Cristiano Ronaldo have the same number of children?	Do Cristiano Ronaldo and Lionel Messi have the same number of children?
http://qawiki.org/entity/Q494	Who was Donald Trump's first wife?	Who was the first wife of Trump?
http://qawiki.org/entity/Q496	What is the average lifespan of koalas?	How many years do koalas live on average?
http://qawiki.org/entity/Q496	What is the average lifespan of koalas?	What is the life expectency of koalas?
http://qawiki.org/entity/Q498	Who holds the record for fastest marathon?	Who ran the fastest marathon?
http://qawiki.org/entity/Q512	Which countries are in the Balkan region?	What are Balkan countries?
http://qawiki.org/entity/Q512	Which countries are in the Balkan region?	Which countries are in the Balkans?
http://qawiki.org/entity/Q514	What country has the lowest nominal gross domestic product per capita?	What country has the lowest nominal GDP per capita?
http://qawiki.org/entity/Q514	What country has the lowest nominal gross domestic product per capita?	Which nation has the smallest GDP per capita?
http://qawiki.org/entity/Q515	Which country in the Balkan region has the lowest nominal gross domestic product per capita?	What Balkan country has the lowest GDP per capita?
http://qawiki.org/entity/Q515	Which country in the Balkan region has the lowest nominal gross domestic product per capita?	Which country in the Balkans has the smallest GDP per capita?
http://qawiki.org/entity/Q516	When was WordLift created?	When did WordLift start?
http://qawiki.org/entity/Q517	In which year did France last win the Eurovision Song Contest?	When did France last win the Eurovision?
http://qawiki.org/entity/Q517	In which year did France last win the Eurovision Song Contest?	When was the last time that France won the Eurovision?
http://qawiki.org/entity/Q518	In which year did France first win the Eurovision Song Contest?	When did France first win the Eurovision?
http://qawiki.org/entity/Q518	In which year did France first win the Eurovision Song Contest?	When was the first time that France won the Eurovision?
http://qawiki.org/entity/Q519	In which year did France last host the Eurovision Song Contest?	When did France last host the Eurovision?
http://qawiki.org/entity/Q519	In which year did France last host the Eurovision Song Contest?	When was the last time that France hosted the Eurovision?
http://qawiki.org/entity/Q520	Has France won the Eurovision Song Contest?	Did France ever win the Eurovision?
http://qawiki.org/entity/Q520	Has France won the Eurovision Song Contest?	Has France won the Eurovision?
http://qawiki.org/entity/Q420	Which probes have explored Neptune?	What missions explored Neptune?
http://qawiki.org/entity/Q420	Which probes have explored Neptune?	What spacecraft have visited Neptune?
http://qawiki.org/entity/Q421	Which movies star Uma Thurman?	In what films has Uma Thurman acted?
http://qawiki.org/entity/Q422	Which movie directed by Stanley Kubrick won the most Academy Awards?	What film directed by Kubrick received the most Academy Awards?
http://qawiki.org/entity/Q422	Which movie directed by Stanley Kubrick won the most Academy Awards?	Which Kubrick movie won the most Oscars?
http://qawiki.org/entity/Q423	Which rugby union teams have had Chilean players?	Which rugby union clubs have had players from Chile?
http://qawiki.org/entity/Q424	Who is the tallest human of all time?	Who among human beings is the tallest?
http://qawiki.org/entity/Q424	Who is the tallest human of all time?	Who is the tallest person of all time?
http://qawiki.org/entity/Q424	Who is the tallest human of all time?	Who is the tallest person?
http://qawiki.org/entity/Q425	Which countries border Chile?	Which countries does Chile border?
http://qawiki.org/entity/Q425	Which countries border Chile?	Which countries neighbor Chile?
http://qawiki.org/entity/Q425	Which countries border Chile?	Which countries share a border with Chile?
http://qawiki.org/entity/Q425	Which countries border Chile?	With which countries does Chile share a border?
http://qawiki.org/entity/Q426	What is the fastest automobile model?	Which car model is the fastest?
http://qawiki.org/entity/Q427	When was the FIFA 2018 World Cup final?	On what date was the 2018 FIFA World Cup final held?
http://qawiki.org/entity/Q428	Which foods contain carrot?	Which foods are made with carrot?
http://qawiki.org/entity/Q428	Which foods contain carrot?	Which foods have carrot?
http://qawiki.org/entity/Q429	Who was the first president of Chile?	Who is Chile's first president?
http://qawiki.org/entity/Q430	Who has more children: Lionel Messi or Cristiano Ronaldo?	Between Cristiano Ronaldo and Lionel Messi, who has more children?
http://qawiki.org/entity/Q269	Which politicians died from COVID-19?	What politicians have died from the coronavirus?
http://qawiki.org/entity/Q270	What is the tallest mountain in the world outside of Asia?	What is the highest peak on Earth not in Asia?
http://qawiki.org/entity/Q448	Who is Elon Musk's wife?	Who is Musk's wife?
http://qawiki.org/entity/Q448	Who is Elon Musk's wife?	Who is the wife of Elon Musk?
http://qawiki.org/entity/Q449	Does Elon Musk have a wife?	Does Musk have a wife?
http://qawiki.org/entity/Q450	Who is Elon Musk's husband?	Who is Musk's husband?
http://qawiki.org/entity/Q450	Who is Elon Musk's husband?	Who is the husband of Elon Musk?
http://qawiki.org/entity/Q451	Does Elon Musk have a husband?	Does Musk have a husband?
http://qawiki.org/entity/Q452	Who are Elon Musk's ex-spouses?	Who are Elon Musk's past spouses?
http://qawiki.org/entity/Q452	Who are Elon Musk's ex-spouses?	Who has divorced Elon Musk?
http://qawiki.org/entity/Q452	Who are Elon Musk's ex-spouses?	Who has Musk divorced?
http://qawiki.org/entity/Q452	Who are Elon Musk's ex-spouses?	Who was Elon Musk married to?
http://qawiki.org/entity/Q453	Does Elon Musk have an ex-spouse?	Does Elon Musk have a past spouse?
http://qawiki.org/entity/Q453	Does Elon Musk have an ex-spouse?	Has anyone divorced Elon Musk?
http://qawiki.org/entity/Q453	Does Elon Musk have an ex-spouse?	Has Elon Musk divorced anyone?
http://qawiki.org/entity/Q454	Which death row prisoners had pizza as their last meal?	Which executed inmates had pizza for their last meal?
http://qawiki.org/entity/Q455	Which Turing Award winners were born in Latin America?	Which Turing Award winner was born in Latin America?
http://qawiki.org/entity/Q455	Which Turing Award winners were born in Latin America?	Which winner of the Turing Award was born in Latin America?
http://qawiki.org/entity/Q456	How far is Angoche from Besalampy?	What is the distance between Angoche and Besalampy?
http://qawiki.org/entity/Q456	How far is Angoche from Besalampy?	What is the distance between Besalampy and Angoche?
http://qawiki.org/entity/Q456	How far is Angoche from Besalampy?	What is the distance from Besalampy to Angoche?
http://qawiki.org/entity/Q460	How much area does the Taj Mahal occupy?	How large is the grounds of the Taj Mahal?
http://qawiki.org/entity/Q460	How much area does the Taj Mahal occupy?	How much land does the Taj Mahal occupy?
http://qawiki.org/entity/Q460	How much area does the Taj Mahal occupy?	What is the area of the Taj Mahal?
http://qawiki.org/entity/Q461	Who are the editors-in-chief of EMMA?	Who are EMMA's editors-in-chief?
http://qawiki.org/entity/Q461	Who are the editors-in-chief of EMMA?	Who are the editors in chief of EMMA?
http://qawiki.org/entity/Q199	Who supervised the PhD of Alan Turing?	Who was the PhD advisor of Alan Turing?
http://qawiki.org/entity/Q199	Who supervised the PhD of Alan Turing?	Who was Turing's doctoral supervisor?
http://qawiki.org/entity/Q200	Which movies directed by Chloé Zhao are not MPAA-rated R?	Which films not rated R did Chloe Zhao direct?
http://qawiki.org/entity/Q201	Who is the Hindu deity of knowledge?	Who is the god of knowledge in Hinduism?
http://qawiki.org/entity/Q201	Who is the Hindu deity of knowledge?	Who is the Hindu goddess of knowledge?
http://qawiki.org/entity/Q202	Which science fiction movies star Uma Thurman?	In what sci fi films has Uma Thurman acted?
http://qawiki.org/entity/Q202	Which science fiction movies star Uma Thurman?	Which sci fi movies star Uma Thurman?
http://qawiki.org/entity/Q203	Which relational database management systems are open source?	What open source relational database engines are there?
http://qawiki.org/entity/Q203	Which relational database management systems are open source?	What RDBMS are open source?
http://qawiki.org/entity/Q204	Which countries were dissolved in the 1990s?	What countries ended in the 90s?
http://qawiki.org/entity/Q204	Which countries were dissolved in the 1990s?	Which sovereign states ended in the nineties?
http://qawiki.org/entity/Q205	How many children does Stephen Hawking have?	How many children did Stephen Hawking have?
http://qawiki.org/entity/Q206	Which movies were filmed in Yemen?	What films used locations in Yemen?
http://qawiki.org/entity/Q206	Which movies were filmed in Yemen?	Which films were shot in Yemen?
http://qawiki.org/entity/Q207	Which actors are Scientologists?	What actors are followers of Scientology?
http://qawiki.org/entity/Q207	Which actors are Scientologists?	Which Scientologists are actors?
http://qawiki.org/entity/Q208	Which dog breeds originated in China?	What canine breeds come from China?
http://qawiki.org/entity/Q208	Which dog breeds originated in China?	Which breeds of dog are Chinese?
http://qawiki.org/entity/Q209	How far away is IRAS 14038-3450 from Earth?	How distant is IRAS 14038-3450?
http://qawiki.org/entity/Q209	How far away is IRAS 14038-3450 from Earth?	What is the distance to IRAS 14038-3450?
http://qawiki.org/entity/Q210	On what date is Martin Luther King Jr. Day?	When is MLK Day?
http://qawiki.org/entity/Q210	On what date is Martin Luther King Jr. Day?	When is the Martin Luther King holiday?
http://qawiki.org/entity/Q211	How tall is Lana del Rey?	How small is Lana del Rey?
http://qawiki.org/entity/Q211	How tall is Lana del Rey?	What height is Lana del Rey?
http://qawiki.org/entity/Q211	How tall is Lana del Rey?	What is Elizabeth Grant's height?
http://qawiki.org/entity/Q246	How long is Ikiru?	What duration is Ikiru?
http://qawiki.org/entity/Q247	Where did the 2014 United Nations Climate Change Conference take place?	What was the location for COP20?
http://qawiki.org/entity/Q247	Where did the 2014 United Nations Climate Change Conference take place?	What was the venue for COP20?
http://qawiki.org/entity/Q247	Where did the 2014 United Nations Climate Change Conference take place?	Where was the 2014 UN Climate Change Conference held?
http://qawiki.org/entity/Q248	Does the U.S. have a president?	Does the U.S. have a presidency?
http://qawiki.org/entity/Q248	Does the U.S. have a president?	Does the United States of America have a president?
http://qawiki.org/entity/Q248	Does the U.S. have a president?	Is the head of state of the U.S. a president?
http://qawiki.org/entity/Q249	Who was the youngest president of the U.S.?	Who was the youngest American president?
http://qawiki.org/entity/Q249	Who was the youngest president of the U.S.?	Who was the youngest U.S. president?
http://qawiki.org/entity/Q251	Who was the oldest president of the U.S. to take office?	Who was the oldest American president to be inaugurated?
http://qawiki.org/entity/Q251	Who was the oldest president of the U.S. to take office?	Who was the oldest president of the U.S. at inauguration?
http://qawiki.org/entity/Q252	Who was the oldest president of the U.S. in office?	Who was the oldest American president during office?
http://qawiki.org/entity/Q252	Who was the oldest president of the U.S. in office?	Who was the oldest president of the United States during office?
http://qawiki.org/entity/Q253	When was the Tunguska event?	When did the Tunguska explosion happen?
http://qawiki.org/entity/Q253	When was the Tunguska event?	When did the Tunguska incident take place?
http://qawiki.org/entity/Q254	Who was the U.S. president in 1984?	Who was president of the U.S. in 1984?
http://qawiki.org/entity/Q254	Who was the U.S. president in 1984?	Who was the American president in the year 1984?
http://qawiki.org/entity/Q255	Who was the U.S. president during the Haditha massacre?	Who was the American president at the time of the Haditha incident?
http://qawiki.org/entity/Q255	Who was the U.S. president during the Haditha massacre?	Who was the president of the U.S. when the Haditha killings happened?
http://qawiki.org/entity/Q256	Who is the richest person from Indonesia?	Which Indonesian has the highest net worth?
http://qawiki.org/entity/Q256	Who is the richest person from Indonesia?	Who is the wealthiest Indonesian?
http://qawiki.org/entity/Q257	Which desserts contain cinnamon?	What desserts use cinnamon?
http://qawiki.org/entity/Q257	Which desserts contain cinnamon?	Which desserts are made with cinnamon?
http://qawiki.org/entity/Q297	What weapons were used in which mass shootings?	What guns were used in which mass shootings?
http://qawiki.org/entity/Q298	Which Indian movie has the highest box office?	What is the highest grossing Indian movie?
http://qawiki.org/entity/Q298	Which Indian movie has the highest box office?	Which Indian film has the largest box office?
http://qawiki.org/entity/Q299	Which banks operate in Algeria?	List Algerian banks
http://qawiki.org/entity/Q299	Which banks operate in Algeria?	What banks are in Algeria?
http://qawiki.org/entity/Q300	Which genus has the most species?	What genus has the highest number of species?
http://qawiki.org/entity/Q301	Which record label released Kid A?	Under what record label was Kid A released?
http://qawiki.org/entity/Q301	Which record label released Kid A?	What record label published Kid A?
http://qawiki.org/entity/Q302	What cities are twinned with Port-au-Prince?	With which cities is Port-au-Prince twinned?
http://qawiki.org/entity/Q303	Which album followed Another Green World?	Which Brian Eno album came after Another Green World?
http://qawiki.org/entity/Q304	Which album did Another Green World follow?	What Brian Eno album came before Another Green World?
http://qawiki.org/entity/Q305	Who was first to climb Ľadový štít?	Who made the first ascent of Ľadový štít?
http://qawiki.org/entity/Q305	Who was first to climb Ľadový štít?	Who summited Ľadový štít first?
http://qawiki.org/entity/Q306	What color is a starfruit?	What color are starfruits?
http://qawiki.org/entity/Q306	What color is a starfruit?	What is the color of starfruits?
http://qawiki.org/entity/Q307	What proteins are found in dendrites?	Dendrites contain what proteins?
http://qawiki.org/entity/Q307	What proteins are found in dendrites?	What proteins form dendrites?
http://qawiki.org/entity/Q308	Who are the developers of SPSS?	What company developed SPSS?
http://qawiki.org/entity/Q308	Who are the developers of SPSS?	Who develops SPSS?
http://qawiki.org/entity/Q309	What team sports use sticks?	In which sports do teams use sticks?
http://qawiki.org/entity/Q309	What team sports use sticks?	What team sports involve sticks?
http://qawiki.org/entity/Q310	Which Latin American country has the highest Human Development Index?	What country in Latin America has the highest Human Development Index?
http://qawiki.org/entity/Q258	What is the litter size of a border collie?	How many offspring do border collies give birth to on average?
http://qawiki.org/entity/Q258	What is the litter size of a border collie?	How many pups do border collies give birth to on average?
http://qawiki.org/entity/Q259	Which movies are based on works written by Philip K. Dick?	What films adapt the writing of Philip K. Dick?
http://qawiki.org/entity/Q259	Which movies are based on works written by Philip K. Dick?	What films are based on stories written by Philip K. Dick?
http://qawiki.org/entity/Q261	How far is Alpha Centauri from Earth?	How distant is Alpha Centauri?
http://qawiki.org/entity/Q261	How far is Alpha Centauri from Earth?	What is the distance to Alpha Centauri?
http://qawiki.org/entity/Q262	What currency does Angola use?	What is the currency of Angola?
http://qawiki.org/entity/Q262	What currency does Angola use?	What money does Angola use?
http://qawiki.org/entity/Q263	What was the last movie that Chadwick Boseman starred in?	What is the latest movie that Chadwick Boseman acted in?
http://qawiki.org/entity/Q263	What was the last movie that Chadwick Boseman starred in?	What was Chadwick Boseman's last film?
http://qawiki.org/entity/Q264	What papers did Amrapali Zaveri publish?	What papers has Amrapali Zaveri published?
http://qawiki.org/entity/Q264	What papers did Amrapali Zaveri publish?	What publications does Amrapali Zaveri have?
http://qawiki.org/entity/Q266	What is the longest movie directed by Jane Campion?	What is the longest film Jane Campion has directed?
http://qawiki.org/entity/Q266	What is the longest movie directed by Jane Campion?	Which movie directed by Campion is the longest?
http://qawiki.org/entity/Q268	What is the last line of Animal Farm?	What is the closing sentence of Animal Farm?
http://qawiki.org/entity/Q268	What is the last line of Animal Farm?	What is the final line of Animal Farm?
http://qawiki.org/entity/Q535	Which songs from The Smiths have been covered and by whom?	Which Smiths songs have a cover and who covered them?
http://qawiki.org/entity/Q535	Which songs from The Smiths have been covered and by whom?	Which Smiths songs have been covered and who covered them?
http://qawiki.org/entity/Q536	Which songs have The Smiths covered and by whom?	Which songs have The Smiths covered and who are they originally by?
http://qawiki.org/entity/Q537	Which drugs for treating atrial fibrillation are contraindicated in patients taking lovastatin?	Which medications for treating atrial fibrillation are contraindicated in people who take lovastatin?
http://qawiki.org/entity/Q538	On what date is Saint Patrick's Day?	What is the date of St. Patrick's Day?
http://qawiki.org/entity/Q538	On what date is Saint Patrick's Day?	When is Saint Patrick's Day?
http://qawiki.org/entity/Q539	On what date is the feast day of Saint Joan of Arc?	When is the feast day of Joan of Arc?
http://qawiki.org/entity/Q539	On what date is the feast day of Saint Joan of Arc?	When is the feast day of St. Joan of Arc?
http://qawiki.org/entity/Q540	Which saints have their feast day on June 15th?	What saints have their feast day on the 15th of June?
http://qawiki.org/entity/Q540	Which saints have their feast day on June 15th?	Which saints' feast day falls on June 15th?
http://qawiki.org/entity/Q541	On what date is Desmond Tutu's birthday?	When is Desmond Tutu's birthday?
http://qawiki.org/entity/Q542	Which saints have their feast day on Desmond Tutu's birthday?	What saints have their feast day on Desmond Tutu's birthday?
http://qawiki.org/entity/Q542	Which saints have their feast day on Desmond Tutu's birthday?	Which saints' feast day falls on the birthday of Desmond Tutu?
http://qawiki.org/entity/Q543	Which saints died by crucifixion?	Which saints were crucified?
http://qawiki.org/entity/Q544	Who was the last saint to die by crucifixion?	Who was the last saint to be crucified?
http://qawiki.org/entity/Q545	Who was the architect of the Tsentrosoyuz Building?	Who was the architect of the Centrosoyuz Building?
http://qawiki.org/entity/Q546	Which buildings combine funcionalism and brutalism?	What buildings are brutalist and functionalist?
http://qawiki.org/entity/Q546	Which buildings combine funcionalism and brutalism?	What buildings combine brutalism and funcionalism?
http://qawiki.org/entity/Q546	Which buildings combine funcionalism and brutalism?	Which buildings are functionalist and brutalist?
http://qawiki.org/entity/Q547	Which buildings are brutalist?	Which buildings exemplify brutalism?
http://qawiki.org/entity/Q548	Which buildings are funcionalist?	Which buildings exemplify funcionalism?
http://qawiki.org/entity/Q549	What other buildings have the same architect as the Tsentrosoyuz Building?	What other buildings were by the same architect as the Tsentrosoyuz Building?
http://qawiki.org/entity/Q549	What other buildings have the same architect as the Tsentrosoyuz Building?	Which other buildings were architected by the architect of the Tsentrosoyuz Building?
http://qawiki.org/entity/Q550	What other functionalist buildings have the same architect as the Tsentrosoyuz Building?	What other functionalist buildings were by the same architect as the Tsentrosoyuz Building?
http://qawiki.org/entity/Q550	What other functionalist buildings have the same architect as the Tsentrosoyuz Building?	Which other functionalist buildings were architected by the architect of the Tsentrosoyuz Building?
http://qawiki.org/entity/Q461	Who are the editors-in-chief of EMMA?	Who is the editor in chief of EMMA?
http://qawiki.org/entity/Q461	Who are the editors-in-chief of EMMA?	Who is the editor-in-chief of EMMA?
http://qawiki.org/entity/Q462	Who are the editors of EMMA?	Who is the editor of EMMA?
http://qawiki.org/entity/Q463	What distance is a marathon?	How long is a marathon?
http://qawiki.org/entity/Q464	Are dolphins mammals?	Is a dolphin a mammal?
http://qawiki.org/entity/Q465	Which Ethiopian political parties started since 2000?	Which political parties have emerged in Ethiopia since 2000?
http://qawiki.org/entity/Q465	Which Ethiopian political parties started since 2000?	Which political parties have emerged since 2000 in Ethiopia?
http://qawiki.org/entity/Q466	Which Ethiopian political parties ended since 2000?	Which political parties have dissolved in Ethiopia since 2000?
http://qawiki.org/entity/Q466	Which Ethiopian political parties ended since 2000?	Which political parties have dissolved since 2000 in Ethiopia?
http://qawiki.org/entity/Q467	Where was Phobos discovered?	Where was Phobos first observed?
http://qawiki.org/entity/Q470	Which guitarists are also drummers?	Which dummers are also guitarists?
http://qawiki.org/entity/Q471	Who is the rector of the University of Lucerne?	Who is the rector of the Universität Luzern?
http://qawiki.org/entity/Q472	Which Asian universities have female rectors?	What universities in Asia have female rectors?
http://qawiki.org/entity/Q473	In which journals has Amrapali Zaveri published?	In what journals has Amrapali Zaveri published?
http://qawiki.org/entity/Q473	In which journals has Amrapali Zaveri published?	What journals has Amrapali Zaveri published in?
http://qawiki.org/entity/Q474	In which journals has Amrapali Zaveri published as first author?	In what journals has Amrapali Zaveri published as first author?
http://qawiki.org/entity/Q474	In which journals has Amrapali Zaveri published as first author?	What journals has Amrapali Zaveri published in as first author?
http://qawiki.org/entity/Q475	What papers did Amrapali Zaveri publish as first author?	What first author publications does Amrapali Zaveri have?
http://qawiki.org/entity/Q475	What papers did Amrapali Zaveri publish as first author?	What papers has Amrapali Zaveri published as first author?
