dataset	source_id	question_id	question	gold_answer	confidence	agreeing_models	available_models	selected_from
qawiki	5	Q4	Kim Deal played with Black Francis in which bands?	"[""Pixies""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	8	Q1	List the top 10 largest countries in Africa by area.	"[""Algeria"", ""Democratic Republic of the Congo"", ""Sudan"", ""Libya"", ""Chad"", ""Niger"", ""Angola"", ""Mali"", ""South Africa"", ""Ethiopia""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	8	Q2	What are the ten most expansive African countries?	"[""Algeria"", ""Democratic Republic of the Congo"", ""Sudan"", ""Libya"", ""Chad"", ""Niger"", ""Angola"", ""Mali"", ""South Africa"", ""Ethiopia""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	8	Q3	What is the largest country in Africa by area?	"[""Algeria""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
qawiki	8	Q4	List the second to tenth largest countries in Africa by area.	"[""Democratic Republic of the Congo"", ""Sudan"", ""Libya"", ""Chad"", ""Niger"", ""Angola"", ""Mali"", ""South Africa"", ""Ethiopia""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	9	Q1	List the ten largest countries in Africa based on population as of today.	"[""Nigeria"", ""Ethiopia"", ""Egypt"", ""Democratic Republic of the Congo"", ""Tanzania"", ""South Africa"", ""Kenya"", ""Uganda"", ""Sudan"", ""Algeria""]"	3	GPT-5,GPT-5-mini,DeepSeek-R	4	GPT-5
qawiki	9	Q2	What are the ten most populous African countries currently?	"[""Nigeria"", ""Ethiopia"", ""Egypt"", ""Democratic Republic of the Congo"", ""Tanzania"", ""South Africa"", ""Kenya"", ""Uganda"", ""Sudan"", ""Algeria""]"	3	GPT-5,GPT-5-mini,DeepSeek-R	4	GPT-5
qawiki	9	Q3	Which country in Africa currently has the largest population?	"[""Nigeria""]"	3	GPT-5,GPT-5-mini,DeepSeek-R	4	GPT-5
qawiki	9	Q4	List the African countries ranked second to tenth in terms of population today.	"[""Ethiopia"", ""Egypt"", ""Democratic Republic of the Congo"", ""Tanzania"", ""South Africa"", ""Kenya"", ""Uganda"", ""Sudan"", ""Algeria""]"	3	GPT-5,GPT-5-mini,DeepSeek-R	4	GPT-5
qawiki	11	Q1	What are the official languages of the European Union?	"[""Bulgarian"", ""Croatian"", ""Czech"", ""Danish"", ""Dutch"", ""English"", ""Estonian"", ""Finnish"", ""French"", ""German"", ""Greek"", ""Hungarian"", ""Irish"", ""Italian"", ""Latvian"", ""Lithuanian"", ""Maltese"", ""Polish"", ""Portuguese"", ""Romanian"", ""Slovak"", ""Slovenian"", ""Spanish"", ""Swedish""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	11	Q2	What are the official languages of the EU?	"[""Bulgarian"", ""Croatian"", ""Czech"", ""Danish"", ""Dutch"", ""English"", ""Estonian"", ""Finnish"", ""French"", ""German"", ""Greek"", ""Hungarian"", ""Irish"", ""Italian"", ""Latvian"", ""Lithuanian"", ""Maltese"", ""Polish"", ""Portuguese"", ""Romanian"", ""Slovak"", ""Slovenian"", ""Spanish"", ""Swedish""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	11	Q3	Which official languages of the European Union are not Indo-European?	"[""Estonian"", ""Finnish"", ""Hungarian"", ""Maltese""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	11	Q4	Which official languages of the European Union are Indo-European?	"[""Bulgarian"", ""Croatian"", ""Czech"", ""Danish"", ""Dutch"", ""English"", ""French"", ""German"", ""Greek"", ""Irish"", ""Italian"", ""Latvian"", ""Lithuanian"", ""Polish"", ""Portuguese"", ""Romanian"", ""Slovak"", ""Slovenian"", ""Spanish"", ""Swedish""]"	3	GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-o3
qawiki	14	Q1	What binary neutron stars are in the constellation Scorpius?	[]	3	GPT-o3,Gemini-2.5-pro,DeepSeek-R	3	GPT-o3
qawiki	14	Q2	What binary neutron stars are found in Scorpius?	[]	3	GPT-o3,Gemini-2.5-pro,DeepSeek-R	3	GPT-o3
qawiki	14	Q3	What binary neutron stars in the constellation Scorpius have exoplanets orbiting them?	[]	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	14	Q4	What binary neutron stars in the constellation Scorpius do not have exoplanets orbiting them?	[]	2	Gemini-2.5-pro,DeepSeek-R	3	Gemini-2.5-pro
qawiki	19	Q1	What colors are in the French flag?	"[""blue"", ""white"", ""red""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	19	Q2	What are the colours of the flag of France?	"[""blue"", ""white"", ""red""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	19	Q3	What colors are in both the French flag and the Italian flag?	"[""red"", ""white""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	19	Q4	What colors are in the French flag but not the Italian flag?	"[""blue""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	21	Q1	What countries are in the EU?	"[""Austria"", ""Belgium"", ""Bulgaria"", ""Croatia"", ""Cyprus"", ""Czech Republic"", ""Denmark"", ""Estonia"", ""Finland"", ""France"", ""Germany"", ""Greece"", ""Hungary"", ""Ireland"", ""Italy"", ""Latvia"", ""Lithuania"", ""Luxembourg"", ""Malta"", ""Netherlands"", ""Poland"", ""Portugal"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Spain"", ""Sweden""]"	3	GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5-mini
qawiki	21	Q2	List all European Union countries	"[""Austria"", ""Belgium"", ""Bulgaria"", ""Croatia"", ""Cyprus"", ""Czech Republic"", ""Denmark"", ""Estonia"", ""Finland"", ""France"", ""Germany"", ""Greece"", ""Hungary"", ""Ireland"", ""Italy"", ""Latvia"", ""Lithuania"", ""Luxembourg"", ""Malta"", ""Netherlands"", ""Poland"", ""Portugal"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Spain"", ""Sweden""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	21	Q3	What countries are EU Founding Members?	"[""Belgium"", ""France"", ""Germany"", ""Italy"", ""Luxembourg"", ""Netherlands""]"	3	GPT-5,GPT-o3,DeepSeek-R	5	GPT-5
qawiki	21	Q4	What countries are in the EU but are not founding members?	"[""Austria"", ""Bulgaria"", ""Croatia"", ""Cyprus"", ""Czech Republic"", ""Denmark"", ""Estonia"", ""Finland"", ""Greece"", ""Hungary"", ""Ireland"", ""Latvia"", ""Lithuania"", ""Malta"", ""Poland"", ""Portugal"", ""Romania"", ""Slovakia"", ""Slovenia"", ""Spain"", ""Sweden""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	30	Q1	What languages did Kofi Annan speak?	"[""English"", ""French"", ""Akan""]"	1	GPT-5	4	GPT-5
qawiki	30	Q2	What languages did Kofi Annan know?	"[""English"", ""French"", ""Akan""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	5	GPT-5
qawiki	30	Q3	What languages indigenous to Ghana did Kofi Annan speak?	"[""Akan""]"	2	GPT-5,GPT-o3	5	GPT-5
qawiki	30	Q4	What languages not indigenous to Ghana did Kofi Annan speak?	"[""English"", ""French""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	31	Q1	What montes form the Tharsis Montes?	"[""Ascraeus Mons"", ""Pavonis Mons"", ""Arsia Mons""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	31	Q2	List the Tharsis Montes	"[""Ascraeus Mons"", ""Pavonis Mons"", ""Arsia Mons""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	31	Q3	Which montes form Tharsis Montes are taller than 10000 metres?	"[""Ascraeus Mons"", ""Pavonis Mons"", ""Arsia Mons""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	4	GPT-5
qawiki	31	Q4	Which montes in the Tharsis Montes are not taller than 1000 metres?	[]	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	34	Q1	What novels were written by Harper Lee?	"[""To Kill a Mockingbird"", ""Go Set a Watchman""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	34	Q2	What novels are by Harper Lee?	"[""To Kill a Mockingbird"", ""Go Set a Watchman""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	34	Q3	What novels written by Harper Lee were adapted into movies?	"[""To Kill a Mockingbird""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	34	Q4	What novels written by Harper Lee were not adapted into movies?	"[""Go Set a Watchman""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	35	Q1	What officially recognized dwarf planets orbit the Sun?	"[""Ceres"", ""Pluto"", ""Eris"", ""Haumea"", ""Makemake""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	35	Q2	What dwarf planets are confirmed to orbit the Sun?	"[""Ceres"", ""Pluto"", ""Eris"", ""Haumea"", ""Makemake""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	35	Q3	What officially recognized dwarf planets orbit the Sun and have a moon?	"[""Pluto"", ""Eris"", ""Haumea"", ""Makemake""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	35	Q4	What officially recognized dwarf planets orbit the Sun but do not have a moon?	"[""Ceres""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	72	Q1	Which countries are in the Balkan region?	"[""Albania"", ""Bosnia and Herzegovina"", ""Bulgaria"", ""Croatia"", ""Greece"", ""Kosovo"", ""Montenegro"", ""North Macedonia"", ""Romania"", ""Serbia"", ""Slovenia"", ""Turkey""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	72	Q2	What are Balkan countries?	"[""Albania"", ""Bosnia and Herzegovina"", ""Bulgaria"", ""Croatia"", ""Greece"", ""Kosovo"", ""Montenegro"", ""North Macedonia"", ""Romania"", ""Serbia"", ""Slovenia"", ""Turkey""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	72	Q3	Which European Union countries are in the Balkan region?	"[""Bulgaria"", ""Croatia"", ""Greece"", ""Romania"", ""Slovenia""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	72	Q4	Which non-European Union countries are in the Balkan region?	"[""Albania"", ""Bosnia and Herzegovina"", ""Kosovo"", ""Montenegro"", ""North Macedonia"", ""Serbia"", ""Turkey""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	75	Q1	Which countries border South Sudan?	"[""Sudan"", ""Ethiopia"", ""Kenya"", ""Uganda"", ""Democratic Republic of the Congo"", ""Central African Republic""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	75	Q2	Which countries does South Sudan border?	"[""Sudan"", ""Ethiopia"", ""Kenya"", ""Uganda"", ""Democratic Republic of the Congo"", ""Central African Republic""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	75	Q3	What country that borders South Sudan borders the most countries?	"[""Democratic Republic of the Congo""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	75	Q4	What countries border South Sudan excluding that which borders the most countries?	"[""Central African Republic"", ""Ethiopia"", ""Kenya"", ""Sudan"", ""Uganda""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	82	Q1	Which countries have won a Cricket World Cup?	"[""Australia"", ""England"", ""India"", ""Pakistan"", ""Sri Lanka"", ""West Indies""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	82	Q2	Which countries have won a World Cup in Cricket?	"[""Australia"", ""England"", ""India"", ""Pakistan"", ""Sri Lanka"", ""West Indies""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	82	Q3	Which countries in Asia have won a Cricket World Cup?	"[""India"", ""Pakistan"", ""Sri Lanka""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
qawiki	82	Q4	Which countries outside of Asia have won a Cricket World Cup?	"[""Australia"", ""England"", ""West Indies""]"	4	GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-o3
qawiki	83	Q1	Which countries have won a FIFA World Cup?	"[""Argentina"", ""Brazil"", ""England"", ""France"", ""Germany"", ""Italy"", ""Spain"", ""Uruguay""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	5	GPT-5
qawiki	83	Q2	List all countries that won a FIFA World Cup	"[""Uruguay"", ""Italy"", ""Germany"", ""Brazil"", ""England"", ""Argentina"", ""France"", ""Spain""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	83	Q3	Which countries in Europe have won a FIFA World Cup?	"[""Italy"", ""Germany"", ""France"", ""England"", ""Spain""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	83	Q4	Which non-European countries have won a FIFA World Cup?	"[""Brazil"", ""Argentina"", ""Uruguay""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	84	Q1	Which countries have won a Rugby World Cup?	"[""New Zealand"", ""Australia"", ""South Africa"", ""England""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	84	Q2	Give me all countries that have won a Rugby World Cup	"[""New Zealand"", ""Australia"", ""South Africa"", ""England""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	84	Q3	Which primarily southern-hemisphere countries have won a Rugby World Cup?	"[""New Zealand"", ""Australia"", ""South Africa""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	84	Q4	Which primarily northern-hemisphere countries have won a Rugby World Cup?	"[""England""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
qawiki	87	Q1	Which countries were dissolved in the 1990s?	"[""German Democratic Republic"", ""Yemen Arab Republic"", ""People's Democratic Republic of Yemen"", ""Union of Soviet Socialist Republics"", ""Socialist Federal Republic of Yugoslavia"", ""Czechoslovakia""]"	2	GPT-o3,GPT-5-mini	5	GPT-o3
qawiki	87	Q2	What countries ended in the 90s?	"[""German Democratic Republic"", ""Yemen Arab Republic"", ""People's Democratic Republic of Yemen"", ""Union of Soviet Socialist Republics"", ""Socialist Federal Republic of Yugoslavia"", ""Czechoslovakia""]"	1	GPT-5	5	GPT-5
qawiki	87	Q3	Which European countries were dissolved in the 1990s?	"[""Union of Soviet Socialist Republics"", ""Socialist Federal Republic of Yugoslavia"", ""Czechoslovakia"", ""German Democratic Republic""]"	3	GPT-5,GPT-o3,GPT-5-mini	5	GPT-5
qawiki	87	Q4	Which non-European countries were dissolved in the 1990s?	"[""Yemen Arab Republic"", ""People's Democratic Republic of Yemen""]"	2	GPT-5,GPT-o3	5	GPT-5
qawiki	92	Q1	Which drugs for treating atrial fibrillation are contraindicated in patients taking lovastatin?	[]	3	GPT-5,GPT-o3,Gemini-2.5-pro	4	GPT-5
qawiki	92	Q2	Which medications for treating atrial fibrillation are contraindicated in people who take lovastatin?	[]	2	GPT-5,GPT-o3	4	GPT-5
qawiki	92	Q3	Which antiarrhythmic drugs for atrial fibrillation are contraindicated in patients taking lovastatin?	[]	2	GPT-5,GPT-o3	4	GPT-5
qawiki	92	Q4	Which non-antiarrhythmic drugs for atrial fibrillation are contraindicated in patients taking lovastatin?	[]	3	GPT-5,Gemini-2.5-pro,DeepSeek-R	4	GPT-5
qawiki	115	Q1	Which Pokémon are fire and bug types?	"[""Larvesta"", ""Volcarona"", ""Sizzlipede"", ""Centiskorch""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	115	Q2	Which Pokémon are bug and fire types?	"[""Larvesta"", ""Volcarona"", ""Sizzlipede"", ""Centiskorch""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	115	Q3	Which Generation VIII Pokémon are fire and bug types?	"[""Sizzlipede"", ""Centiskorch""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	115	Q4	Which fire and bug type Pokémon are from generations other than Generation VIII?	"[""Larvesta"", ""Volcarona""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	116	Q1	Which political parties was Abraham Lincoln a member of?	"[""Whig Party"", ""Republican Party"", ""National Union Party""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	116	Q2	Abe Lincoln was a member of which political parties?	"[""Whig Party"", ""Republican Party"", ""National Union Party""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	116	Q3	Which political parties that Abraham Lincoln was a member of still exist today?	"[""Republican Party""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	116	Q4	Which political parties that Abraham Lincoln was a member of no longer exist?	"[""Whig Party"", ""National Union Party""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	117	Q1	Which polygonal numbers less than 100 are also pronic?	"[""6"", ""12"", ""20"", ""30"", ""42"", ""56"", ""72"", ""90""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	117	Q2	What numbers less than 100 are both pronic and polygonal?	"[""6"", ""12"", ""20"", ""30"", ""42"", ""56"", ""72"", ""90""]"	4	GPT-5,GPT-o3,GPT-5-mini,DeepSeek-R	5	GPT-5
qawiki	117	Q3	Which polygonal numbers less than or equals 40 are also pronic?	"[""6"", ""12"", ""20"", ""30""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	117	Q4	Which polygonal numbers greater than 40 but less than 100 are also pronic?	"[""42"", ""56"", ""72"", ""90""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	138	Q1	Which video games have won the award of Best Esports Game of the Year at The Game Awards?	"[""Counter-Strike: Global Offensive"", ""Overwatch"", ""League of Legends"", ""Valorant""]"	2	GPT-5,Gemini-2.5-pro	4	GPT-5
qawiki	138	Q2	Which games have been awarded the Best Esports Game of the Year?	"[""Counter-Strike: Global Offensive"", ""Overwatch"", ""League of Legends"", ""Valorant""]"	1	GPT-o3	3	GPT-o3
qawiki	138	Q3	Which video games that have won the award of Best Esports Game of the Year at The Game Awards have a sequel?	"[""Overwatch"", ""Counter-Strike: Global Offensive""]"	2	GPT-5,Gemini-2.5-pro	4	GPT-5
qawiki	138	Q4	Which video games that have won the award of Best Esports Game of the Year at The Game Awards do not have a sequel?	"[""League of Legends"", ""Valorant""]"	2	GPT-5,GPT-o3	4	GPT-5
qawiki	142	Q1	Who are Elon Musk's ex-spouses?	"[""Justine Musk"", ""Talulah Riley""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
qawiki	142	Q2	Who are Elon Musk's past spouses?	"[""Justine Musk"", ""Talulah Riley""]"	3	GPT-5,GPT-o3,GPT-5-mini	5	GPT-5
qawiki	142	Q3	Which of Elon Musk's ex-spouses were married to him multiple times?	"[""Talulah Riley""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
qawiki	142	Q4	Which of Elon Musk's ex-spouses were married to him only once?	"[""Justine Musk""]"	3	GPT-5,GPT-o3,GPT-5-mini	5	GPT-5
spinach	1	Q1	Give me all current communist countries.	"[""People's Republic of China"", ""Republic of Cuba"", ""Lao People's Democratic Republic"", ""Socialist Republic of Vietnam"", ""Democratic People's Republic of Korea""]"	2	GPT-5,GPT-5-mini	5	GPT-5
spinach	1	Q2	Which countries currently have communist governments?	"[""People's Republic of China"", ""Republic of Cuba"", ""Lao People's Democratic Republic"", ""Socialist Republic of Vietnam"", ""Democratic People's Republic of Korea""]"	3	GPT-5,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	1	Q3	Give me all the communist countries currently existing in Asia.	"[""People's Republic of China"", ""Socialist Republic of Vietnam"", ""Lao People's Democratic Republic"", ""Democratic People's Republic of Korea""]"	3	GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5-mini
spinach	1	Q4	List all countries that are currently communist outside of Asia.	"[""Republic of Cuba""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	8	Q1	Through which countries does the Danube flow?	"[""Germany"", ""Austria"", ""Slovakia"", ""Hungary"", ""Croatia"", ""Serbia"", ""Romania"", ""Bulgaria"", ""Moldova"", ""Ukraine""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	8	Q2	Which countries does the Danube flow through?	"[""Germany"", ""Austria"", ""Slovakia"", ""Hungary"", ""Croatia"", ""Serbia"", ""Romania"", ""Bulgaria"", ""Moldova"", ""Ukraine""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	8	Q3	Through which countries that use Central Europe Time does the Danube flow?	"[""Germany"", ""Austria"", ""Slovakia"", ""Hungary"", ""Croatia"", ""Serbia""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	8	Q4	Through which countries that do not use Central Europe Time does the Danube flow?	"[""Romania"", ""Bulgaria"", ""Moldova"", ""Ukraine""]"	3	GPT-5,GPT-o3,GPT-5-mini	5	GPT-5
spinach	11	Q1	What instruments did Louis Armstrong play?	"[""trumpet"", ""cornet"", ""vocals""]"	2	GPT-5,Gemini-2.5-pro	5	GPT-5
spinach	11	Q2	Which instruments were played by Louis Armstrong?	"[""Trumpet"", ""Cornet"", ""Vocals""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	11	Q3	What brass instruments did Louis Armstrong play?	"[""cornet"", ""trumpet""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	11	Q4	What non-brass instruments did Louis Armstrong play?	"[""vocals""]"	2	GPT-5,Gemini-2.5-pro	4	GPT-5
spinach	12	Q1	What notes make up a C major chord?	"[""C"", ""E"", ""G""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	12	Q2	Which notes comprise a C major chord?	"[""C"", ""E"", ""G""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	12	Q3	What root notes are in a C major chord?	"[""C""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	12	Q4	What non-root notes make up a C major chord?	"[""E"", ""G""]"	4	GPT-5,GPT-o3,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	13	Q1	Who created the OA?	"[""Brit Marling"", ""Zal Batmanglij""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	4	GPT-5
spinach	13	Q2	The OA is created by whom?	"[""Brit Marling"", ""Zal Batmanglij""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	13	Q3	Which creator of The OA also played a cast role in it?	"[""Brit Marling""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	13	Q4	Which creator of The OA did not play a cast role in it?	"[""Zal Batmanglij""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	15	Q1	Which American presidents had fathers who were also American presidents?	"[""John Quincy Adams"", ""George Walker Bush""]"	3	GPT-5,GPT-5-mini,DeepSeek-R	5	GPT-5
spinach	15	Q2	Which U.S. presidents had fathers who were also U.S. presidents?	"[""John Quincy Adams"", ""George Walker Bush""]"	3	GPT-5,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	15	Q3	Which American presidents had fathers who were also American presidents for the same party?	"[""George Walker Bush""]"	4	GPT-5,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	15	Q4	Which American presidents had fathers who were also American presidents but for a different party?	"[""John Quincy Adams""]"	4	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro	5	GPT-5
spinach	16	Q1	To which art movements is the painting “Les Demoiselles d'Avignon” assigned?	"[""Cubism"", ""Proto-Cubism"", ""Primitivism""]"	1	GPT-5	5	GPT-5
spinach	16	Q2	To which art movements does the painting “Les Demoiselles d'Avignon” belong?	"[""Cubism"", ""Proto-Cubism"", ""Primitivism""]"	2	GPT-5,GPT-o3	5	GPT-5
spinach	16	Q3	To which Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?	"[""Cubism"", ""Proto-Cubism""]"	3	GPT-5,GPT-o3,GPT-5-mini	5	GPT-5
spinach	16	Q4	To which non-Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?	"[""Primitivism""]"	1	GPT-5	5	GPT-5
spinach	17	Q1	Which movies belong to the Cornetto trilogy?	"[""Shaun of the Dead"", ""Hot Fuzz"", ""The World's End""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	17	Q2	What are the movies that make up the Cornetto trilogy?	"[""Shaun of the Dead"", ""Hot Fuzz"", ""The World's End""]"	5	GPT-5,GPT-o3,GPT-5-mini,Gemini-2.5-pro,DeepSeek-R	5	GPT-5
spinach	17	Q3	Which movies in the Cornetto trilogy star Lucy Davis?	"[""Shaun of the Dead""]"	3	GPT-5,GPT-o3,Gemini-2.5-pro	4	GPT-5
