index	source_id	Q1	Q2	Q3	Q4	source
133	133	What are the metropolitan cities of South Korea, including special cities?	List all special and metropolitan cities of South Korea.	What are the special metropolitan cities of South Korea?	What are the metropolitan cities of South Korea excluding the special ones?	LC-QuAD
134	134	What reserve currencies held a share above 1% of the worldwide official foreign exchange reserves in 2024?	What currencies accounted for more than 1% of the worldwide official foreign exchange reserves in 2024?	What European currencies held a share above 1% of the worldwide official foreign exchange reserves in 2024?	What non-European currencies held a share above 1% of the worldwide official foreign exchange reserves in 2024?	LC-QuAD
135	135	"What active U.S. newspapers have ""Tribune"" in their name?"	"Which contemporary newspapers in the United States have ""Tribune"" in their title?"	"What active U.S. newspapers have ""Tribune"" and their location in their name?"	"What active U.S. newspapers have ""Tribune"" but not their location in their name?"	LC-QuAD
136	136	Which operas of Giuseppe Verdi debuted at Teatro La Fenice?	Which Verdi operas were premiered at Teatro La Fenice?	Which operas of Giuseppe Verdi based on works by Victor Hugo debuted at Teatro La Fenice?	Which operas of Giuseppe Verdi not based on works by Victor Hugo debuted at Teatro La Fenice?	LC-QuAD
137	137	What are the National Historic Trails of the United States?	What National Historic Trails are found in the U.S.?	What National Historic Trails of the United States are longer than 1000 km?	What National Historic Trails of the United States are 1000 km or shorter?	LC-QuAD
138	138	What cities with a current population over one hundred thousand are located within 100 km of the Caspian Sea?	Which cities, currently with more than 100,000 inhabitants, are situated within 100 km of the Caspian Sea?	What cities with a current population over one hundred thousand are on the coast of the Caspian Sea?	What cities with a current population over one hundred thousand are located within 100 km of the Caspian Sea but are not on its coast?	LC-QuAD
139	139	What are the federal holidays of the United States of America?	What federal holidays does the U.S. observe?	What are the religious federal holidays of the United States of America?	What are the secular federal holidays of the United States of America?	LC-QuAD
140	140	What are the crystal classes?	List all crystal classes.	What crystal classes are in the hexagonal family?	What crystal classes are not in the hexagonal family?	LC-QuAD
141	141	What are the suborders of Coleoptera?	What suborders make up Coleoptera?	What are the extant suborders of Coleoptera?	What are the extinct suborders of Coleoptera?	LC-QuAD
142	142	Who were the crew members of the Enola Gay that dropped an atomic bomb on Hiroshima?	Who were the crew of the Enola Gay for the flight that hit Hiroshima with a nuclear bomb?	Who was the captain of the Enola Gay for the flight that hit Hiroshima with a nuclear bomb?	Who was on the crew of the Enola Gay for the flight that hit Hiroshima with a nuclear bomb aside from the captain?	LC-QuAD
143	143	In which years between 2000 and 2020 (inclusive) did Western Easter Sunday fall in March or April?	Which years between 2000 and 2020, inclusive, had Western Easter Sunday in March or April?	In which years between 2000 and 2020 (inclusive) did Western Easter Sunday fall in March?	In which years between 2000 and 2020 (inclusive) did Western Easter Sunday fall in April?	LC-QuAD
144	144	What are the named islands of Yellowstone National Park?	What named islands are located in Yellowstone National Park?	What islands located in Yellowstone National Park are named after people?	What islands located in Yellowstone National Park are not named after people?	LC-QuAD
145	145	Vancouver has which sister cities?	Which sister cities does Vancouver have?	Which Asian sister cities does Vancouver have?	Which non-Asian sister cities does Vancouver have?	LC-QuAD
146	146	What commanders fought in the North African Campaign?	Which commanders participated in the North African Campaign?	What Axis commanders fought in the North African Campaign?	What Allied commanders fought in the North African Campaign?	LC-QuAD
147	147	What nuclear power plants are currently in France?	How many nuclear power plants has France built to date?	Which nuclear power plants are currently operational in France?	Which decommissioned nuclear power plants have been built in France to date?	LC-QuAD
148	148	Which Cameroonian football players have more than 50 senior caps for their men's or women's national team?	Which Cameroonian footballers have more than 50 appearances for their senior men's and women's national team?	Which Cameroonian football players have more than 50 senior caps for their men's national team?	Which Cameroonian football players have more than 50 senior caps for their women's national team?	LC-QuAD
149	149	Which Pokémon can evolve directly or indirectly from Pichu?	Which Pokémon evolve directly or transitively from Pichu?	Which Pokémon can evolve directly from Pichu?	Which Pokémon can evolve indirectly from Pichu but not directly?	LC-QuAD
150	0	In which countries are tepuis found?	In which countries are tepuis located?	In which Spanish-speaking countries are tepuis found?	In which countries that are not Spanish-speaking are tepuis found?	qawiki
151	1	In which countries is Elon Musk a citizen?	What citizenships does Elon Musk hold?	In which countries is Elon Musk a naturalized citizen?	In which countries is Elon Musk a citizen but not through naturalization?	qawiki
152	2	In which journals has Amrapali Zaveri published?	In what journals has Amrapali Zaveri published?	In which journals has Amrapali Zaveri published as first author?	In which journals has Amrapali Zaveri published but not as first author?	qawiki
153	3	In which movies did Al Pacino and Robert de Niro appear together?	In which films do Pacino and de Niro costar?	In which movies directed by Scorsese did Al Pacino and Robert de Niro appear together?	In which movies not directed by Scorsese did Al Pacino and Robert de Niro appear together?	qawiki
154	4	In which museums can I see paintings by El Greco?	Which museums display artworks by El Greco?	In which national museums can I see paintings by El Greco?	In which non-national museums can I see paintings by El Greco?	qawiki
155	5	Kim Deal played with which bands?	With which music groups did Kim Deal play?	Kim Deal played in which bands without Black Francis?	Kim Deal played with Black Francis in which bands?	qawiki
156	6	List astronauts who completed degrees at MIT.	Which astronauts completed degrees with the Massachusetts Institute of Technology?	List astronauts who completed undergraduate degrees at MIT.	List astronauts who completed graduate degrees at MIT.	qawiki
157	7	List the 10 richest people in the world today	Who are the ten richest people in the world today?	Who is currently the richest person in the world?	List the people who currently occupy second and tenth place in the ranking of the richest people in the world.	qawiki
158	8	List the top 10 largest countries in Africa by area.	What are the ten most expansive African countries?	What is the largest country in Africa by area?	List the second to tenth largest countries in Africa by area.	qawiki
159	9	List the ten largest countries in Africa based on population as of today.	What are the ten most populous African countries currently?	Which country in Africa currently has the largest population?	List the African countries ranked second to tenth in terms of population today.	qawiki
160	10	Which countries are part of the G20?	Who is in the G20?	Which countries are part of the G20?	What members of the G20 are not countries?	qawiki
161	11	What are the official languages of the European Union?	What are the official languages of the EU?	Which official languages of the European Union are not Indo-European?	Which official languages of the European Union are Indo-European?	qawiki
162	12	What are the subsidiaries of Meta Platforms?	What subsidiaries does Meta have?	"What subsidiaries of Meta Platforms contain ""Facebook"" in their name?"	"What subsidiaries of Meta Platforms do not contain ""Facebook"" in their name?"	qawiki
163	13	What are the ten tallest mountains in the world?	List the 10 highest mountains globally	Among the ten tallest mountains in the world, which ones span international borders?	Among the ten tallest mountains in the world, which ones are entirely contained in one country?	qawiki
164	14	What binary neutron stars are in the constellation Scorpius?	What binary neutron stars are found in Scorpius?	What binary neutron stars in the constellation Scorpius have exoplanets orbiting them?	What binary neutron stars in the constellation Scorpius do not have exoplanets orbiting them?	qawiki
165	15	What buildings are named after JFK?	What buildings are named after John F. Kennedy?	What educational buildings are named after JFK?	What buildings other than educational ones are named after JFK?	qawiki
166	16	What chocolate bars are made by Nestlé?	Which chocolate candy bars do Nestle manufacture?	What chocolate bars are made by Nestlé and contain nuts?	What chocolate bars are made by Nestlé and don't contain nuts?	qawiki
167	17	What cities are twinned with Port-au-Prince?	With which cities is Port-au-Prince twinned?	Which North American cities are twinned with Port-au-Prince?	Which cities outside North America are twinned with Port-au-Prince?	qawiki
168	18	What collections outside of Africa exhibit Benin Bronzes?	Which locations not in Africa show Benin Bronzes?	What national museums outside of Africa exhibit Benin Bronzes?	What collections outside of Africa that are not national museums exhibit Benin Bronzes?	qawiki
169	19	What colors are in the French flag?	What are the colours of the flag of France?	What colors are in both the French flag and the Italian flag?	What colors are in the French flag but not the Italian flag?	qawiki
170	20	What countries are in Europe?	List all European countries	What countries are in the Schengen area?	Which European countries are not part of the Schengen area?	qawiki
171	21	What countries are in the EU?	List all European Union countries	What countries are EU Founding Members?	What countries are in the EU but are not founding members?	qawiki
172	22	What countries border Ghana?	What countries are neighbors of Ghana?	What countries that border Ghana have a higher population than Ghana?	What countries that border Ghana have a lower or equal population compared with Ghana?	qawiki
173	23	What diseases are associated with the gene FGF14?	What diseases relate to FGF14?	What diseases affecting pregnancy are associated with the gene FGF14?	What diseases, excluding those affecting pregnancy, are associated with the gene FGF14?	qawiki
174	24	Which documentaries broadcast in the US deal with whaling?	List whaling documentaries broadcast in the US	Which documentaries broadcast in the US on or after 2010 focus on whaling?	Which documentaries broadcast in the US and released before 2010 are about whaling?	qawiki
175	25	What drinks are from Africa?	List African drinks	What alcoholic drinks are from Africa?	What non-alcoholic drinks are from Africa?	qawiki
176	26	What elementary particles interact with the strong force and the weak force?	What elementary particles interact with the weak force and the strong force?	Which elementary particles with negative charge interact with both the strong and weak forces?	Which elementary particles with neutral or positive charge interact with both the strong and weak forces?	qawiki
177	27	What elementary particles interact with the weak force?	Which fundamental particles are mediated by the weak interaction?	What elementary particles interact with the strong force and the weak force?	What elementary particles interact with the weak force but not the strong force?	qawiki
178	28	What movies were directed by Mira Nair?	What films were directed by Mira Nair?	What primarily Hindi-language movies were directed by Mira Nair?	What movies directed by Mira Nair are not primarily in the Hindi language?	qawiki
179	29	What hybrid species can have offspring?	Which hybrid species are fertile?	What mammal hybrid species can have offspring?	What non-mammal hybrid species can have offspring?	qawiki
180	30	What languages did Kofi Annan speak?	What languages did Kofi Annan know?	What languages indigenous to Ghana did Kofi Annan speak?	What languages not indigenous to Ghana did Kofi Annan speak?	qawiki
181	31	What montes form the Tharsis Montes?	List the Tharsis Montes	Which montes form Tharsis Montes are taller than 10000 metres?	Which montes in the Tharsis Montes are not taller than 1000 metres?	qawiki
182	32	What movies are in the Matrix series?	List Matrix movies	In which movies of the Matrix series does Bane appear?	In which movies of the Matrix series does Bane not appear?	qawiki
183	33	What museums are in Addis Ababa?	What museums are located in Addis Ababa?	What art museums are in Addis Ababa?	What museums in Addis Ababa are not art museums?	qawiki
184	34	What novels were written by Harper Lee?	What novels are by Harper Lee?	What novels written by Harper Lee were adapted into movies?	What novels written by Harper Lee were not adapted into movies?	qawiki
185	35	What officially recognized dwarf planets orbit the Sun?	What dwarf planets are confirmed to orbit the Sun?	What officially recognized dwarf planets orbit the Sun and have a moon?	What officially recognized dwarf planets orbit the Sun but do not have a moon?	qawiki
186	36	What Ogham stones can be found in County Clare?	What Ogham stones does Co. Clare have?	What 5th-century Ogham stones are located in County Clare?	What Ogham stones found in County Clare are not from the 5th century?	qawiki
187	37	What operas are based on works by Alexander Pushkin?	What operas are based on works by Pushkin?	What operas based on works by Alexander Pushkin debuted in the Mariinsky Theatre?	What operas based on works by Alexander Pushkin debuted in a place other than the Mariinsky Theatre?	qawiki
188	38	What other buildings have the same architect as the Tsentrosoyuz Building?	What other buildings were by the same architect as the Tsentrosoyuz Building?	What other buildings that are not functionalist have the same architect as the Tsentrosoyuz Building?	What other funcionalist buildings have the same architect as the Tsentrosoyuz Building?	qawiki
189	39	What papers did Amrapali Zaveri publish?	What papers has Amrapali Zaveri published?	What papers did Amrapali Zaveri publish as first author?	What papers did Amrapali Zaveri write but not as first author?	qawiki
190	40	What poets were Holocaust victims?	Which Holocaust victims were poets?	What Polish poets were Holocaust victims?	What non-Polish poets were Holocaust victims?	qawiki
191	41	What proteins are found in dendrites?	Dendrites contain what proteins?	What membrane proteins are found in dendrites of neurons?	What non-membrane proteins are found in dendrites of neurons?	qawiki
192	42	What proteins are involved in retina homeostasis?	Which proteins play a role in retina homeostasis?	What membrane proteins are involved in retina homeostasis?	What non-membrane proteins are involved in retina homeostasis?	qawiki
193	43	What radio stations broadcast specifically in Boston?	List radio stations broadcasting only in Boston	What university-owned radio stations broadcast specifically in Boston?	What radio stations broadcast specifically in Boston but are not owned by universities?	qawiki
194	44	What religions promote vegetarianism?	What religions restrict eating meat?	What religions require vegetarianism under all circumstances?	What religions promote vegetarianism but do not require it under all circumstances?	qawiki
195	45	What species are in the order Monotremata?	What species are monotremes?	What extant species are in the order Monotremata?	What extinct species are in the order Monotremata?	qawiki
196	46	What species are in the same family as Homo sapiens?	What species share the family of Homo sapiens?	What extant species are in the same family as Homo sapiens?	What extinct species are in the same family as Homo sapiens?	qawiki
197	47	What species are in the same genus as the monkeypox virus?	What viruses share the same genus as monkeypox?	What species in the same genus as the monkeypox virus have had cases of human infection?	What species in the same genus as the monkeypox virus have not had cases of human infection?	qawiki
198	48	What team sports use sticks?	In which sports do teams use sticks?	Which winter team sports use sticks?	Which team sports use sticks excluding winter sports?	qawiki
199	49	What video games are made by the developer of League of Legends?	What video games did the developers of League of Legends develop?	Which video games produced by the League of Legends developer were released in 2020 or later?	Which video games produced by the League of Legends developer were released before 2020?	qawiki
200	50	What volcanoes in Iceland are currently active?	List Icelandic active volcanos	What volcanos in Iceland are currently active and taller than 1000 metres?	What volcanos in Iceland are currently active and not taller than 1000 metres?	qawiki
201	51	What weapons have been used in mass shootings in the United States to date?	List of weapons used in mass shootings in the United States to date	What semi-automatic weapons have been used in mass shootings in the United States to date?	What non-semi-automatic weapons were used in mass shootings in the United States to date?	qawiki
202	52	What whisky distilleries are based in Ireland?	Give me all whiskey distilleries in Ireland	What whisky distilleries are based in Cork, Ireland?	What whisky distilleries are based in Ireland outside of Cork?	qawiki
203	53	Where has Tim Berners-Lee worked?	Where has Tim Berners-Lee been employed?	Where does Tim Berners-Lee currently work?	Where has Tim Berners-Lee worked in the past?	qawiki
204	54	Which actors are Scientologists?	What actors are followers of Scientology?	Which actors who are Scientologists have a star on the Hollywood Walk of Fame?	Which actors who are Scientologists do not have a star on the Hollywood Walk of Fame?	qawiki
205	55	Which Asian universities have female rectors?	What universities in Asia have female rectors?	Which Asian universities with female rectors receive public funds?	Which Asian universities with female rectors do not receive public funds?	qawiki
206	56	Which association football players have at least two citizenships?	Which football players have more than one nationality?	Which association football players have at least three citizenships?	Which association football players have exactly two citizenships?	qawiki
207	57	Which buildings are brutalist?	Which buildings exemplify brutalism?	Which buildings combine functionalism and brutalism?	Which brutalist buildings do not incorporate functionalism?	qawiki
208	58	Which buildings are funcionalist?	Which buildings exemplify functionalism?	Which buildings combine functionalism and brutalism?	Which functionalist buildings are not brutalist?	qawiki
209	59	Which carbon isotopes can decay into boron isotopes?	What isotopes of carbon can decay into isotopes of boron?	Which carbon isotopes can decay into boron isotopes via electron capture?	Which carbon isotopes can decay into boron isotopes but not by electron capture?	qawiki
210	60	Which carbon isotopes can recursively decay into boron isotopes?	What isotopes of carbon can recursively decay into isotopes of boron?	Which carbon isotopes can directly decay into boron isotopes?	Which carbon isotopes can recursively but not directly decay into boron isotopes?	qawiki
211	61	Which chess openings are variations of the Sicilian Defence?	What openings can follow from a Sicilian?	Which chess openings that are variations of the Sicilian Defence involve the move cxd4?	Which chess openings that are variations of the Sicilian Defence do not involve the move cxd4?	qawiki
212	62	Which Chilean companies have U.S. parent companies?	What Chilean companies have American parent companies?	Which Chilean energy companies have U.S. parent companies?	Which Chilean companies, excluding energy companies, have U.S. parent companies?	qawiki
213	63	Which cities are named after an apostle?	What cities are named in honor of an apostle?	Which cities named after an apostle have a population of at least one million?	Which cities named after an apostle have a population of less than one million?	qawiki
214	64	Which civil wars started in the nineteenth century?	What civil wars began in the 19th century?	Which civil wars started in South America in the nineteenth century?	Which civil wars started in the nineteenth century outside of South America?	qawiki
215	65	Which civil wars took place in South America?	What civil wars happened in South America?	Which civil wars started in South America in the nineteenth century?	Which civil wars took place in South America but did not start in the 19th century?	qawiki
216	66	Which clubs did Lionel Messi play for?	With which clubs did Lionel Messi play?	Which European clubs did Lionel Messi play for?	Which clubs outside of Europe did Lionel Messi play for?	qawiki
217	67	Which colors are named after fruits?	Which colors take their name from fruits?	What colors are named after exotic fruits?	What colors are named after fruits that are not exotic fruits?	qawiki
218	68	Which conferences focus on Machine Learning?	List machine learning conferences	Which conferences that focus on Machine Learning were formed more than 40 years ago?	Which conferences that focus on Machine Learning were formed in the last 40 years?	qawiki
219	69	Which conferences were organized by Turing Award winners?	What conferences had a Turing Award winner organizing them?	Which conferences have been organized by Turing Award winners since 2016?	Which conferences were organized by Turing Award winners before 2016?	qawiki
220	70	Which countries are governed by a monarchy?	Which countries have a monarchy?	Which countries are governed by a constitutional monarchy?	Which countries are governed by a monarchy without a constituion?	qawiki
221	71	Which countries are in Latin America?	List Latin American countries	What are the Spanish-speaking Latin American countries?	What are the non-Spanish-speaking Latin American countries?	qawiki
222	72	Which countries are in the Balkan region?	What are Balkan countries?	Which European Union countries are in the Balkan region?	Which non-European Union countries are in the Balkan region?	qawiki
223	73	Which countries are named after plants?	Which countries' names are taken from plants?	Which island countries are named after plants?	Which mainland countries are named after plants?	qawiki
224	74	Which countries are part of the G20?	Which nations are in the G20?	Which countries are part of the G20 and the Arab League?	Which countries are part of the G20 but not the Arab League?	qawiki
225	75	Which countries border South Sudan?	Which countries does South Sudan border?	What country that borders South Sudan borders the most countries?	What countries border South Sudan excluding that which borders the most countries?	qawiki
226	76	Which countries changed their driving side from left to right?	Which countries changed from driving on the left to driving on the right?	Which countries changed their driving side from left to right due to being occupied or annexed?	Which countries changed their driving side from left to right but not due to being occupied or annexed?	qawiki
227	77	Which countries currently have multiple capitals?	Which countries have more than one capital city today?	Which extant countries with multiple capitals are recognized by all of their neighbours?	Which extant countries with multiple capitals are not recognized by all of their neighbours?	qawiki
228	78	Which countries drive on the left?	In which countries does traffic drive on the left?	Which countries drive on the left in Europe?	Which countries drive on the left outside of Europe?	qawiki
229	79	Which countries have a female head of state?	What countries have a woman as head of state?	Which Asian countries have a female head of state?	Which non-Asian countries have a female head of state?	qawiki
230	80	Which countries have diplomatic relations with Chile?	Which countries does Chile have diplomatic relations with?	Which European countries have diplomatic relations with Chile?	Which non-European countries have diplomatic relations with Chile?	qawiki
231	81	Which countries have Islam as an official religion?	In which countries is Islam an official religion?	Which countries in Asia have Islam as an official religion?	Which countries outside of Asia have Islam as an official religion?	qawiki
232	82	Which countries have won a Cricket World Cup?	Which countries have won a World Cup in Cricket?	Which countries in Asia have won a Cricket World Cup?	Which countries outside of Asia have won a Cricket World Cup?	qawiki
233	83	Which countries have won a FIFA World Cup?	List all countries that won a FIFA World Cup	Which countries in Europe have won a FIFA World Cup?	Which non-European countries have won a FIFA World Cup?	qawiki
234	84	Which countries have won a Rugby World Cup?	Give me all countries that have won a Rugby World Cup	Which primarily southern-hemisphere countries have won a Rugby World Cup?	Which primarily northern-hemisphere countries have won a Rugby World Cup?	qawiki
235	85	Which countries observe Victory in Europe day?	In which countries is VE day commemorated?	Which countries in the EU observe Victory in Europe day?	Which countries outside of the EU observe Victory in Europe Day?	qawiki
236	86	Which countries use the same plug as Canada?	What countries have the same power outlets as Canada?	Which countries use the same plug as Canada and share an official language with Canada?	Which countries use the same plug as Canada but do not share an official language with Canada?	qawiki
237	87	Which countries were dissolved in the 1990s?	What countries ended in the 90s?	Which European countries were dissolved in the 1990s?	Which non-European countries were dissolved in the 1990s?	qawiki
238	88	Which culinary nuts are not botanical nuts?	What culinary nuts are not botanical?	Which culinary nuts are not botanical nuts nor drupes?	Which culinary nuts are drupes but not botanical nuts?	qawiki
239	89	Which death row prisoners had pizza as their last meal?	Which executed inmates had pizza for their last meal?	Which death row prisoners executed by hanging had pizza as their last meal?	Which death row prisoners executed by a method other than hanging had pizza as their last meal?	qawiki
240	90	Which desserts contain cinnamon?	What desserts use cinnamon?	Which American desserts contain cinnamon?	Which non-American desserts contain cinnamon?	qawiki
241	91	Which dog breeds originated in China?	What canine breeds come from China?	Which toy dog breeds originated in China?	Which non-toy dog breeds originated in China?	qawiki
242	92	Which drugs for treating atrial fibrillation are contraindicated in patients taking lovastatin?	Which medications for treating atrial fibrillation are contraindicated in people who take lovastatin?	Which antiarrhythmic drugs for atrial fibrillation are contraindicated in patients taking lovastatin?	Which non-antiarrhythmic drugs for atrial fibrillation are contraindicated in patients taking lovastatin?	qawiki
243	93	Which Ethiopian political parties were founded since 2000?	Which Ethiopian political parties started since 2000?	Which Ethiopian political parties founded since 2000 are still active?	Which Ethiopian political parties founded since 2000 are no longer active?	qawiki
244	94	Which football midfielders born in Senegal have played for France?	Which French midfielders were born in Senegal?	Which football midfielders born in Senegal have played for France and Inter Milan?	Which football midfielders born in Senegal have played for France excluding those who played for Inter Milan?	qawiki
245	95	Which football players born in Senegal have played for France?	Which French footballers were born in Senegal?	Which football midfielders born in Senegal have played for France?	Which football players born in Senegal have played for France excluding midfielders?	qawiki
246	96	Which heads of state died from COVID-19 complications?	Which heads of state passed away due to COVID-19?	Which heads of state died in office from COVID-19 complications?	Which heads of state died from COVID-19 complications but not while in office?	qawiki
247	97	Which honorary mayors were not human?	List honorary mayors who were not people	Which honorary mayors in Alaska were not human?	Which honorary mayors outside Alaska were not human?	qawiki
248	98	Which horror movies were directed by siblings?	Which horror films were directed by brothers or sisters?	Which horror movies were directed by twin siblings?	Which horror movies were directed by non-twin siblings?	qawiki
249	99	What languages are pro-drop?	What languages drop pronouns?	Which pro-drop languages use Latin script?	Which pro-drop languages do not use Latin script?	qawiki
250	100	Which mountains are on Mars?	List all Martian mountains	Which Martian mountains are in the Tharsis Region?	Which Martian mountains are not in the Tharsis Region?	qawiki
251	101	Which mountains were first ascended in the last eighty years?	What mountains were first summited in the last 80 years?	Which mountains first ascended in the last eighty years are plutons?	Which mountains first ascended in the last eighty years are not plutons?	qawiki
252	102	Which movies are based on works written by Philip K. Dick?	What films adapt the writing of Philip K. Dick?	Which movies based on works written by Philip K. Dick feature androids?	Which movies based on works written by Philip K. Dick do not feature androids?	qawiki
253	103	Which movies directed by Chloé Zhao are not MPAA-rated R?	Which films not rated R did Chloe Zhao direct?	Which movies directed by Chloé Zhao are not MPAA-rated R and participated in Cannes?	Which movies directed by Chloé Zhao are not MPAA-rated R and did not participate in Cannes?	qawiki
254	104	Which movies star Uma Thurman?	In what films has Uma Thurman acted?	Which science fiction movies star Uma Thurman?	Which non-science fiction movies star Uma Thurman?	qawiki
255	105	Which movies were filmed in Yemen?	What films used locations in Yemen?	Which documentary movies were filmed in Yemen?	Which non-documentary movies were filmed in Yemen?	qawiki
256	106	Which musical groups formed the same year as Soda Stereo?	What musical groups started the same year that Soda Stereo started?	Which rock musical groups formed the same year as Soda Stereo?	Which non-rock musical groups formed the same year as Soda Stereo?	qawiki
257	107	Which musicians are from Nordic Countries?	List Nordic musicians	Which Nordic musicians are from Sweden?	Which musicians are from Nordic countries excluding Sweden?	qawiki
258	108	Which natural languages are not Indo-European?	What human languages are not Indo-European?	Which official languages of the European Union are not Indo-European?	Which natural languages are not Indo-European and not official languages of the European Union?	qawiki
259	109	Which New Zealand cyclists participated in the 2000 Summer Olympics?	Which cyclists from New Zealand took part in the 2000 Olympics?	Which New Zealand cyclists taller than 180cm participated in the 2000 Summer Olympics?	Which New Zealand cyclists who are at most 180cm tall participated in the 2000 Summer Olympics?	qawiki
260	110	Which non-human animals have been sent into space?	What animals were launched into space?	Which non-human primates have been sent into space?	Which non-human animals have been sent into space excluding primates?	qawiki
261	111	Which online streamers studied at the University of Waterloo?	What online streamers were educated at the University of Waterloo?	Which online streamers who studied at the University of Waterloo live in Vancouver?	Which online streamers who studied at the University of Waterloo live outside Vancouver?	qawiki
262	112	Which paintings by Camille Pissarro were stolen?	What artworks by Camille Pissarro were subject to theft?	Which stolen paintings by Camille Pissarro were held at some point in Alte Nationalgalerie?	Which stolen paintings by Camille Pissarro were never held in Alte Nationalgalerie?	qawiki
263	113	Which parks are in Perth?	List parks in Perth	Which parks in Perth are State Registered Places?	Which parks in Perth are not State Registered Places?	qawiki
264	114	Which people have an element named after them?	Which people who had a chemical element named in their honor?	Which people had an element named after them during their lifetime?	Which people had an element named after them posthumously?	qawiki
265	115	Which Pokémon are fire and bug types?	Which Pokémon are bug and fire types?	Which Generation VIII Pokémon are fire and bug types?	Which fire and bug type Pokémon are from generations other than Generation VIII?	qawiki
266	116	Which political parties was Abraham Lincoln a member of?	Abe Lincoln was a member of which political parties?	Which political parties that Abraham Lincoln was a member of still exist today?	Which political parties that Abraham Lincoln was a member of no longer exist?	qawiki
267	117	Which polygonal numbers less than 100 are also pronic?	What numbers less than 100 are both pronic and polygonal?	Which polygonal numbers less than or equals 40 are also pronic?	Which polygonal numbers greater than 40 but less than 100 are also pronic?	qawiki
268	118	Which popes were married?	Which popes had spouses?	Which popes were married before ordination?	Which popes were married after ordination but not before?	qawiki
269	119	Which relational database management systems are open source?	What open source relational database engines are there?	Which relational database management systems are open source and written in C or its variants?	Which relational database management systems are open source and written in a language other than C or its variants?	qawiki
270	120	Which rugby union teams have had Chilean players?	Which rugby union clubs have had players from Chile?	Which European rugby union teams have had Chilean players?	Which non-European rugby union teams have had Chilean players?	qawiki
271	121	Which saints died by crucifixion?	Which saints were crucified?	Who was the last saint to die by crucifixion?	Which saints died by crucifixion excluding the last one?	qawiki
272	122	Which saints have their feast day on Desmond Tutu's birthday?	What saints share their feast day with Desmond Tutu's birthday?	Which Catholic saints have their feast day on Desmond Tutu's birthday?	Which non-Catholic saints have their feast day on Desmond Tutu's birthday?	qawiki
273	123	Which saints have their feast day on June 15th?	What saints' feast day is on June 15?	Which saints with their feast day on June 15th are considered martyrs?	Which saints with their feast day on June 15th are not considered martyrs?	qawiki
274	124	Which sauces are named after Italian cities?	What sauces are named after cities in Italy?	Which Italian sauces are named after Italian cities?	Which sauces named after Italian cities are not Italian?	qawiki
275	125	Which sauces contain onion and garlic?	What sauces have garlic and onion?	Which Italian sauces contain both onion and garlic?	Which non-Italian sauces contain both onion and garlic?	qawiki
276	126	Which science fiction movies star Uma Thurman?	In what sci fi films has Uma Thurman acted?	Which 1990s science fiction movies star Uma Thurman?	Which science fiction movies starring Uma Thurman were released outside of the 1990s?	qawiki
277	127	Which series or movies were directed by alumni of the University of Bergen?	Which films or TV series were directed by University of Bergen alumni?	Which documentary series or movies were directed by alumni of the University of Bergen?	Which non-documentary series or movies were directed by alumni of the University of Bergen?	qawiki
278	128	Which Simpsons characters were not born in Springfield?	Which Simpsons characters were born outside Springfield?	Which female Simpsons characters were not born in Springfield?	Which Simpsons characters were not born in Springfield excluding female characters?	qawiki
279	129	Which smartphones are made by Chinese companies headquartered in Dongguan?	What smartphones are manufactured by Chinese companies with headquarters in Dongguan?	Which smartphones made by Chinese companies headquartered in Dongguan use ColorOS?	Which smartphones are made by Chinese companies headquartered in Dongguan do not use ColorOS?	qawiki
280	130	Which species are endemic to Chile?	What species are only found in Chile?	Which species endemic to Chile are endangered?	Which species endemic to Chile are not endangered?	qawiki
281	131	Which telescopes are based in Chile or countries that border Chile?	Which telescopes are based in Chile or in countries that neighbor Chile?	Which telescopes are based in Chile?	Which telescopes are based in countries that border Chile?	qawiki
282	132	Which telescopes are based in Chile?	What telescopes are located in Chile?	Which optical telescopes are based in Chile?	Which non-optical telescopes are based in Chile?	qawiki
283	133	Which Turing Award winners were born in Europe?	Who born in Europe has won a Turing Award?	Which European Turing Award winners were born in Ireland or the U.K.?	Which European Turing Award winners were not born in Ireland or the U.K.?	qawiki
284	134	Which universities are based in Peru?	What universities are in Peru?	Which universities based in Peru have been established since 1950?	Which universities based in Peru were established before 1950?	qawiki
285	135	Which universities based in Peru were established since 1950?	What universities in Peru were founded since 1950?	Which public universities in Peru have been established since 1950?	Which non-public universities in Peru have been established since 1950?	qawiki
286	136	Which video games are known to be NP-complete?	What video games are NP-complete?	Which puzzle video games are known to be NP-complete?	Which video games are known to be NP-complete aside from puzzle games?	qawiki
287	137	Which video games have a fox character?	What video games have a character that is a fox?	Which video games published by Nintendo have a fox character?	Which video games have a fox character excluding those published by Nintendo?	qawiki
288	138	Which video games have won the award of Best Esports Game of the Year at The Game Awards?	Which games have been awarded the Best Esports Game of the Year?	Which video games that have won the award of Best Esports Game of the Year at The Game Awards have a sequel?	Which video games that have won the award of Best Esports Game of the Year at The Game Awards do not have a sequel?	qawiki
289	139	Which wars took place in South America?	What wars happened in South America?	Which civil wars took place in South America?	Which international wars took place in South America?	qawiki
290	140	Which writers speak French, Arabic and Japanese?	Which authors speak French, Arabic and Japanese?	Which writers speak English, French, Arabic and Japanese?	Which writers speak French, Arabic, and English but do not speak Japanese?	qawiki
